QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000128	Aku telah menemukan keberadaan Airine, tetapi aku tidak tahu bagaimana menyelamatkannya.{nl}Dia diikat di Rodoma 2nd Ruins, aku tidak mampu menyelamatkannya sendirian.
QUEST_LV_0100_20150317_000129	Assistant Airine
QUEST_LV_0100_20150317_000130	Aku tidak dapat bergerak sedikitpun karena barrier ini.{nl} Tolong hancurkan tiga buah barrier yang ada di Rodoma Ruins.
QUEST_LV_0100_20150317_000131	Belum selesai? Ah, Sial…
QUEST_LV_0100_20150317_000132	Aku tidak menyangka bahwa aku akan terjebak dengan hal semacam ini.{nl}Sial, seharusnya aku tidak mengikutinya.
QUEST_LV_0100_20150317_000133	Mercenary Glen
QUEST_LV_0100_20150317_000134	Banyak ilmuwan yang menghilang belakangan ini.{nl} aku berusaha untuk mencari beberapa petunjuk dengan mengalahkan Sauga, bisakah kamu membantu kami?
QUEST_LV_0100_20150317_000135	Sauga membagi barang rampasan mereka secara adil.{nl}Mungkin kita bisa mendapatkan beberapa petunjuk dari mereka.
QUEST_LV_0100_20150317_000136	Untungnya, mereka sudah terlalu tua.{nl} Ini menandakan bahwa kasus ini bukanlah disebabkan oleh para monster
QUEST_LV_0100_20150317_000137	Tempat ini sangat berbahaya, banyak orang yang menghilang disini karena monster atau tersesat.{nl} tapi bukan itu yang membuatku tertarik.{nl}
QUEST_LV_0100_20150317_000138	Ketika beberapa orang menghilang, tidak satu pun orang terdekat mereka menyadarinya.{nl}Seakan-akan ingatan akan orang yang telah menghilang telah dihapus dari ingatan mereka. Menarik, bukan?{nl}
QUEST_LV_0100_20150317_000139	Tolong kalahkan para monster di sekitar sini untuk menghindari hal-hal yang tidak diinginkan.{nl} Ada laporan bahwa para monster di Rodoma 1st Ruin telah berubah menjadi ganas.
QUEST_LV_0100_20150317_000140	Bagus sekali.{nl}Kita aman sekarang.
QUEST_LV_0100_20150317_000141	Para monster datang mengepung.{nl}Sepertinya mereka sudah mengetahui bahwa aku telah terbebas.
QUEST_LV_0100_20150317_000142	Goddess yang mengirimmu?{nl}aku tidak mengira bahwa kamu akan melindungiku.{nl}
QUEST_LV_0100_20150317_000143	Dimana Scorpion raksasa itu? Ini sangat gawat!
QUEST_LV_0100_20150317_000144	Aku harus pergi bertemu Dezic.{nl}ku harap kita bisa bertemu lagi lain kali.
QUEST_LV_0100_20150317_000145	Seseorang pasti melakukan hal yang aneh terhadap para monster yang melindungi Royal Mausoleum.{nl}Apa yang mereka inginkan?
QUEST_LV_0100_20150317_000146	Sir, sadarlah. Sir!
QUEST_LV_0100_20150317_000147	New Researcher
QUEST_LV_0100_20150317_000148	Aku kehilangan bahan-bahan penelitian yang penting di Abondoned Old Workshop.{nl} Para monster pasti telah mengambilnya, haruskah aku menyerah?
QUEST_LV_0100_20150317_000149	Aku sangat senang dapat melihat Royal Mausoleum secara langsung, namun monsternya sangat menakutkan.
QUEST_LV_0100_20150317_000150	Terima kasih banyak.{nl}Kamu juga harus memeriksa catatan repositori.
QUEST_LV_0100_20150317_000151	Jalan masuk ke Royal Mausoleum tersembunyi disekitar gigantic canyon.{nl} dan tempat ini adalah permulaan awal untuk memasuki canyon.
QUEST_LV_0100_20150317_000152	Banyak Experts datang ketempat ini untuk meneliti di Royal Mausoleum.{nl}Mungkin, kita dapat mencari petunjuk mengenai Medzion Diena disini.
QUEST_LV_0100_20150317_000153	Bagaimana mungkin bisa ada banyak monster sebanyak ini di canyon sedangkan tanaman yang tumbuh di sekitar sangat sedikit?
QUEST_LV_0100_20150317_000154	Bagaimana dengan permintaanku? Apakah sudah selesai?
QUEST_LV_0100_20150317_000155	Melihat lebih jeli ke tanah.{nl} Kemungkinan jatuh ke bawah. 
QUEST_LV_0100_20150317_000156	Hanya ini saja?{nl} Terima kasih karena telah berusaha menemukan ini, pasti sangat sulit menemukannya.{nl}Aku bisa menyalinnya lagi dari awal.
QUEST_LV_0100_20150317_000157	Jadi Niels yang mengirimmu?{nl}Aku tidak akan pergi. Aku harus meneliti wild flowers ini.{nl}
QUEST_LV_0100_20150317_000158	Kurasa yang ku lihat adalah sebuah ilusi.{nl}Aku akan memberimu kompensasi karena telah melindungiku.{nl}
QUEST_LV_0100_20150317_000159	Ya.{nl} bawakan catatanku dari Niels.
QUEST_LV_0100_20150317_000160	Jonas bilang kepadamu untuk membawakan catatannya?{nl}Okay. Sebagai gantinya tolong bawakan beberapa obat kepadanya.
QUEST_LV_0100_20150317_000161	Obat-obatan yang bisa membantu meringankan beban pikirannya.{nl}Davio berada di sebelah kanan dari Excavation Camp, ia memiliki obatnya.
QUEST_LV_0100_20150317_000162	Jonas adalah seorang kepala keluarga yang melindungi Royal Mausoleum Great King Zachariel.{nl} Dahulu dia sangat sehat, tapi sekarang tidak lagi karena sudah menua dan lemah.{nl}
QUEST_LV_0100_20150317_000163	Setelah Jonas pergi keluar bersama dengan pelayannya.{nl}Jonas ditemukan dalam keadaan dementia dan pelayannya masih belum ditemukan sampai saat ini.
QUEST_LV_0100_20150317_000164	Tolong rawat Jonas dengan baik.{nl}Akan menjadi masalah besar jika ia sampai terluka.
QUEST_LV_0100_20150317_000165	Davio berada disebelah kanan camp.{nl}Aku harap obatnya dapat bekerja dengan baik.
QUEST_LV_0100_20150317_000166	Akhirnya, aku ingat segalanya.{nl} Aku adalah Kepala keluarga yang melindungi Royal Mausoleum… siapa kamu?{nl}
QUEST_LV_0100_20150317_000167	Savior. Jika ini kehendak dari Goddess, berarti kamu pasti memiliki kualifikasi.{nl}ada pekerjaan yang harus kau lakukan, ikuti aku ke Beacon Hill Pass.
QUEST_LV_0100_20150317_000168	Aku membuat Niels dan kamu menjadi cemas akan keadaanku...
QUEST_LV_0100_20150317_000169	Aku akan menunjukkan jalannya dan kamu harus mengatasi setiap monster yang mendekat.{nl} Aku mengandalkanmu.
QUEST_LV_0100_20150317_000170	Sekarang adalah waktu yang tepat. Silahkan pergi terlebih dahulu ke Beacon Hill Pass.
QUEST_LV_0100_20150317_000171	Aku percaya bahwa kau memiliki kriteria yang dibutuhkan.{nl} Segala sesuatunya telah diarahkan oleh Goddess Laima.
QUEST_LV_0100_20150317_000172	Akhirnya hidden treasure ini dapat diwariskan kepada seseorang.{nl} Aku menyesal tidak bisa mengenalimu lebih cepat karena kepikunanku.
QUEST_LV_0100_20150317_000173	Great King Zachariel mengatakan kepada kami untuk memberikan hidden treasure pada seseorang yang memiliki kualifikasi.{nl} Kamu dapat memeriksa apakah kamu memenuhi kualifikasi dengan menggunakan Eyes of Great King.
QUEST_LV_0100_20150317_000174	Kami memiliki satu tanggung jawab lain selain melindungi Royal Mausoleum.{nl} Dan itu adalah melindungi warisan kerajaan sampai orang memiliki kualifikasi tiba.{nl}
QUEST_LV_0100_20150317_000175	Kami tidak tahu apa sebenarnya isi hidden treasure itu.{nl} Great King hanya mengatakan kepada kami untuk melindunginya dan kami hanya mengikuti perintahnya.
QUEST_LV_0100_20150317_000176	Medicine Dealer
QUEST_LV_0100_20150317_000177	Hmm…baiklah, ada tanaman obat yang hanya tumbuh di Metos Field.{nl}Tolong bawa kepadaku.
QUEST_LV_0100_20150317_000178	Metos Field adalah tempat terbaik untuk menggambalikan kesadaran seseorang.{nl} Terutama untuk pria tua yang sudah lanjut usia.
QUEST_LV_0100_20150317_000179	Kerja Bagus. Kamu sangat jeli, bukankah begitu?.{nl} 
QUEST_LV_0100_20150317_000180	Okay. Selesai.{nl} Ambil ini dan berikan kepada davio.
QUEST_LV_0100_20150317_000181	Merchant Davio
QUEST_LV_0100_20150317_000182	Aku membawakan obat untuk orang tua itu.{nl}Namun aku menghabiskan banyak waktu untuk mendapatkannya. Aku akan mengenakan biaya lebih kepadamu.{nl} 
QUEST_LV_0100_20150317_000183	Gold yang dimiliki oleh para Lichenclops yang ada di daerah ini kelihatannya cukup.{nl} Bawa itu ke Medicine Dealer di Kapas Highway.
QUEST_LV_0100_20150317_000184	Ini sudah cukup. Davio yang mengirimmu, bukan?{nl}tapi untuk membuat obat ini efektif, aku butuh satu bahan lagi.
QUEST_LV_0100_20150317_000185	Untuk membuat obat-obatan, aku harus menemukan penyebab dari gejala yang dialami Jonas. {nl}Hal yang lucu adalah itu disebabkan oleh magic kuno yang biasa digunakan dahulu kala.{nl} 
QUEST_LV_0100_20150317_000186	Aku mendengar rumor kalau Great King Zachariel menghapus semua ingatan para pekerja setelah{nl}menyelesaikan bangunan Royal Mausoleum. Magic itulah yang mempengaruhi Jonas. Meskipun ia juga sudah sedikit pikun.
QUEST_LV_0100_20150317_000187	Sangat sulit untuk mendapatkan obat untuk pria tua itu.{nl}Namun, tidak ada yang tidak bisa saya capai.
QUEST_LV_0100_20150317_000188	Semua akan selesai bila kamu melelehkannya ke dalam madu yang kamu bawa.
QUEST_LV_0100_20150317_000189	Obat itu sungguh manjur. Buat dia untuk menelannya.
QUEST_LV_0100_20150317_000190	Kamu terlambat.{nl} apakah kamu bawa laporanku?
QUEST_LV_0100_20150317_000191	Pergi ke Abandoned Old Workshop.{nl} Ada orang tua yang sering berkeliling disana, aku rasa itu Jonas.
QUEST_LV_0100_20150317_000192	Apa itu?baunya seperti madu yang difermentasi.
QUEST_LV_0100_20150317_000193	Aku merasa pusing.{nl} Apa yang sedang kulakukan disini? 
QUEST_LV_0100_20150317_000194	Aku sangat senang kamu menemukanku.{nl}Aku kehilangan semua material dan barang bawaan ketika para monster mengejarku.{nl}Bisakah kamu mencari materialku yang tersebar?
QUEST_LV_0100_20150317_000195	Tidak ada yang bisa kukatakan kepadamu sebagai mercenary yang rendah hati.{nl} Meskipun aku baik-baik saja ketika Medzio Diena, aku yakin tempat ini telah dikutuk.{nl} 
QUEST_LV_0100_20150317_000196	Sudah berapa lama aku berada ditempat ini?{nl}Dimana Mirta dan siapa kamu? 
QUEST_LV_0100_20150317_000197	Aku berusaha untuk mengingat sesuatu.{nl}Tetapi tetap berbayang ketika aku berusaha mengingatnya.
QUEST_LV_0100_20150317_000198	Vaidotas
QUEST_LV_0100_20150317_000199	Bau ini….seperti bau alat purifier ditambang yang rusak.{nl} Sebaiknya kita memperbaikinya dengan cepat. Para penduduk yang di culik akan kesulitan bernafas .
QUEST_LV_0100_20150317_000200	Apa kamu tahu tentang Legenda dari Cunningham? {nl} itu adalah sebuah legenda yang menceritakan Great Demon yang tersegel disini di Crystal mine.{nl} Untuk kelengkapan ceritanya, ada sebuah buku di Mine Worker's Resting Place pada Crystal Mine 2F.{nl}
