QUEST_LV_0200_20150317_000001	Philip's Soldiers
QUEST_LV_0200_20150317_000082	Jika jalan menuju Gateway of the Great King aman maka Aku akan dapat melihat lebih banyak orang. {nl}
QUEST_LV_0200_20150317_000083	Secara keseluruhan, Aku sudah melihat semuanya. {nl} Sekarang, Aku hanya ingin melihat kebahagiaan.
QUEST_LV_0200_20150317_000084	Mengapa jiwa manusia mengandung begitu banyak hal ?.
QUEST_LV_0200_20150317_000085	Jika kita bertemu dengan para monster, kita tidak akan punya pilihan selain untuk melawannya.
QUEST_LV_0200_20150317_000086	Kami sedang berupaya untuk mencapai Gateway of the Great King. {nl} Pernahkah Kamu mendengar informasi mengenai Ironbaum?
QUEST_LV_0200_20150317_000087	Untuk menjadi seorang pemimpin, Kamu harus memiliki prinsip yang tidak mudah tergoyahkan.
QUEST_LV_0200_20150317_000088	Memang benar bahwa mencoba untuk mencapai Gateway of the Great King merupakan tindakan nekat. {nl} Akan tetapi, kita tidak bisa melanggar perintah.
QUEST_LV_0200_20150317_000089	Hal ini mungkin tampak buruk pada awalnya, tetapi ternyata kedua Commanders sebenarnya memiliki hubungan yang baik.
QUEST_LV_0200_20150317_000090	Aku merasa sangat kesepian semenjak tidak ada siapapun disini. {nl} Sudah sangat lama bagiku untuk melihat wajah-wajah baru disini.
QUEST_LV_0200_20150317_000091	Apa yang sedang kamu lakukan di hutan ini? Tidak mungkin, Apakah terdapat jalan disana?
QUEST_LV_0200_20150317_000092	Terima kasih. {nl} Prajurit dan rekan-rekan, sekarang aku bisa tidur dengan nyaman.
QUEST_LV_0200_20150317_000093	Aku tidak bisa merasakan tangan dan kaki. {nl} Aku merasa sangat aneh meskipun tidak merasakan dingin.
QUEST_LV_0200_20150317_000094	Kita harus mengalahkan Gaigalas. {nl} Jika tidak, Aku tidak bisa tidur dengan nyaman.
QUEST_LV_0200_20150317_000095	Kita akan segera memulai perburuan Gaigalas. {nl} Aku sangat bersemangat.
QUEST_LV_0200_20150317_000096	Dendam ini sangat menyedihkan. {nl} Hal yang menyedihkan adalah kita tidak berdaya untuk menghentikan semuanya.
QUEST_LV_0200_20150317_000097	Kesengsaraan akan terus berlanjut kecuali seseorang berhasil menghentikan para Demon.
QUEST_LV_0200_20150317_000098	Joint Investigation Team Fray
QUEST_LV_0200_20150317_000099	Aku Fray {nl} Mendengarkan cerita yang disampaikan, Situasinya terdengar buruk. {nl} Sepertinya informasi yang telah Kamu dan Scott teliti adalah benar.
QUEST_LV_0200_20150317_000100	{nl} Maka, Aku harus melakukan sesuatu. {nl} Kalahkan beberapa Vubbe Red terlebih dahulu. Mereka telah mengusik pikiranku akhir-akhir ini.
QUEST_LV_0200_20150317_000101	Tolong, Aku mohon kepada Kamu. . {nl} Aku mulai kesal hanya melihat warna merah ini.
QUEST_LV_0200_20150317_000102	Oh, apakah Kamu benar-benar mengalahkan mereka untukku? {nl} Terima kasih!
QUEST_LV_0200_20150317_000103	Aku mendapatkan sesuatu setelah berbicara dengan Scott. {nl} Beberapa Woodman sedang memindahkan Tree Sculpture. {nl} Apakah ini berkaitan dengan Sebuah Bark of Tree yang dimiliki oleh Vubbe?
QUEST_LV_0200_20150317_000104	Sepertinya, belum ada kabar dari Scott tentang laporan keduanya. {nl} Aku ingin menghetahui apa yang sebenarnya terjadi pada Scoot? Hmm..
QUEST_LV_0200_20150317_000105	Wow, hebat! {nl} Aku berutang budi padamu. Terima kasih!
QUEST_LV_0200_20150317_000106	Benar? Jadi Aku akan meminta Kamu. {nl} Woodman muncul di Deer Hoot Site disepanjang sisi kiri jalan.
QUEST_LV_0200_20150317_000107	Aku akan membawa hasil pengabungan Material Scott dan Fragment ini kepada pemimpinku. {nl} Sepertinya, hingga saat ini belum ada kabar apapun dari Scott. Meskipun sudah lama Scott menjanjikannya. Hanya mengandalkan kabar angin saja tidaklah cukup untuk melakukan penyelidikan lainnya?{nl}
QUEST_LV_0200_20150317_000108	Bisakah Kamu mengambil laporan dari Scott? {nl} Jangan lupa untuk menegurnya karena mengabaikan pekerjaan!
QUEST_LV_0200_20150317_000109	Tolong tangani laporan Scott. Oke? {nl} Terkadang, dia bodoh, tapi dia juga imut.
QUEST_LV_0200_20150317_000110	Aku jarang terlihat. Akhir-akhir ini, Aku sedang menyelidiki berbagai tempat untuk menemukan sesuatu.. {nl} Terima kasih banyak. Jika Kamu tidak .. {nl} Ah, Aku tidak ingin memikirkannya. {nl}
QUEST_LV_0200_20150317_000111	Ah, sudah waktunya. {nl} Maafkan aku, Tolong berikan ini kepada Fray. {nl} Aku tidak tahu harus mulai darimana untuk menyelesaikan kekacauan yang Vubbe lakukan..
QUEST_LV_0200_20150317_000112	Ah, ini laporannya! {nl} Bagus, dan apa yang sedang Scott lakukan? {nl}
QUEST_LV_0200_20150317_000113	Benarkah? Dia tidak bisa menangani Vubbe satupun dan mendapatkan masalah. {nl} Ini sungguh memalukan.. Aku akan memarahinya nanti!
QUEST_LV_0200_20150317_000114	Semuanya berantakan. {nl} Aku tidak bisa berkonsentrasi karena Vubbe. {nl} Dia pasti tertawa, jika dia melihatnya?
QUEST_LV_0200_20150317_000115	Joint Investigation Team Fray
QUEST_LV_0200_20150317_000116	Peristiwa tersebut masih dalam proses pemeriksaan.{nl}Ambillah. Ini adalah Soul Collection Scroll.{nl}
QUEST_LV_0200_20150317_000117	Setelah Kamu mengalahkan Red Vubbe dengan menggunakan scroll ini, maka jiwa mereka akan keluar, bukan? {nl} Aku memintamu untuk mengumpulkan semuanya. Dengan begitu, data hampir selesai dikumpulkan.
QUEST_LV_0200_20150317_000118	Jangan lupa perintahnya. {nl} Kamu harus mengalahkan Red Vubbe setelah menggunakan Soul Collection Scroll kepada mereka. Apakah kamu mengerti?
QUEST_LV_0200_20150317_000119	Mengenai Bark Tree yang Vubbe miliki.{nl} Aku pikir dapat digabungkan dengan menggunakan kekuatan Spirit..{nl} Baiklah, Sampaikan berita ini kepada Ukirt.
QUEST_LV_0200_20150317_000120	Joint Investigation Team Ukirt
QUEST_LV_0200_20150317_000121	Scott dan Fray bekerja dengan baik. Bagaimana menurutmu?{nl}Kurasa Vubbe tidak bisa menciptakannya sendiri.{nl}Aku harus memeriksa apa yang mereka lakukan dengan ini.{nl}
QUEST_LV_0200_20150317_000122	Mungkin ada sesuatu di dalam Supply Box yang ditinggalkan oleh para prajurit dahulu kala. {nl} Kamu dapat menemukan Old Supply Box diatas sana. {nl} Dapatkah Kamu pergi kesana dan memeriksanya? Jika kita dapat menemukan beberapa petunjuk di sana, kita bisa mendapatkan jawabannya.
QUEST_LV_0200_20150317_000123	Jika Kamu kembali ke arah yang telah kamu lalui sebelumnya, Kamu akan melihat sebuah Observatory Tower di area Perbukitan. {nl} Semoga Monster belum menguasai tempat tersebut..
QUEST_LV_0200_20150317_000124	Apa mereka sedang merencanakan sesuatu?{nl}Sepertinya.. Mencurigakan..
QUEST_LV_0200_20150317_000125	Para Vubbe merusak Supply Box dan lari membawanya? {nl} Mengapa? Apakah mereka yang telah melakukannya? {nl} Ini tidak mungkin, mereka tidak cukup pintar untuk melakukan hal itu. {nl}
QUEST_LV_0200_20150317_000126	Bagus! Kita harus tetap fokus dan memecahkan masalahnya!
QUEST_LV_0200_20150317_000127	Oke. Apa kamu siap?{nl}
QUEST_LV_0200_20150317_000128	Sebelum Kamu datang, Aku melihat sekelompok Vubbe. {nl} Pergilah ke Gebene Cliffs dan lihatlah situasi disekitarnya.
QUEST_LV_0200_20150317_000129	Vubbes selalu terlibat apapun yang terjadi di sini. {nl} Hal ini tidak mungkin terjadi secara kebetulan.
QUEST_LV_0200_20150317_000130	Aku rasa.. Aku mengerti sekarang. {nl} kupikir itu seperti sebuah pabrik besar untuk menciptakan monster besar yang disebut Woodspirits. {nl}
QUEST_LV_0200_20150317_000131	Vubbe Flag pasti telah memanggil Ghost. {nl} Kemudian mereka mencemarkan pepohonan dan menciptakan Monster besar. {nl}
QUEST_LV_0200_20150317_000132	Bark Tree itu sebagai bahan-bahan untuk membuat Woodspirits. {nl} Tidak mungkin para Vubbe bisa melakukannya sendiri disana. {nl} Mereka pasti menerima perintah dari seseorang!
QUEST_LV_0200_20150317_000133	Kita mungkin dapat menemukan beberapa bukti yang berharga di tempat Vubbe yang berkumpul secara bersamaan. {nl} Jika Prey melihat ini, ia pasti akan menyukainya!
QUEST_LV_0200_20150317_000134	Vubbes tidaklah begitu pintar sehingga mereka harus membuat perintah yang mudah dipahami. {nl} Bagaimana bisa dia berpikir untuk mengendalikan Vubbes.. {nl} Aku tidak tahu harus berkata apa. {nl}
QUEST_LV_0200_20150317_000135	Aku yakin bahwa Woodspirits dibuat di berbagai tempat. {nl} Aku bisa merasakan energi jahat yang datang. {nl} Pertama kita harus menghancurkan Flag yang menghasilkan Woodspirits!
QUEST_LV_0200_20150317_000136	Pergilah segera. {nl} Tindakan terbaik untuk saat ini adalah untuk menghentikan pembuatan Woodspirits.
QUEST_LV_0200_20150317_000137	Kurasa kita telah melakukan hal yang terbaik untuk saat ini. {nl} Karena kita tidak bisa melakukan sesuatu kembali bila sudah tercipta.
QUEST_LV_0200_20150317_000138	Aku bisa merasakan terdapat Flag berada  dekat dengan Gatves Highway. {nl} Pepohonan besar yang mereka lihat kemungkinan adalah Woodspirits. {nl} Bagaimana Aku bisa melewatkan hal yang sederhana ini.
QUEST_LV_0200_20150317_000139	Earnest Owl Chief Sculpture
QUEST_LV_0200_20150317_000140	Terima kasih banyak. {nl} Para Owl lainnya pasti telah mendapatkan rasa kepecayaan diri mereka karenamu.
QUEST_LV_0200_20150317_000141	Weak Owl Sculpture
QUEST_LV_0200_20150317_000142	Ini sudah terlambat.. {nl} Goddess terkadang bisa berubah menjadi kejam ..
QUEST_LV_0200_20150317_000143	Aku punya satu permintaan terakhir. {nl} Dapatkah kamu membakar para Owl sehingga mereka bisa beristirahat dengan tenang?
QUEST_LV_0200_20150317_000144	Apakah Kamu pikir teman-teman Aku bisa mencapai Goddess Ausrine dengan aman?
QUEST_LV_0200_20150317_000145	Terima kasih banyak. {nl} Pertama bawakan Aku Oil dari Oil Boxes dalam perjalanan menuju ke Neuoder Field.
QUEST_LV_0200_20150317_000146	Jika Kamu tidak keberatan dengan hal ini, Aku ingin meminta bantuan kembali darimu. {nl} Aku telah mengutus seseorang, namun karena serangan terakhir, Aku sekarang jadi mengkhawatirkannya. {nl}
QUEST_LV_0200_20150317_000147	Utusan tersebut seharusnya aman... tapi Aku masih mengkhawatirkannya.
QUEST_LV_0200_20150317_000148	Terima kasih banyak. {nl} Dia seharusnya berada disana sekarang.
QUEST_LV_0200_20150317_000149	Squad telah dikirim untuk melindungi Kateen Forest dari para Monster. {nl} Pintu masuk menuju Kateen Forest sudah aman dibandingkan dengan area lainnya. Area lainnya belum berhasil dikuasai.
QUEST_LV_0200_20150317_000150	Ketika berada di tempat yang sangat jauh, terdapat prajurit yang berada di sepanjang jalan yang mengalami kekurangan Supplies. {nl} Jika kamu sebagai orang baik, kamu dapat membantu mereka , Ini sangat membantu. {nl}
QUEST_LV_0200_20150317_000151	Fallen Messenger
QUEST_LV_0200_20150317_000152	Ini salahku, karena beranggapan bahwa pintu masuk ke Kateen Forest lebih aman. {nl} Aku akan kembali ke Camp setelah beristirahat sebentar.
QUEST_LV_0200_20150317_000153	Ah, ini tasku.. terima kasih karena telah menyelamatkan Aku. {nl}
QUEST_LV_0200_20150317_000154	Hanya kamu yang bisa membantuku saat ini. {nl} Bisakah kamu memberitahu Felix bahwa operasi di Peljeda Crossroads sudah dimulai? {nl} {nl}
QUEST_LV_0200_20150317_000155	Ada banyak hal aneh di Kateen Forest yang tidak ada di hutan lainnya. {nl} Salah satunya seperti Wooden Owl Sculptures.
QUEST_LV_0200_20150317_000156	Operasi? Oh, dasar Utusan bodoh {nl}. Aku bisa mendapatkannya dari Camp.. Bagaimanapun juga Terima kasih. {nl}
QUEST_LV_0200_20150317_000157	Oh, perjalanan kembali cukup gelap, sehingga akan lebih baik jika Kamu bisa menyalakan Bonfire kembali.
QUEST_LV_0200_20150317_000158	Kamu tidak dapat melihat sinar matahari di Kateen Forest karena banyaknya pohon-pohon besar. {nl} Nampaknya Ghosts bisa muncul setiap saat.
QUEST_LV_0200_20150317_000159	Oke, jadi utusan tersebut aman? {nl} Tempat ini sudah ditangani dengan baik, terima kasih untuk usahamu.
QUEST_LV_0200_20150317_000160	Aku akan istirahat sebentar di sini. {nl} Apakah terdapat tempat yang aman untuk bersembunyi?
QUEST_LV_0200_20150317_000161	Telah membiarkan Saltistter untuk masuk sejauh ini kebelakang garis pertahan kami, Aku harus memarahi orang yang bertugas menjaga tempat ini. {nl} Bagaimanapun terima kasih. Kamu memang sesuai dengan reputasi Kamu. {nl}
QUEST_LV_0200_20150317_000162	Guard Lyle
QUEST_LV_0200_20150317_000163	Aku telah kehilangan banyak patner ketika melewati Stone Frosts. {nl} Aku tidak mengerti mengapa Aku ke sini untuk membantu Chronomancer pemula... jadi tidak efisien. {nl} Selain itu, kita tidak tahu kapan para monster yang kejam akan menyerang ke sini.
QUEST_LV_0200_20150317_000164	Jika Kamu tidak keberatan, bisakah Kamu menyingkirkan para monster disaat kita melindungi tempat ini?
QUEST_LV_0200_20150317_000165	Sungguh disayangkan bila kita harus membantu wanita itu kali ini.
QUEST_LV_0200_20150317_000166	Terima kasih. Kita bisa tetap aman di sini untuk sementara waktu.
QUEST_LV_0200_20150317_000167	Beberapa minggu yang lalu, pasukan kami diserang saat mereka tertidur oleh Stone Frosts. {nl} Setelah dunia menjadi seperti ini, bantuanpun tidak kunjung datang sehingga tiada cara selain menunggu dengan sabar.{nl} Lalu para monster menyerang korban yang sedang dibantu. Dasar mahkluk terkutuk!
QUEST_LV_0200_20150317_000168	Jika terdapat prajurit yang masih bertahan disekitar Stone, dapatkah Kamu berada di dekatnya dan melindungi mereka untuk sementara waktu?
QUEST_LV_0200_20150317_000169	Teman lamaku, Galen adalah salah satu korbannya.{nl} Lindungilah dia.
QUEST_LV_0200_20150317_000170	Terima kasih banyak. Aku berharap bala bantuan segera datang sehingga dia dapat kembali ke keluarganya walaupun ia dalam ketakutan.
QUEST_LV_0200_20150317_000171	Terdapat banyak Cursed Documents dan Uncleaned Objects di Ruklys Street. {nl} Di sana juga ada banyak pencuri yang mengincarnya. {nl} Dan di antara mereka, Dico Thieves yang paling sering menyerang Guards.
QUEST_LV_0200_20150317_000172	Dapatkah kamu mengalahkan mereka di Military District? {nl} Jika Kamu bisa mengalahkannya, kita akan pergi dan menangkap mereka.
QUEST_LV_0200_20150317_000173	Seseorang yang tertangkap berkata pada kami bahwa Stone Statues berbicara padanya.{nl}Apakah kamu berpikir itu masuk akal?
QUEST_LV_0200_20150317_000174	Aku bisa menangkap banyak pencuri berkat bantuan Kamu.{nl} Terima kasih.
QUEST_LV_0200_20150317_000175	Guard Nomabis
QUEST_LV_0200_20150317_000176	Beberapa hari lalu, kami kehilangan Supplies akibat Dico Thieves.{nl}Mereka pasti membawanya ke Drasa Worship Ruins, tapi karena aku tidak bisa meninggalkan tempat ini, kurasa kita semua akan mati.
QUEST_LV_0200_20150317_000177	Dapatkah kamu mengambil kembali Supplies itu?
QUEST_LV_0200_20150317_000178	"
Beberapa tahun yang lalu, para pencuri menyerang Guard Camp dan mencuri Supplies secara diam-diam."
QUEST_LV_0200_20150317_000179	Mereka memancing kami untuk maju ke arah mereka dan mereka mencuri benda-benda dari belakang sehingga kami tidak bisa mencegahnya. {nl} Mereka ingin mengambil benda-benda tersebut sehingga secara hukum mereka akan dikirim ke tiang gantungan.
QUEST_LV_0200_20150317_000180	Populasi Dico Thieves meningkat. {nl} Mereka sangat dekat dengan Monster. Aku tidak mengetahui apakah mereka melatih monster tersebut atau mereka memiliki rencana yang belum aku ketahui. {nl} Aku mendengar Knight Kaliss telah diserang oleh kawanannya. {nl} Entah apakah mereka sedang mengincar Sabina atau tidak. Karena ia selalu membawa benda berharga kemanapun ia pergi..
QUEST_LV_0200_20150317_000181	Untuk terhindar dari bahaya, kita harus menyerangnya terlebih dahulu sebelum mereka bergerak.{nl} Pergilah ke Drasa Worship Ruins dan kalahkan mereka.
QUEST_LV_0200_20150317_000182	Kota yang telah hancur sejak ratusan tahun yang lalu tidak memiliki apapun untuk dilindungi.{nl}Rasanya seperti melindungi puing reruntuhan. Disana terdapat kawanan pencuri.
QUEST_LV_0200_20150317_000183	Kamu telah memberi mereka pelajaran. Bagus sekali.
QUEST_LV_0200_20150317_000184	Beberapa waktu yang lalu, para prajurit yang bekerja disini menerima kerusakan oleh Stone Frosts dan menjadi Stone Statue di Square. {nl} Alasan mengapa para prajurit mengalaminya karena meraka tidak dapat menghindari perangkap kawanan pencuri yang terpasang disekitarnya. {nl} Sepertinya masih banyak perangkap disekitar area ini. Kami telah menemukannya. Dapatkah kamu menyingkirkannya?
QUEST_LV_0200_20150317_000185	Jumlah Dico Thieves mungkin lebih banyak daripada jumlah Guards.
QUEST_LV_0200_20150317_000186	Kamu menangkap Monster diluar wilayah para pencuri. Maafkan aku, Karena kamu harus pergi untuk memulai pekerjaan yang cukup berbahaya ini.
QUEST_LV_0200_20150317_000187	Chronomancer Sabina
