SKILL_20150317_000001	Attack
SKILL_20150317_000072	[Geppetto] Physical Strike, Elemen Earth Attack 1 kali
SKILL_20150317_000073	[Boowook] Physical, Strike, Elemen Earth Attack 1 kali
SKILL_20150317_000074	[Boowook] Physical, Strike, Elemen Earth Feet Stomp Attack 1 kali,
SKILL_20150317_000075	[Desmodus] Physical, Pierce, Elemen Dark Tail Blow
SKILL_20150317_000076	[Desmodus] Physical, Pierce, Elemen Dark Body Blow
SKILL_20150317_000077	[Pino] Physical Blow, Elemen Earth Attack 1 kali
SKILL_20150317_000078	[Cauliflower] Physical, Pierce, Elemen Poison, Smash dengan tentacle
SKILL_20150317_000079	[Cauliflower] Physical, Pierce, Elemen Poison, Gouge dengan tentacle
SKILL_20150317_000080	[Cauliflower] Physical, Pierce, Elemen Poison, Ground Smash
SKILL_20150317_000081	[Helmet Bug] Physical, Pierce, Elemen Earth, Attack 1 kali
SKILL_20150317_000082	[Helmet Bug] Normal Attack2
SKILL_20150317_000083	[Bikaaras Mage] Magic, Magic, Elemen Fire, Attack 1 kali
SKILL_20150317_000084	[Bikaaras Mage] Physical, Slash, Elemen Fire, Attack 1 kali
SKILL_20150317_000085	[Vikaras] Physical, Slash, Elemen Fire, Attack 1 kali
SKILL_20150317_000086	[Vikaras] Physical, Slash, Elemen Fire, Ground Smash 1 kali
SKILL_20150317_000087	[Mutant Chinency] Normal Attack, Forward Missile
SKILL_20150317_000088	[Zinute] One-handed Blow
SKILL_20150317_000089	[Zinute] Two-handed clap
SKILL_20150317_000090	[Zinute] Ground Smash 
SKILL_20150317_000091	[Lauzinute] Physical, Pierce, Elemen Fire Attack 1 kali
SKILL_20150317_000092	[Lauzinute] Physical, Pierce, Elemen Fire Rotating Attack
SKILL_20150317_000093	[Dandel] Physical Pierce Elemen Lightning Attack 1 kali
SKILL_20150317_000094	[Rusrat] Physical, Slash, Elemen Lightning Attack 2 kali
SKILL_20150317_000095	[Rusrat] Physical, Slash, Elemen Lightning Attack 1 kali
SKILL_20150317_000096	[Medakia] Physical, Slash, Elemen Dark Attack 1 kali
SKILL_20150317_000097	[Medakia] Magic, Magic, Elemen Dark Attack 1 kali
SKILL_20150317_000098	[Medakia] Ground Smash
SKILL_20150317_000099	[Wheelen] Two-handed clap
SKILL_20150317_000100	[Mauros] Physical, Strike, Elemen Dark Attack 1 kali
SKILL_20150317_000101	[Mauros] Physical, Strike, Elemen Dark Smash Attack 1 kali
SKILL_20150317_000102	[Sauga] Physical Strike Elemen Earth Attack 1 kali
SKILL_20150317_000103	[Sauga] Physical, Strike, Elemen Earth Ground Smash
SKILL_20150317_000104	Pumpkin Normal attack.
SKILL_20150317_000105	Attack 2
SKILL_20150317_000106	Pumpkin Normal attack 2.
SKILL_20150317_000107	[Saurman Priest] Normal attack.
SKILL_20150317_000108	Skill
SKILL_20150317_000109	[Saurman Priest] skills.
SKILL_20150317_000110	Saurman Normal attack.
SKILL_20150317_000111	Saurman Normal attack 2.
SKILL_20150317_000112	Boy Ghost Normal attack.
SKILL_20150317_000113	Boy Ghost skills.
SKILL_20150317_000114	Uncle Ghost Normal attack.
SKILL_20150317_000115	Uncle Ghost skills.
SKILL_20150317_000116	Goble Elite Normal attack.
SKILL_20150317_000117	Goble Elite Normal attack 2.
SKILL_20150317_000118	Screw Zombie Normal attack.
SKILL_20150317_000119	Screw Zombie Normal attack 2.
SKILL_20150317_000120	Berserker Zombie Normal attack.
SKILL_20150317_000121	Candle Zombie Normal attack.
SKILL_20150317_000122	Zombie Archer Normal attack.
SKILL_20150317_000123	[High Vubbe] Physical, Slash, Elemen Water, Normal attack
SKILL_20150317_000124	[High Vubbe Archer] Range, Pierce, Elemen Water, Normal attack
SKILL_20150317_000125	Girl Ghost Normal attack.
SKILL_20150317_000126	Girl Ghost skills.
SKILL_20150317_000127	Madam Ghost Normal attack.
SKILL_20150317_000128	Madam Ghost skills.
SKILL_20150317_000129	Mirtis Eyeball Normal attack.
SKILL_20150317_000130	Mirtis Eyeball Normal attack 2.
SKILL_20150317_000131	Spector Elite Normal attack.
SKILL_20150317_000132	Spector Elite Normal attack 2.
SKILL_20150317_000133	[Chinency] Physical, Strike, Elemen Earth, one stroke ahead-back blow
SKILL_20150317_000134	[Popolion] Physical, Strike, Elemen Earth, Headbutt
SKILL_20150317_000135	[Popolion] Physical, Strike, Elemen Earth, Sonic wave attack
SKILL_20150317_000136	[Range Chinency] Normal attack, Forward missile
SKILL_20150317_000137	[Range Chinency] Skill 1, Forward Missile, Induce Knockback
SKILL_20150317_000138	[Chupacabra] Physical, Strike, Elemen Earth, Headbutt
SKILL_20150317_000139	[Chupacabra] Physical, Strike, Elemen Earth, Jump dan Stomp
SKILL_20150317_000140	[Chupacabra] Chupa Normal attack 3
SKILL_20150317_000141	[Chupacabra] Chupa Normal attack 4
SKILL_20150317_000142	Specter Normal attack.
SKILL_20150317_000143	Woodspirit Normal attack.
SKILL_20150317_000144	Woodspirit Normal attack 2.
SKILL_20150317_000145	Guard Normal attack.
SKILL_20150317_000146	Guard Normal attack 2.
SKILL_20150317_000147	Large explosion
SKILL_20150317_000148	Large explosion (Defence)
SKILL_20150317_000149	One-way turret Normal attack.
SKILL_20150317_000150	[Ridimed] Physical, Blow, Elemen Poison, Attack 1 kali
SKILL_20150317_000151	Goblin Fighter attack.
SKILL_20150317_000152	Thorn Bush Normal attack.
SKILL_20150317_000153	[Combat Soldiers] Combatants attack
SKILL_20150317_000154	[Combat Soldiers] Combatants attack 2
SKILL_20150317_000155	Zombie Archer skill.
SKILL_20150317_000156	Wheelchair Zombie Normal attack.
SKILL_20150317_000157	Wheelchair Zombie skills.
SKILL_20150317_000158	Wall of Flame
SKILL_20150317_000159	Membuat Wall of Flame memberikan damage kepada musuh yang menyentuhnya.
SKILL_20150317_000160	Mine explosion
SKILL_20150317_000161	Detonate explosive mines.
SKILL_20150317_000162	Toxic explosion
SKILL_20150317_000163	Detonate toxic mines.
SKILL_20150317_000164	Claymore explosion
SKILL_20150317_000165	Claymore explosion.
SKILL_20150317_000166	Jump Attack
SKILL_20150317_000167	Life Stream
SKILL_20150317_000168	Life Stream Hill
SKILL_20150317_000169	Glacier Wedge
SKILL_20150317_000170	After the 2 Glacier Wedge
SKILL_20150317_000171	Seed explosion
SKILL_20150317_000172	Seed explosion.
SKILL_20150317_000173	Flame explosion
SKILL_20150317_000174	Flame explosion.
SKILL_20150317_000175	Snowstorm
SKILL_20150317_000176	Meteor Bang
SKILL_20150317_000177	Normal attack
SKILL_20150317_000178	Smack Down
SKILL_20150317_000179	Smack down dan memberikan damage kepada musuh ketika mendorongnya
SKILL_20150317_000180	Missile attack
SKILL_20150317_000181	AOS turret attack
SKILL_20150317_000182	[Woodman] attack
SKILL_20150317_000183	Salamander attack
SKILL_20150317_000184	[Vubbe Miner] Physical, Slash, Elemen Earth, Swing Pickaxe
SKILL_20150317_000185	Hall statue attack
SKILL_20150317_000186	Hall statue skill
SKILL_20150317_000187	Priest attack 1
SKILL_20150317_000188	Priest skill 1
SKILL_20150317_000189	[Green Apparition] Magic, Magic, Elemen Lightning, attack 1 kali
SKILL_20150317_000190	Attack Statue 1
SKILL_20150317_000191	[Vubbe Theif] Physical, Slash, Elemen Earth, Spear Twirl
SKILL_20150317_000192	[Vubbe Theif] Physical, Pierce, Elemen Earth Aries skills
SKILL_20150317_000193	[Saurman Spearman] Normal attack.
SKILL_20150317_000194	[Saurman Spearman] Normal attack 2.
SKILL_20150317_000195	[Vubbe Archer] Range, Pierce, Elemen Earth, Frontal Arrow Shot
SKILL_20150317_000196	[Pokubu] Physical, blow, Elemen Earth, Hook Attack
SKILL_20150317_000197	[Bagworm] Magic, Magic, Elemen Poison, Frontal Poison Spread Attack
SKILL_20150317_000198	[Bagworm] Long Distance, Magic, Elemen Poison, Ranged Poison Shot
SKILL_20150317_000199	[Saurman Axeman] Normal attack.
SKILL_20150317_000200	[Saurman Axeman] Normal attack 2.
SKILL_20150317_000201	Heal
SKILL_20150317_000202	Monster Heal
SKILL_20150317_000203	Vubbe Miners Attack
SKILL_20150317_000204	[Feral Pokubu] Normal attack.
SKILL_20150317_000205	Guard Normal attack.
SKILL_20150317_000206	Guard Normal attack 2.
SKILL_20150317_000207	Guard Normal attack 3.
SKILL_20150317_000208	[Candle Spider] Physical, Blow, Elemen Dark, One-Legged Attack
SKILL_20150317_000209	[Candle Spider] Physical, Blow, Elemen Dark, Body Slam
SKILL_20150317_000210	[Candle Spider] Physical, Blow, Elemen Dark, Jump dan Two-Legged Stomp
SKILL_20150317_000211	[Winged Frog] Physical, Blow, Elemen Poison, Attack 1 kali
SKILL_20150317_000212	[Winged Frog] Physical, Blow, Elemen Poison, Poison Attack 1 kali
SKILL_20150317_000213	[Winged Frog] Physical, Blow, Elemen Dark, Headbutt Knockback Attack
SKILL_20150317_000214	[Black Leaf Bug] Physical, Blow, Elemen Dark, Body Slam
SKILL_20150317_000215	[Black Leaf Bug] Physical, Blow, Elemen Dark, Bite attack
SKILL_20150317_000216	[Black Leaf Bug] Physical, Blow, Elemen Dark, Jump attack
SKILL_20150317_000217	[Cemetery Golem] Physical, Blow, Elemen Earth attack 1 kali
SKILL_20150317_000218	[Drake] Physical, Slash, Elemen Fire, attack 1 kali
SKILL_20150317_000219	[Drake] Magic, Magic, Elemen Fire, Fume Flame attack
SKILL_20150317_000220	[Big Cockatrice] Physical, Pierce, Elemen Fire, Attack 2 kali
SKILL_20150317_000221	[Big Cockatrice] Magic, Pierce, Elemen Fire, Fly dan Headbutt
SKILL_20150317_000222	[Big Cockatrice]
SKILL_20150317_000223	[Panto Shaman] Physical Normal Strike
SKILL_20150317_000224	[Panto Shaman] Magic, Elemen Lightning Strike
SKILL_20150317_000225	[Panto Shaman] Magic, Elemen Lightning Magic
SKILL_20150317_000226	[Panto Wizard] Physical Normal Strike
SKILL_20150317_000227	[Panto Wizard] Magic, Elemen Lightning Strike
SKILL_20150317_000228	[Panto Wizard] Magic, Elemen Lightning Magic
SKILL_20150317_000229	[Moya] Physical, Strike, Elemen Lightning Attack
SKILL_20150317_000230	[Moyabu] Physical, Strike, Elemen Lightning Attack
SKILL_20150317_000231	[Bavon] Physical, Strike, Elemen Earth Attack
SKILL_20150317_000232	[Tanu] Physical Elemen Poison Slash
SKILL_20150317_000233	[Zignuts] Physical Elemen Poison Strike
SKILL_20150317_000234	[Zignuts] Physical Normal Slash
SKILL_20150317_000235	[Moglan] Physical, Pierce, Elemen Lightning Attack
SKILL_20150317_000236	[Moglan] Physical, Pierce, Elemen Lightning Rotation Attack 2 kali
SKILL_20150317_000237	[Denden] Physical, Strike, Elemen Dark Attack
SKILL_20150317_000238	[Denden] Range, Magic, Elemen Dark Shoot 1 kali
SKILL_20150317_000239	[Doyor] Physical, Strike, Elemen Poison Attack
SKILL_20150317_000240	[Doyor] Magic Reflect Shield Magic
SKILL_20150317_000241	[Tipio] Physical Normal Strike
SKILL_20150317_000242	[Tipio] Magic Elemen Poison Magic
SKILL_20150317_000243	[Rondo] Physical, Pierce, Elemen Earth Attack
SKILL_20150317_000244	Physical, Strike, Elemen Earth, Attack
SKILL_20150317_000245	[Terra Imp] Physical, Strike, Elemen Dark Attack
SKILL_20150317_000246	[Venucelos] Physical, Strike, Elemen Earth, Attack
SKILL_20150317_000247	[Venucelos] Physical, Strike, Elemen Earth, Attack 3 kali
SKILL_20150317_000248	[Grave Golem] Physical, Strike, Non-Elemen, Attack
SKILL_20150317_000249	[Grave Golem] Physical, Strike, Non-Elemen, Smash Attack
SKILL_20150317_000250	[Grave Golem] Physical, Strike, Non-Elemen, Attack monster terdekat
SKILL_20150317_000251	[Wheelen] Physical, Pierce, Elemen Lightning Pierce Attack
SKILL_20150317_000252	[Wheelen] Physical, Pierce, Elemen Lightning Rotation Attack 2 kali
SKILL_20150317_000253	[Wheelen] Physical, Pierce, Elemen Lightning Strong Pierce Attack
SKILL_20150317_000254	[Rockter] Physical, Strike, Non-Elemen, Body Slam
SKILL_20150317_000255	[Caro] Physical, Slash, Elemen Poison, Attack 2 kali
SKILL_20150317_000256	[Vubbe Fighter] 1 time , Physical, Strike, Elemen Earth
SKILL_20150317_000257	[Red_Kepa] 1 time Physical,Strike, Elemen Fire
SKILL_20150317_000258	[Tiny] Physical, Slash, Elemen Lightning, Attack 2 kali
SKILL_20150317_000259	[Treeambulo] Physical, Strike, Elemen Earth, Attack
SKILL_20150317_000260	[Spion] Physical, Strike, Elemen Poison, Attack 2 kali
SKILL_20150317_000261	[Bat] Physical, Strike, Elemen Dark, Strike with wings
SKILL_20150317_000262	[Shredded] Magic, Magic, Elemen Dark, Elemen Dark
SKILL_20150317_000263	[Yekubite] Physical, Strike, Elemen Ice, Head stomp
SKILL_20150317_000264	[Shardstatue] Physical, Pierce, Elemen Lightning, Wing strike
SKILL_20150317_000265	[Cire] Physical, Strike, Elemen Lightning, Attack
SKILL_20150317_000266	[Treegool] Physical, Strike, Elemen Dark, Attack
SKILL_20150317_000267	[Ammon] Physical, Slash, Elemen Earth Attack
SKILL_20150317_000268	[Operor] Physical, Pierce, Elemen Poison, Bee Pierce Attack
SKILL_20150317_000269	[Chafperor] Physical, Pierce, Elemen Poison, Pierce
SKILL_20150317_000270	[Ravinelerva] Range, Magic, Elemen Poison, Attack
SKILL_20150317_000271	[Vesper] Physical, Strike, Elemen Dark, Tail whip
SKILL_20150317_000272	[Karas] Physical, Slash, Elemen Dark, Attack
SKILL_20150317_000273	[Echad] Physical, Strike, Elemen Earth, Attack
SKILL_20150317_000274	[Shtayim] Physical, Strike, Elemen Earth, Attack
SKILL_20150317_000275	[Tombsinker] Physical, Pierce, Elemen Dark, Attack
SKILL_20150317_000276	[Weaver] Physical, Strike, Elemen Earth, Smoke attack
SKILL_20150317_000277	[Hallowventer] Magic, Magic, Elemen Dark, Attack
SKILL_20150317_000278	[Infro Rocktor] Physical, Strike, Elemen Earth, One-handed hit
SKILL_20150317_000279	[Meleech] Physical, Slash, Elemen Poison, Attack
SKILL_20150317_000280	[Infroburk] Physical, Strike, Elemen Fire, Attack
SKILL_20150317_000281	[Zolem] Physical, Strike, Elemen Earth, Attack
SKILL_20150317_000282	[Kepa Raider] Physical, Strike, Elemen Dark, Attack
SKILL_20150317_000283	[Mushcarfung] Physical, Strike, Elemen Dark, Body Attack
SKILL_20150317_000284	[Woodman] Physical, Slash, Elemen Dark, Attack
SKILL_20150317_000285	[Wood_Goblin] Physical, Strike, Elemen Lightning, Attack
SKILL_20150317_000286	[Stoneorca] Physical, Strike, Elemen Ice, Tail Hook
SKILL_20150317_000287	[Stoneorca] Magic, Increase Block, Buff , Magic
SKILL_20150317_000288	[Drape] Physical, Pierce, Elemen Poison Attack,
SKILL_20150317_000289	[Infroholder] Physical, Strike, Elemen Fire, Attack
SKILL_20150317_000290	[Repusbunny] Physical, Slash, Elemen Ice, Attack
SKILL_20150317_000291	[Armory] Physical, Strike, Elemen Fire Attack
SKILL_20150317_000292	[Hound] Physical, Pierce, Elemen Dark Attack
SKILL_20150317_000293	[Stoulet] Physical, Strike, Elemen Dark Attack
SKILL_20150317_000294	[Prisonfighter] Physical, Slash, Elemen Dark Attack
SKILL_20150317_000295	[Caro] Physical, Slash, Elemen Poison, Attack
SKILL_20150317_000296	[Maggot] Physical, Strike, Elemen Dark, Body Stomp
SKILL_20150317_000297	[Vubbe Chaser] Physical, Pierce, Elemen Dark, Pierce Attack
SKILL_20150317_000298	[Red Meduja] Magic, Magic, Elemen Fire, Attack
SKILL_20150317_000299	Magic Elemen Dark Magic
SKILL_20150317_000300	[Filibo] Physical, Strike, Elemen Poison Attack
SKILL_20150317_000301	[Ellom] Physical, Strike, Elemen Lightning, Smoke Attack
SKILL_20150317_000302	[Ellom] Physical, Strike, Elemen Lightning, Smash Attack
SKILL_20150317_000303	[Hogma Warrior] Physical Slash Elemen Fire Attack
SKILL_20150317_000304	[Hogma Archer] Range Pierce Elemen Lightning Attack
SKILL_20150317_000305	[Hogma Shaman] Magic, Magic, Elemen Fire Attack
SKILL_20150317_000306	[Merog Shaman] Magic, Magic, Elemen Ice, Range Force Attack
SKILL_20150317_000307	[Merog Poison Accupunturist] Range, Pierce, Elemen Poison, Shoot poison
SKILL_20150317_000308	[Hogma Shaman] Magic, Magic, Elemen Fire Firewall Attack,
SKILL_20150317_000309	[Merog Shaman] Magic, Strike, Elemen Ice, dengan Rod
SKILL_20150317_000310	[Hogma Warrior] Physical Strike Elemen Fire Shield Knockback Attack
SKILL_20150317_000311	[Hogma Warrior] Buff, Magic Elemen Fire Block increase
SKILL_20150317_000312	[Merog Poison Accupunturist] Range, Pierce, Elemen Poison, Jump and Shoot poison needle
SKILL_20150317_000313	[Hogma Battle Commander] Physical Slash Elemen Dark Attack
SKILL_20150317_000314	[Hogma Battle Commander] Physical Pierce Elemen Dark Attack
SKILL_20150317_000315	[Hogma Battle Commander] Monster Summon
SKILL_20150317_000316	[Lizardman] Physical, Strike, Elemen Lightning, Attack
SKILL_20150317_000317	[Chupaluka] Physical, Strike, Elemen Dark Attack
SKILL_20150317_000318	[Ellomago] Physical, Pierce, Elemen Lightning, Attack
SKILL_20150317_000319	[Ellogua] Physical, Pierce, Elemen Lightning Attack
SKILL_20150317_000320	[Ellogua] Range, Magic, Elemen Lightning Shoot
SKILL_20150317_000321	[Wendigo] Physical Slash Elemen Fire Attack
SKILL_20150317_000322	[Lizardman] Physical, Strike, Elemen Lightning, March in and Head-butt Attack
SKILL_20150317_000323	[Kepari] Magic, Magic, Elemen Fire Attack Fire ?Buff
SKILL_20150317_000324	[Kodomor] Physical, Strike, Elemen Poison Attack
SKILL_20150317_000325	[Kowak] Physical, Strike, Elemen Earth Attack
SKILL_20150317_000326	[Groll] Physical, Pierce, Elemen Poison, Smoke attack
SKILL_20150317_000327	[Groll] Physical, Pierce, Elemen Poison, Sting with horn Attack
SKILL_20150317_000328	[Chupacabra] Physical, Strike, Elemen Dark, Attack
SKILL_20150317_000329	[Tama] Physical, Strike, Elemen Earth Attack
SKILL_20150317_000330	[Medakia] Magic, Slash, Elemen Dark Attack
SKILL_20150317_000331	[Lemur] Physical, Slash, Elemen Ice Attack,
SKILL_20150317_000332	[Hogma Fighter] Physical Slash Elemen Lightning Attack
SKILL_20150317_000333	[Hogma Guard] Physical Strike Elemen Ice Attack
SKILL_20150317_000334	Physical, Strike, Elemen Earth One-hand Attack
SKILL_20150317_000335	Magic, Magic, Heal Floor
SKILL_20150317_000336	Physical, Strike, Elemen Earth Body Attack 3 times
SKILL_20150317_000337	[Old Hook] Physical, Slash, Elemen Earth, Attack
SKILL_20150317_000338	[Old Hook] Physical, Slash, Elemen Earth, Smash Attack
SKILL_20150317_000339	[Old Hook] Physical, Slash, Elemen Earth, Rotation Attack
SKILL_20150317_000340	[Varv] Physical, Strike, Elemen Poison, Attack
SKILL_20150317_000341	[Phyracon] Magic, Magic, Elemen Fire, Fire Shooting Attack 3 kali
SKILL_20150317_000342	[Phyracon] Physical, Strike, Elemen Fire, Attack
SKILL_20150317_000343	[Phyracon] Magic, Magic, Elemen Fire, Flame Fume Attack 2 kali
SKILL_20150317_000344	[Red Old Hook] Physical, Slash, Elemen Fire, Rotation Attack
SKILL_20150317_000345	[Red Old Hook] Physical, Slash, Elemen Fire, Smash Attack
SKILL_20150317_000346	[Arma] Physical, Pierce, Elemen Fire, Attack
SKILL_20150317_000347	[Arma] Physical, Pierce, Elemen Fire, March and Attack 2 kali
SKILL_20150317_000348	[Flask] Physical, Strike, Elemen Fire, Attack
SKILL_20150317_000349	[Black Shaman Doll] Physical, Pierce, Elemen Dark, Attack
SKILL_20150317_000350	[Dimmer] Physical, Strike, Elemen Fire, Attack
SKILL_20150317_000351	[Dimmer] Physical, Strike, Elemen Fire, Attack 2 kali
SKILL_20150317_000352	[Wizard Shaman Doll] Physical, Strike, Elemen Dark, Attack
SKILL_20150317_000353	[Wizard Shaman Doll] Physical, Strike, Elemen Dark, Rotate dan Attack 3 kali
SKILL_20150317_000354	[Sequoia Flame] Magic, Magic, Elemen Fire, Attack
SKILL_20150317_000355	[Raflower] Physical, Pierce, Elemen Poison, Tentacle Attack
SKILL_20150317_000356	[Raflower] Physical, Pierce, Elemen Poison, Tentacle Attack
SKILL_20150317_000357	[Vubbe Wizard] Magic, Magic, Elemen Fire, Energy Bolt
SKILL_20150317_000358	[Vubbe Wizard] Magic, Magic, Elemen Fire, Reflect Shield Buff
SKILL_20150317_000359	[Vubbe Fire Wizard] Magic, Magic, Elemen Fire, Range Fireball Attack
SKILL_20150317_000360	[Vubbe Fire Wizard] Magic, Magic, Elemen Fire, Fiore Pillar Attack
SKILL_20150317_000361	[Vubbe Ice Wizard] Magic, Magic, Elemen Ice, Range Ice Bolt Attack
SKILL_20150317_000362	[Vubbe Ice Wizard] Magic, Magic, Elemen Ice, Refreezer Wave Attack
SKILL_20150317_000363	[Vubbe Shaman] Magic, Magic, Elemen Dark, Heal Floor Skill
SKILL_20150317_000364	[Vubbe Shaman] Magic, Magic, Elemen Dark, Floor Skill
SKILL_20150317_000365	[Shredded] Magic, Magic, Elemen Dark, Teleport ke character dan Attack
SKILL_20150317_000366	[Leafnut] Physical, Strike, Elemen Poison Attack
SKILL_20150317_000367	[Panto] Physical, Strike, Elemen Earth, Attack 2 kali
SKILL_20150317_000368	[Panto] Physical, Strike, Elemen Earth, Continuous Attack 6 kali
SKILL_20150317_000369	[Panto] Magic, Movement Buff, Magic,
SKILL_20150317_000370	[Panto Warrior] Physical, Slash, Elemen Earth, Attack
SKILL_20150317_000371	[Ultanun] Physical Pierce Elemen Poison Attack
SKILL_20150317_000372	[Ultanun] Magic Elemen Poison Magic
SKILL_20150317_000373	[Rubabos] Physical, Strike, Elemen Ice Attack
SKILL_20150317_000374	[Rubabos] Magic, Magic, Elemen Ice Attack
SKILL_20150317_000375	[Elite Slime] Physical, Strike, Elemen Earth, Attack
SKILL_20150317_000376	[Bushspider] Physical, Strike, Non-Elemen, Attack
SKILL_20150317_000377	[Pokubu] Physical, Strike, Elemen Earth, Head smash
SKILL_20150317_000378	[Mali] 1 hit Physical, Strike, Elemen Poison,
