QUEST_LV_0400_20161005_000001	케도라 상단원 알타
QUEST_LV_0400_20161005_000031	{nl}이런 일을 시키신 스승님은 캠프에 계시니깐 이런 걸 찾는 이유가 궁금하면 가 봐.
QUEST_LV_0400_20161005_000032	{nl}그럼 나는 별 특이할 것이 없어 보이는 것들을 들여다 보면서 특이한 점을 찾아봐야겠다.
QUEST_LV_0400_20161005_000033	음.. 매우 감사 드립니다만, 이곳은 마족들이 돌아다니고 있어 위험합니다. {nl}직접 찾기보단 제 제자들의 수색 상황을 알아봐주셨으면 합니다.
QUEST_LV_0400_20161005_000034	{nl}우그니스는 빌카스의 서식지에서, 제노나스는 카이넨 나루터에 있습니다.
QUEST_LV_0400_20161005_000035	으앗 깜짝이야, 누구십니까?
QUEST_LV_0400_20161005_000036	{nl}수색 상황이요?{nl}저는 지금 수색은 커녕 근처에 가는 것조차 무섭다구요.
QUEST_LV_0400_20161005_000037	{nl}저기가 바로 빌카스들의 주요 서식지인데, 어떻게 혼자 가요.{nl}빌카스의 털이라도 바를 수 있다면 모를까..
QUEST_LV_0400_20161005_000038	서식지 근처에서 빌카스를 잡으면 오히려 우리가 위험해질 수 있죠.{nl}키르바 공터에도 이곳 못지 않게 빌카스가 많이 있어요.
QUEST_LV_0400_20161005_000039	{nl}그곳에서 빌카스의 털을 모으도록 하죠.
QUEST_LV_0400_20161005_000040	키르바 공터에서 빌카스가 많으니 털을 모으는데 좀 수월할 겁니다.
QUEST_LV_0400_20161005_000041	이 정도 양이면 몬스터들이 천적도 동료라고 생각할 거에요.
QUEST_LV_0400_20161005_000042	이제 빌카스의 털을 이용해서 녀석들의 굴을 수색해보려고 해요.{nl}서식지가 꽤 넓어서 수색하는데 조금 벅차기는 하지만..
QUEST_LV_0400_20161005_000043	제 일을 돕겠다고 하시면 거절할 이유는 없죠.{nl}가시죠.
QUEST_LV_0400_20161005_000044	제가 확인한 곳에는 플레세트는 없어요.{nl}찾으신 거라도 있나요?
QUEST_LV_0400_20161005_000045	{nl}아 네..{nl}없었군요..
QUEST_LV_0400_20161005_000046	결국 제 수색 상황은 제자리 걸음이네요.{nl}스승님이 당신을 통해서 저희들의 수색 상황을 알고 싶다고 하셨죠?
QUEST_LV_0400_20161005_000047	{nl}저 말고도 스승님은 2명의 제자를 더 두셨어요.{nl}한 명은 아퀼라스 다른 한 명은 제노나스에요.
QUEST_LV_0400_20161005_000048	{nl}아퀼라스는 파마르 숲으로 향하는 길에 있고 제노나스는 카이넨 나루터에 있어요.{nl}아퀼라스는 이미 만나셨다고 하니.. 제노나스에게 가보세요.
QUEST_LV_0400_20161005_000049	조금 마무리하고 스승님께 돌아갈 겁니다.
QUEST_LV_0400_20161005_000050	제노나스
QUEST_LV_0400_20161005_000051	정말로 감사합니다. {nl}당신이 아니었다면 전 롬펠누카들에게 당했을 거예요.
QUEST_LV_0400_20161005_000052	네 맞아요.{nl}플레세트를 찾고 있었어요.
QUEST_LV_0400_20161005_000053	{nl}그런데  이런 식으로 찾는다고 찾아질 물건이었으면 누군가 벌써 가져갔겠죠.{nl}정말 아무 소용이 없는 일이에요.
QUEST_LV_0400_20161005_000054	{nl}심지어 마족이 있어 목숨까지 위험하다고요.{nl}스승님의 이번 지시는 이해가 안돼요.
QUEST_LV_0400_20161005_000055	{nl}따지러 가야겠어요.
QUEST_LV_0400_20161005_000056	어디에 있는지도 모르는 화살을 찾으라고 하니 다들 힘들었을 겁니다.{nl}더구나 마족이 이렇게 돌아다니는 곳에서..
QUEST_LV_0400_20161005_000057	{nl}모두 제가 부족한 탓입니다.
QUEST_LV_0400_20161005_000058	플레세트는 현재 플레처 마스터의 선조가 만들어 리디아 샤펜에게 주었습니다.{nl}저라고 플레처 마스터에게 말 해볼 생각을 안 해 봤겠습니까?
QUEST_LV_0400_20161005_000059	{nl}하지만..플레처 마스터나.. 별의 탑 단원들은 절 배신자라 생각해 도와주지 않을 겁니다.{nl}그래서 기대도 하지 않고 있어요..
QUEST_LV_0400_20161005_000060	그렇게 나서 주시겠다면 감사한 일입니다만..{nl}청해봐도 소용없을 겁니다.
QUEST_LV_0400_20161005_000061	{nl}그래도 너무 실망하지 마십시오.{nl}플레처 마스터는 여신의 옛뜰에 있습니다.
QUEST_LV_0400_20161005_000062	플레처 마스터
QUEST_LV_0400_20161005_000063	메켄이 플레세트를 찾도록 도와달라고 하셨소?{nl}그 자가 어떤 자인지 알고 내게 부탁하고 있는 거요?
QUEST_LV_0400_20161005_000064	{nl}그 자가 플레세트를 찾고 내게 돌려준다면 조금이라도 도와줄 의향이 있소. {nl}하지만 플레세트를 찾으면 분명 속내를 드러내 그것을 차지할 것이오.
QUEST_LV_0400_20161005_000065	그렇게까지 하겠다면 당신을 믿어 보겠소.
QUEST_LV_0400_20161005_000066	{nl}여기 플레세트를 탐지할 수 있는 장치의 제작서요.{nl}이걸 가지고 메켄에게 가시오.
QUEST_LV_0400_20161005_000067	여신의 옛뜰입니다.{nl}먼 길이 되실 겁니다..
QUEST_LV_0400_20161005_000068	플레세트를 탐지 할 수 장치를 만드는 방법이 적힌 제작서를 줬단 말입니까?
QUEST_LV_0400_20161005_000069	{nl}어떻게 그가 저를 도울 생각을 하게 된 거죠?
QUEST_LV_0400_20161005_000070	{nl}아.. 
QUEST_LV_0400_20161005_000071	{nl}그렇군요.{nl}제가 플레세트를 내주지 않을 땐 제 목을 치겠다는 말을 듣고서야 돕겠다는 거군요.
QUEST_LV_0400_20161005_000072	{nl}제 목을 쳐야 하는 상황은 없을 겁니다.{nl}그럼 저는 이 제작서를 좀 읽어보겠습니다.
QUEST_LV_0400_20161005_000073	메켄은 별의 탑 단장이자 자신의 친형을 단장 자리에서 끌어내리는데 일등 공신을 한 인물이오.
QUEST_LV_0400_20161005_000074	{nl}그런 인간을 어찌 믿겠소.
QUEST_LV_0400_20161005_000075	플레세트는 여신의 신성력으로 만들어진 물건이라는군요.{nl}강력한 마족의 마력에 반응하니 마족의 마력이 필요하다고 제작서에 나와있습니다.
QUEST_LV_0400_20161005_000076	제자들에게 마족의 마력을 구해오라고 지시를 했지만 잘해낼지 걱정입니다.
QUEST_LV_0400_20161005_000077	꽤 많이 모아 주셨네요.{nl}그럼 이제 필요한 것은..
QUEST_LV_0400_20161005_000078	제작서에는 마족의 마력을 제어할 수 있는 빌카스의 정수가 필요하다고 적혀있습니다.
QUEST_LV_0400_20161005_000079	제자들은 각기 다른 장소로 가 빌카스의 정수를 모으고 있습니다.{nl}당신은 키르바 공터에서 빌카스의 정수를 모으면 됩니다.
QUEST_LV_0400_20161005_000080	키르바 공터에서 빌카스의 정수를 모아주시면 됩니다.
QUEST_LV_0400_20161005_000081	탐지기를 만드는데 필요한 재료들은 모두 모였군요.{nl}그럼 탐지기를 만들어 보겠습니다.
QUEST_LV_0400_20161005_000082	탐지기가 완성됐습니다. {nl}플레세트를 찾도록 제자들에게 탐지기를 나눠 줄 겁니다.
QUEST_LV_0400_20161005_000083	{nl}이제 플레세트를 수색하는데 조금이나마 수월해지겠군요.
QUEST_LV_0400_20161005_000084	플레세트를 찾는데 동참하시겠다면 테일리 공터에서 찾아주십시오.{nl}다른 곳은 제자들이 각각 흩어져서 수색할 테니까요.
QUEST_LV_0400_20161005_000085	{nl}테일리 공터로 가셔서 플레세트가 있을 법한 예상 위치에 탐지기를 사용해 보십시오.{nl}플레세트가 근처에 있으면 반응이 있을 겁니다.
QUEST_LV_0400_20161005_000086	테일리 공터로 가서 탐지기로 플레세트를 찾으십시오.
QUEST_LV_0400_20161005_000087	오, 플레세트를 찾으셨습니까?{nl}그렇게 찾아 다니던 시간이 허무할 정도로 금방 찾아오셨군요..
QUEST_LV_0400_20161005_000088	{nl}역시 계시자님이십니다.{nl}고생 많으셨습니다.
QUEST_LV_0400_20161005_000089	{nl}이제 플레세트를 플레쳐 마스터에게 전달해야겠지요.
QUEST_LV_0400_20161005_000090	잘 전해주십시오.{nl}이렇게 해서 플래쳐 마스터의 오해만이라도 풀렸으면 좋겠습니다.
QUEST_LV_0400_20161005_000091	이건..선조께서 만드신 플레세트가 맞소.{nl}메켄이 이렇게 순순히 내줄지는 몰랐소.
QUEST_LV_0400_20161005_000092	{nl}흠..{nl}이걸 가져 가시오.{nl}나를 대신해 그가 플레세트를 찾아 준거에 대한 보상이라 생각하라고 전해 주시고.
QUEST_LV_0400_20161005_000093	{nl}떨어졌다고 하는 그의 명예를 얼마나 회복시켜 줄 지는 모르겠지만..{nl}플레세트를 찾아 헤맨 정성 정도는 다들 알아 줄 거요.
QUEST_LV_0400_20161005_000094	약속은 약속이니, 일단 돌려드려야지요.
QUEST_LV_0400_20161005_000095	이건..플레쳐 마스터가 만든 증명의 화살이군요..{nl}이거면 다들 제 진심을 조금은 알아 줄 겁니다.
QUEST_LV_0400_20161005_000096	그것으로 어느 정도 메켄의 명예는 회복이 될 거요.
QUEST_LV_0400_20161005_000097	여행자님이십니까.
QUEST_LV_0400_20161005_000098	{nl}저희는 메이번님의 제자들입니다.{nl}루클리스에 관해 왜곡되어 적힌 카듀멜 선왕의 기념비를 수정하는 일을 하고 있습니다.
QUEST_LV_0400_20161005_000099	{nl}사실, 카듀멜 선왕의 행적 때문에 이 기념비들은 파괴될 뻔 했죠.{nl}하지만 바린웰 국왕께서는 기념비들을 파괴하는 대신, 변형 마법을 걸어 읽지 못하게 만들었습니다.
QUEST_LV_0400_20161005_000100	{nl}저희는 변형 마법을 풀고 기념비를 수정하기 위해서 여러 준비를 하고 있습니다.{nl}그러나 몬스터의 습격으로 모두 허사가 될 수 있는 상황에 왔습니다.{nl}
QUEST_LV_0400_20161005_000101	도와주시겠다니 염치불구하고 부탁을 드리겠습니다.
QUEST_LV_0400_20161005_000102	{nl}일단, 문서를 찾아야 합니다.{nl}변형 마법을 풀 수 있는 방법이 적힌 문서인데, 몬스터의 습격으로 흩어지고 말았습니다.
QUEST_LV_0400_20161005_000103	{nl}문서를 찾으려고 해도 언제 또 몬스터가 습격을 해 올 지 몰라 이렇게 소극적으로 움직이고 있습니다.
QUEST_LV_0400_20161005_000104	{nl}오소로브 공터를 먼저 찾아 봐 주십시오.
QUEST_LV_0400_20161005_000105	그 문서가 있어야 변형 마법을 풀고 기념비의 내용을 수정할 수 있습니다.
QUEST_LV_0400_20161005_000106	그렇게 모두 낱장으로 흩어져 있었군요.{nl}모두 모아다 주셔서 감사합니다.
QUEST_LV_0400_20161005_000107	{nl}그럼 이제..
QUEST_LV_0400_20161005_000108	변형 마법을 풀 수 있는 보주를 찾아야 합니다. {nl}이 보주는 금방 방전되기 때문에 보주를 충전할 수 있는 활력의 구를 같이 챙겼죠.
QUEST_LV_0400_20161005_000109	보주는 활력의 구에서 나오는 마력을 흡수합니다.{nl}그러니 활력의 구를 활용하면 보주들이 있는 곳을 알 수 있습니다.
QUEST_LV_0400_20161005_000110	활력의 구를 사용하시면 구 안에서 마력이 나올 겁니다. {nl}마력은 보주가 있는 곳으로 흘러갈 것이고 보주는 마력을 흡수 할 때 빛 날 것입니다.
QUEST_LV_0400_20161005_000111	{nl}빛이 나는 장소에 가 보주를 찾으시면 됩니다.
QUEST_LV_0400_20161005_000112	활력의 구를 사용하면 마력이 흘러나올 겁니다. {nl}그 마력을 따라가시면 보주가 있을 겁니다.
QUEST_LV_0400_20161005_000113	오, 정말 감사합니다.{nl}이제 보주까지 모두 가져오셨으니..
QUEST_LV_0400_20161005_000114	카듀멜 국왕의 기념비에 걸린 변형 마법을 풀 수 있는 준비는 모두 마쳤습니다.
QUEST_LV_0400_20161005_000115	고살을 처치하고 오셨다고요?{nl}저희가 모두 사제이긴 해도, 셋이서 쩔쩔매던 녀석을 처치하시다니..
QUEST_LV_0400_20161005_000116	{nl}그냥 평범한 여행자는 아니신 것 같은데요?
QUEST_LV_0400_20161005_000117	어쨌든, 길을 막고 방해하던 고살도 사라졌으니 다시 가 보죠.{nl}타르카 공터에 있는 기념비로 추정되는 물체를 확인해봐야겠습니다.
QUEST_LV_0400_20161005_000118	여기 이 나무처럼 보이는 것이 기념비입니다.{nl}변형 마법이 걸려 있어서 이렇게 보입니다.
QUEST_LV_0400_20161005_000119	{nl}그럼 여행자님께서 찾아다 주신, 그 보주를 사용해서 변형 마법을 해제하겠습니다.
QUEST_LV_0400_20161005_000120	이제 기념비가 원래의 모습으로 돌아왔습니다.{nl}그럼, 기념비의 내용을 확인해서 틀린 내용이 있으면 수정하도록 하겠습니다.
QUEST_LV_0400_20161005_000121	이 기념비의 내용을 수정했으니, 이제 다른 기념비를 찾으러 가야겠습니다.
QUEST_LV_0400_20161005_000122	{nl}저와 함께 가시죠.
QUEST_LV_0400_20161005_000123	여기 있군요. {nl}기념비에 걸린 변형 마법을 풀도록 하겠습니다.
QUEST_LV_0400_20161005_000124	여기 이 고사리들의 포자가 마비 증세를 일으키는 것 같습니다.{nl}마비 때문에 기념비의 변형 마법을 풀기 어렵습니다.
QUEST_LV_0400_20161005_000125	{nl}일단 이 마비 증세가 없어져야할텐데요..
QUEST_LV_0400_20161005_000126	{nl}아우스네 공터 부근에 가면 미탤리 약초를 구할 수 있습니다.{nl}미탤리 약초는 모든 이상 증상을 완화시켜 준다고 하더군요.
QUEST_LV_0400_20161005_000127	미탤리 약초는 아우스테 공터 주변에 많습니다.
QUEST_LV_0400_20161005_000128	{nl}돕겠다고 나서주신 분께 너무 의지하는 것 같아 죄송합니다..
QUEST_LV_0400_20161005_000129	여신이 모두 사라지신 이후, 여신의 존재를 부정하는 사람들까지 생겨났어요.{nl}전 그들에게 여신의 존재를 믿게 해 주고 싶었어요.
QUEST_LV_0400_20161005_000130	{nl}그런데..{nl}오히려 제가 사람들에 대한 신뢰도 잃고.. 씨앗도 잃었죠..{nl}{nl}
QUEST_LV_0400_20161005_000131	이러다간..{nl}사람을 모두 못 믿게 될 것 같아서 두려워요..{nl}사제가 이래서야..
QUEST_LV_0400_20161005_000132	오, 한결 나아졌습니다.{nl}완전하게 나은 것 같지는 않지만, 변형 마법을 풀 수 있을 정도는 된 것 같습니다.
QUEST_LV_0400_20161005_000133	아우슈리네 여신께서는 바이보라의 코루조차 답할 수 없는 신비의 영역에 계신다고 했어요.
QUEST_LV_0400_20161005_000134	그렇다면 그 신비의 영역이란 어떤 곳이고 어떻게 생겼을까요? {nl}오히려 궁금 점만 더 생겼네요.
QUEST_LV_0400_20161005_000135	라다여신께서는 세이르 숲에 계신다고 했어요.{nl}그나마 아르커스 숲에서 제일 가까운 곳에 계신 거예요.
QUEST_LV_0400_20161005_000136	제가 세이르 숲으로 간다면 라다 여신을 만나 뵐 수 있는거겠죠?
QUEST_LV_0400_20161005_000137	기념비 주변의 고사리를 제거해주시겠습니까?{nl}그렇지 않으면 변형 마법을 해제하는 동안 또 마비증세가 올 테니까요.
QUEST_LV_0400_20161005_000138	{nl}그런데 이 주변은 습기가 많아서.. 그냥 타지는 않을 겁니다.{nl}빌카스의 바짝 마른 피부를 구해다가 불쏘시개로 쓰는 것이 좋겠습니다.
QUEST_LV_0400_20161005_000139	병이 또 다시 창궐하게 된다면 키렌지방에 있는 사람들은 속수무책이죠.
QUEST_LV_0400_20161005_000140	마비 증세를 일으키는 고사리가 있을 거란 생각은 못했습니다.{nl}이렇게 또 여행자님께 신세를 지네요.
QUEST_LV_0400_20161005_000141	{nl}그런데.. 아무리 봐도 보통 여행자님은 아니신 듯 합니다.
QUEST_LV_0400_20161005_000142	고사리들이 다 탔군요.{nl}이제 제가 기념비에 걸려있는 변형 마법을 풀도록 하겠습니다.
QUEST_LV_0400_20161005_000143	흠.. 기념비를 확인해봤는데 이 기념비를 수정할 필요는 없을 거 같습니다.
QUEST_LV_0400_20161005_000144	오, 많이 구해오셨군요.{nl}그 정도면 이렇게 습해도 잘 탈 겁니다.
QUEST_LV_0400_20161005_000145	그럼 이제 다음 기념비를 찾아야 하는데 마비 증세가 완전히 가시질 않네요.{nl}어쩌지..
QUEST_LV_0400_20161005_000146	정말 감사합니다. {nl}그럼, 기념비를 탐지할 수 있는 탐지 장치를 드리겠습니다.{nl}기념비라 추정되는 물체 근처에 가서 탐지 장치를 사용하면 됩니다.
QUEST_LV_0400_20161005_000147	기념비로 추정되는 물체 근처에 가서 탐지 장치를 사용하십시오.{nl}만일 탐지 장치가 기념비라 판단하면 주변에 둥근 원이 생기면서 기념비임을 알릴 겁니다.
QUEST_LV_0400_20161005_000148	기념비를 찾으셨군요.{nl}저도 이제 마비 증세가 많이 좋아졌으니, 함께 그 곳으로 가시죠.
QUEST_LV_0400_20161005_000149	오시는 동안 기념비에 걸려있는 변형 마법을 풀고 기념비를 확인했습니다.{nl}기념비가 많이 훼손돼 내용을 정확하게 파악하는데 어려움이 있습니다.
QUEST_LV_0400_20161005_000150	주변에 기념비 파편들이 있지 않을까 싶습니다.{nl}주변을 확인해주십시오.
QUEST_LV_0400_20161005_000151	주변에 기념비 파편들이 있을 겁니다.
QUEST_LV_0400_20161005_000152	오, 부서진 파편들이 꽤 많았군요.{nl}제가 확인해 보겠습니다.
QUEST_LV_0400_20161005_000153	가져오신 기념비 파편들을 통해서 내용을 정확하게 확인했습니다. {nl}왜곡된 내용이 있으니 잠시, 수정 작업을 하겠습니다.
QUEST_LV_0400_20161005_000154	사제 키다스
QUEST_LV_0400_20161005_000155	여기까지 도와주러 오신 겁니까..{nl}정말 감사합니다.
QUEST_LV_0400_20161005_000156	{nl}그런데, 여기 기념비는 확인하기가 어렵습니다.{nl}보시다시피 기념비 주변으로 억센 나무줄기가 있기 때문입니다.
QUEST_LV_0400_20161005_000157	{nl}그래서 저와 브루나스가 제초 작업을 하려고 했지만, 제초제의 재료를 구하는 일이 쉽지 않습니다.
QUEST_LV_0400_20161005_000158	{nl}일단 강한 부식성을 가진 빌카스의 침샘을 구해야 하는데, 공격성이 너무 강해서..
QUEST_LV_0400_20161005_000159	사실 빌카스의 침샘을 얻는 방법도 꽤 까다로워서..{nl}일단, 빌카스들을 공격해서 약해진 틈을 노려야 합니다.
QUEST_LV_0400_20161005_000160	{nl}빌카스들의 체력이 많이 약해졌을 때, 미티하린 초를 먹이면 부식성을 가진 침을 생성하기 시작합니다.{nl}이 때 빌카스들을 해치운 뒤 침샘을 얻는 겁니다.
QUEST_LV_0400_20161005_000161	놈들이 미티하린 풀을 거부하고 공격을 할 수도 있으니 조심하셔야 합니다.
QUEST_LV_0400_20161005_000162	빌카스의 침샘은 구해오신 정도면 충분합니다.{nl}그런데..
QUEST_LV_0400_20161005_000163	빌카스의 침샘에서 뽑은 독을 희석시킬 물이 있어야 하는데..{nl}그걸 구하러 푸타스 공터로 간 브루나스가 소식이 없어서 걱정입니다.
QUEST_LV_0400_20161005_000164	별 일이 없어야 할 텐데..
QUEST_LV_0400_20161005_000165	사제 브루나스
QUEST_LV_0400_20161005_000166	덕분에 살았습니다.{nl}오, 빌카스의 침샘은 다 구했다고요?
QUEST_LV_0400_20161005_000167	{nl}이제 제가 여기서 떠 놓은 이 물만 있으면 제초제가 완성되는 거군요!{nl}그럼 키다스에게 돌아가겠습니다!
QUEST_LV_0400_20161005_000168	키다스와 브루나스의 일을 많이 도와주셨다고 들었습니다.{nl}진전이 없던 저희 일을 이렇게, 마무리 할 수 있도록 도와 주셔서 감사합니다.
QUEST_LV_0400_20161005_000169	{nl}역시, 제가 생각한대로 평범한 분은 아니신 것 같습니다.
QUEST_LV_0400_20161005_000170	{nl}어쨌든, 앞으로 가시는 길에 여신의 가호가 있을  것입니다.
QUEST_LV_0400_20161005_000171	저희는 이 기념비의 수정된 내용을 많은 사람들이 볼 수 있도록 책으로 정리할 생각입니다.
QUEST_LV_0400_20161005_000172	{nl}여유가 되시면 저희가 정리한 책도 한 번 봐 주세요.{nl}여러 가지 도움을 주셔서 정말 감사합니다.
QUEST_LV_0400_20161005_000173	이 곳은 열이 심하게 오르다가 끝내 사망에 이르게 되는 병이 창궐했던 지역입니다.{nl}지금은 소강상태이긴 하지만, 언제 다시 창궐할 지 알 수 없습니다.
QUEST_LV_0400_20161005_000174	{nl}저는 그 병을 연구하고 있습니다.
QUEST_LV_0400_20161005_000175	당신이 도와주지 않았다면 치료제를 개발하기는 커녕 전 병으로 죽었을지도 몰라요.
QUEST_LV_0400_20161005_000176	개발한 치료제는 플레이그 닥터 마스터 님에게 보낼 거예요.{nl}후에 여러 가지 상황을 놓고 실험을 하면서 치료제를 강화시키려고 합니다.
QUEST_LV_0400_20161005_000177	빌카스의 서식지로 가 우그니스의 수색 상황을 살펴야겠다.
QUEST_LV_0400_20161005_000178	변형 마법을 풀던 린타스의 상태가 이상합니다. 다가가 무슨 일인지 확인해보세요.
QUEST_LV_0400_20161005_000179	키다스가 억센 풀을 제거하고 기념비를 확인하고 있다.{nl}꽤 작업이 길어지고 있다.
QUEST_LV_0400_20161005_000180	오셨군요.{nl}몬스터에게 당할 뻔한 브루나스를 구해주셨다고 들었습니다.
QUEST_LV_0400_20161005_000181	{nl}여행자님 덕분에 재료를 모두 구하고, 브루나스도 무사히 돌아오게 되어 정말 감사합니다.{nl}오시는 동안 저희가 빌카스의 침샘을 물에 희석해서 제초제를 만들었습니다.
QUEST_LV_0400_20161005_000182	{nl}제초제를 쓴 뒤 기념비를 확인하고 왜곡된 내용이 있으면 내용을 수정할 겁니다.
QUEST_LV_0400_20161005_000183	예상대로, 기념비에 왜곡된 내용이 있어 수정을 했습니다.{nl}이제 린타스에게로 돌아가서 기념비를 모두 수정했다고 보고할 예정입니다.
QUEST_LV_0400_20161005_000184	{nl}저희를 도와주셔서 감사합니다.
QUEST_LV_0400_20161005_000185	여기까지 날 따라준 제자들에게 항상 고마울 따름입니다.
QUEST_LV_0400_20161005_000186	내 업과 고집 때문에 제자들에게 제대로 된 궁술을 가르쳐주지 못하는 게 너무 미안할 따름입니다.
QUEST_LV_0400_20161005_000187	궁술을 배우려고 스승님을 따랐건만 궁술은 커녕 온갖 잡초에 대해서 배우게 생겼어.
QUEST_LV_0400_20161005_000188	궁술은 커녕 잡초나 뜯고 앉아 있네.{nl}확 그냥 고향으로 돌아갈까 진지하게 생각 중이야.
QUEST_LV_0400_20161005_000189	스승님께 풀 그만 뜯고 싶다고 말씀을 드리니 여기서 잠깐만 기다리라고 하시네.{nl}설마 나뭇 잎을 뜯어오라고 하시진 않겠지?
QUEST_LV_0400_20161005_000190	풀만 뜯다가 활 잡는 방법을 잃어버리게 생겼네.{nl}풀 좀 그만 뜯고 궁술을 가르쳐 달라고 말해야겠어.
QUEST_LV_0400_20161005_000191	제노나스의 직설적인 말투가 싫어서 맨날 핀잔만 줬었는데 말이야.{nl}녀석의 말투 덕분에 풀 뜯는 일은 더 이상 안 해도 될 거 같아.
QUEST_LV_0400_20161005_000192	스승님은 과거 자신의 실수로 인해서 이그나스라는 자가 별의 탑 단장 되었대. {nl}도대체 무슨 실수이길래 별의 탑 단장 자리가 바뀔 정도일까?
QUEST_LV_0400_20161005_000193	저희는 궁술을 배우려고 스승님을 따랐습니다.{nl}하지만 지금 스승님께서는 플레세트라는 화살을 찾는데 전념하고 계세요.
QUEST_LV_0400_20161005_000194	이 넓은 지역에서 화살을 찾는 것은 사실상 불가능합니다.
QUEST_LV_0400_20161005_000195	제노나스와 아퀼라스가 스승님에게 상당한 불만을 품고 있습니다.{nl}아퀼라스는 경우는 잘 표현하지 못하고 속으로 참는 성격입니다.
