ETC_20150317_000001	케파
ETC_20150317_000277	죄악의 상징
ETC_20150317_000278	(임시)감옥 통제 장치
ETC_20150317_000279	쓰러진 경비병
ETC_20150317_000280	용병
ETC_20150317_000281	유령 병사
ETC_20150317_000282	탈영병
ETC_20150317_000283	광증걸린 전투병
ETC_20150317_000284	묶인 전투원
ETC_20150317_000285	용병 장교
ETC_20150317_000286	용병 대장
ETC_20150317_000287	방패 용병
ETC_20150317_000288	유령 갑옷
ETC_20150317_000289	대형 유령 갑옷
ETC_20150317_000290	신도 유령
ETC_20150317_000291	유령 소년
ETC_20150317_000292	유령 아줌마
ETC_20150317_000293	유령 아저씨
ETC_20150317_000294	신도 유령 수장
ETC_20150317_000295	신도 유령(분신)
ETC_20150317_000296	뿔 세눈박이
ETC_20150317_000297	날개 세눈박이
ETC_20150317_000298	신도
ETC_20150317_000299	좀비 중보병
ETC_20150317_000300	매직북
ETC_20150317_000301	덜 익은 호박
ETC_20150317_000302	잘 죽는 양파
ETC_20150317_000303	피통 큰 양파
ETC_20150317_000304	호박 타겟
ETC_20150317_000305	방책
ETC_20150317_000306	디펜스 수호물
ETC_20150317_000307	바바우지스
ETC_20150317_000308	나사 좀비
ETC_20150317_000309	좀비 광전사
ETC_20150317_000310	양초 좀비
ETC_20150317_000311	좀비 궁수
ETC_20150317_000312	휠체어 좀비
ETC_20150317_000313	하이 부베 궁수
ETC_20150317_000314	데스모두스
ETC_20150317_000315	일설에는 마족들이 전령으로 이용한다고도 합니다.
ETC_20150317_000316	트레저 부베
ETC_20150317_000317	부베 약탈자
ETC_20150317_000318	인간들에게 가장 자주 목격되는 부베입니다.
ETC_20150317_000319	붉은 부베 약탈자
ETC_20150317_000320	지난 몇 년간 부베 사회는 시간이 지날수록 급격히 분화되고 복잡해져 왔습니다. 
ETC_20150317_000321	푸른 부베 약탈자
ETC_20150317_000322	부베 광부
ETC_20150317_000323	채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다. 
ETC_20150317_000324	붉은 부베 광부
ETC_20150317_000325	푸른 부베 광부
ETC_20150317_000326	대형 부베 광부
ETC_20150317_000327	부베 궁수
ETC_20150317_000328	부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.
ETC_20150317_000329	붉은 부베 궁수
ETC_20150317_000330	부베들이 만든 활과 화살을 수거해서 사용하는 일도 가능하긴 합니다.
ETC_20150317_000331	눈팅이
ETC_20150317_000332	눈까리
ETC_20150317_000333	감옥 간수
ETC_20150317_000334	팔라딘 추종자A1
ETC_20150317_000335	팔라딘 추종자A2
ETC_20150317_000336	팔라딘 추종자A3
ETC_20150317_000337	폭발 지뢰
ETC_20150317_000338	맹독 지뢰
ETC_20150317_000339	대인 지뢰
ETC_20150317_000340	불지옥 지뢰
ETC_20150317_000341	마을사람
ETC_20150317_000342	아기천사상
ETC_20150317_000343	홀 석상
ETC_20150317_000344	히든 트리거 몬스터형
ETC_20150317_000345	부엉이 조각상
ETC_20150317_000346	투명 오브젝트
ETC_20150317_000347	파이어 볼
ETC_20150317_000348	자주포 거북 껍질 대
ETC_20150317_000349	자주포 거북 껍질
ETC_20150317_000350	남자 배교자(3D)
ETC_20150317_000351	여자 배교자(3D)
ETC_20150317_000352	수정
ETC_20150317_000353	어보미네이션
ETC_20150317_000354	하이 부베 투사
ETC_20150317_000355	몬스터 위저드
ETC_20150317_000356	포대(임시)
ETC_20150317_000357	얼음 덩어리
ETC_20150317_000358	얼음 기둥
ETC_20150317_000359	모닥불
ETC_20150317_000360	지뢰
ETC_20150317_000361	파비스
ETC_20150317_000362	서브제로쉴드
ETC_20150317_000363	주사위
ETC_20150317_000364	투석기
ETC_20150317_000365	나비 덤불
ETC_20150317_000366	가시덤불
ETC_20150317_000367	검 연습대
ETC_20150317_000368	미끼
ETC_20150317_000369	타격오브젝트
ETC_20150317_000370	긴팔 나무
ETC_20150317_000371	관목이 잔가지를 버리고  두 개의 가지를 사용하여 공격하는 형태로 변이된 몬스터입니다.
ETC_20150317_000372	락터
ETC_20150317_000373	베누켈로스
ETC_20150317_000374	일설에 의하면 경비견은 자카리엘 대왕이 손수 시안을 잡아 만든 것이라 합니다.
ETC_20150317_000375	묘지 골렘
ETC_20150317_000376	케파치프틴
ETC_20150317_000377	포아타
ETC_20150317_000378	데드본
ETC_20150317_000379	샐러맨더
ETC_20150317_000380	살티스터
ETC_20150317_000381	긴클라스
ETC_20150317_000382	석화고래
ETC_20150317_000383	투투
ETC_20150317_000384	요나졸렘
ETC_20150317_000385	마스터 지니
ETC_20150317_000386	비테레지나
ETC_20150317_000387	일티스워트
ETC_20150317_000388	자이언트 레드 우드
ETC_20150317_000389	레푸스
ETC_20150317_000390	머슈카리아
ETC_20150317_000391	체이퍼
ETC_20150317_000392	가이갈라스
ETC_20150317_000393	쓰론위버
ETC_20150317_000394	베브라스피온
ETC_20150317_000395	눅눅한 머쉬워트
ETC_20150317_000396	스파르나스
ETC_20150317_000397	마인로더
ETC_20150317_000398	라자토드
ETC_20150317_000399	섀도게일러
ETC_20150317_000400	헬가세르클
ETC_20150317_000401	네크로벤터
ETC_20150317_000402	꿈틀대는 루토푸스
ETC_20150317_000403	링크롤러
ETC_20150317_000404	락토르투가
ETC_20150317_000405	예쿱
ETC_20150317_000406	독포자 리타스워트
ETC_20150317_000407	라바인피드
ETC_20150317_000408	네더보바인
ETC_20150317_000409	광폭해진 카너버
ETC_20150317_000410	툼로드
ETC_20150317_000411	에하트
ETC_20150317_000412	쉬나임
ETC_20150317_000413	허니핀
ETC_20150317_000414	라자펄
ETC_20150317_000415	사이클롭스
ETC_20150317_000416	아콘
ETC_20150317_000417	캐러페이스
ETC_20150317_000418	웨어울프
ETC_20150317_000419	티니
ETC_20150317_000420	귀여운 외모 덕에 많은 사람들이 티니를 길들이려 하였으나 성공한 적이 없다고합니다.
ETC_20150317_000421	트리암불로
ETC_20150317_000422	트리암불로는 마계에 기원한 몬스터로 선입견과 달리 생물이나 사물이 변형된 몬스터가 아닙니다.
ETC_20150317_000423	골렘릿
ETC_20150317_000424	부베스콰
ETC_20150317_000425	스피온
ETC_20150317_000426	잘 훈련시키면 주인을 따릅니다. 문제는 그 주인이란 대개 마족이란 점입니다.
ETC_20150317_000427	미티스램파
ETC_20150317_000428	스페컬
ETC_20150317_000429	스캡
ETC_20150317_000430	쉬레디드
ETC_20150317_000431	쉬레디드는 마족이 강력한 원혼으로 몬스터를 만들 때 떨어져 나온 부산물에서 기원한 몬스터입니다.
ETC_20150317_000432	에큐바이트
ETC_20150317_000433	예쿱은 마계에서 악명를 떨친 존재이며 많은 분신을 낳아 세상에 퍼뜨렸습니다. 에큐바이트는 그런 분신들에게 붙여진 이름입니다.
ETC_20150317_000434	샤드스태튜
ETC_20150317_000435	신성이 떠난 여신상에 빙의한 마족이 자신만의 피조물로 만든 몬스터입니다.
ETC_20150317_000436	데드본스캡
ETC_20150317_000437	사이어
ETC_20150317_000438	정확히는 초목이 변형된 몬스터가 아니라 썩어가는 초목이 생명을 얻은 것이라 합니다만, 그 흔적은 찾기 쉽지 않습니다.
ETC_20150317_000439	리타스펑
ETC_20150317_000440	티스펑
ETC_20150317_000441	머쉬펑
ETC_20150317_000442	트리굴
ETC_20150317_000443	몬스터로 변한 후 목질이 단단해지고 잎이 없어진 트리굴은 없어진 광합성 능력을 사냥으로 보충합니다.
ETC_20150317_000444	시스트
ETC_20150317_000445	암몬
ETC_20150317_000446	암몬은 고대부터 존재한 몬스터로 많은 사람을 해쳐왔습니다. 
ETC_20150317_000447	오페러
ETC_20150317_000448	오페러는 비교적 원형을 유지하고 있는 몬스터지만, 그 공격성과 사나움은 심해졌습니다.
ETC_20150317_000449	체이퍼러
ETC_20150317_000450	벌과 딱정벌레의 장점에 변이된 몬스터의 사나움이 깃든 몬스터입니다. 벌처럼 체계를 지닙니다.
ETC_20150317_000451	러바인러바
ETC_20150317_000452	식물변형이란 점이 밝혀지기 전에는 어떤 몬스터의 유충이 아닌가 추측이 있었습니다.
ETC_20150317_000453	네더카프
ETC_20150317_000454	인프로갈라스
ETC_20150317_000455	카니버펑
ETC_20150317_000456	베스퍼
ETC_20150317_000457	왕릉에 서식하던 동물이 근래에 마기의 영향을 받아 변형된 몬스터입니다.
ETC_20150317_000458	카라스
ETC_20150317_000459	엄밀히는 골렘의 일종이나 만든이의 염원이 담긴 이름을 지닌 마법피조물입니다.
ETC_20150317_000460	에하드
ETC_20150317_000461	왕릉을 수호하기 위해 만들어진 마법피조물이며 약하지만 여신의 힘도 깃들어 마족에게 강한 편입니다.
ETC_20150317_000462	쉬타임
ETC_20150317_000463	외양과 달리 이 마법피조물에는 여신의 축복이 깃들어 있어 마족에게 치명적일 수 있습니다.
ETC_20150317_000464	툼싱커
ETC_20150317_000465	툼싱커를 비롯한 왕릉에 배치된 것들은 특별히 마족의 침입에 강하도록 만들어졌습니다.
ETC_20150317_000466	그라즈타스
ETC_20150317_000467	어보거스트
ETC_20150317_000468	위버
ETC_20150317_000469	위버가 돌로 된 실을 잣는다는 소문이 있습니다.
ETC_20150317_000470	할로우벤터
ETC_20150317_000471	그들 머리 부분의 깊은 공허를 직시하지 마십시오.
ETC_20150317_000472	멜리치
ETC_20150317_000473	단단하고 독성이 있으며 무엇보다 흡혈 본능이 남아 있습니다.
ETC_20150317_000474	인프로 샐러맨더
ETC_20150317_000475	졸렘
ETC_20150317_000476	졸렘이 일반 골렘과 다른 차이점은 마법이 아닌 다른 기운에 의해 움직인다는 점입니다.  
ETC_20150317_000477	케파레이더
ETC_20150317_000478	케파가 연상되어 명칭이 붙었지만, 엄연히 마계를 기원으로 하는 몬스터입니다.
ETC_20150317_000479	머슈카펑
ETC_20150317_000480	우드고블린
ETC_20150317_000481	부베가 마족의 사주를 받아 불러낸 마물의 일종입니다. 경로는 모르지만 부베가 활동하지 않는 지역에서도 나타나곤 합니다.
ETC_20150317_000482	붉은 우드고블린
ETC_20150317_000483	템플슬레이브
ETC_20150317_000484	링링
ETC_20150317_000485	우딘
ETC_20150317_000486	스톤오르카
ETC_20150317_000487	변이형 몬스터가 돌고래라는 특정한 형태를 갖춰 그에 맞는 특성을 보이는 흔치 않은 특징의 몬스터입니다. 석화고래의 소형에 해당합니다.
ETC_20150317_000488	라자펄라이트
ETC_20150317_000489	드레이프
ETC_20150317_000490	날카로운 꼬리 때문에 클라이라 종류로 여겨졌지만 호박성 광물을 기원으로 변형된 몬스터로 보입니다.
ETC_20150317_000491	인프로홀더
ETC_20150317_000492	마족이 출현이 빈번해지자 그로부터 많은 변종이 생겼는데, 인프로홀더 역시 그런 몬스터의 하나입니다.
ETC_20150317_000493	레푸스버니
ETC_20150317_000494	한때는 인간에게 친숙한 동물이었지만, 지금은 곰보다 위험한 생물입니다.
ETC_20150317_000495	누워트
ETC_20150317_000496	청옥조
ETC_20150317_000497	미노스
ETC_20150317_000498	아모리
ETC_20150317_000499	아모리는 갑옷이 악한 기운에 물든 것으로 듀라한과는 차이가 있습니다.
ETC_20150317_000500	마인레버
ETC_20150317_000501	섀도게일러_소환물
ETC_20150317_000502	하운드
ETC_20150317_000503	대체 저것을 등에 달린 꼬리라고 해야 할까요?
ETC_20150317_000504	스타울리트
ETC_20150317_000505	마족치고는 강자를 존경하는 특징이 있습니다. 약자에겐 잔혹하고 강자에겐 더 적극적으로 공격하니 결국 별 차이는 없습니다.
ETC_20150317_000506	라자태드폴
ETC_20150317_000507	촉수
ETC_20150317_000508	인프로버크
ETC_20150317_000509	인프로버크가 어떤 몬스터의 소형인지 확실하지 않습니다. 확실한 점은 사납다는 것입니다.
ETC_20150317_000510	만다라병사
ETC_20150317_000511	밤의시녀
ETC_20150317_000512	워그
ETC_20150317_000513	살티스도터
ETC_20150317_000514	뇌옥투사
ETC_20150317_000515	심심하면 같은 마족 병사도 살해하는 자들입니다.
ETC_20150317_000516	틈게
ETC_20150317_000517	스파니히트
ETC_20150317_000518	인프로락터
ETC_20150317_000519	거북과 광물이 변이결합한 몬스터의 작은 종류입니다. 모여있어도 동족간의 유대없이 독자적으로 활동합니다.
ETC_20150317_000520	카타콤 마고트
ETC_20150317_000521	마고트에그
ETC_20150317_000522	초록 마고트
ETC_20150317_000523	노란 마고트
ETC_20150317_000524	초록 마고트에그
ETC_20150317_000525	노란 마고트에그
