QUEST_20150317_000032	Hey, wait a minute. {nl}You know you need more than that...	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..					
QUEST_20150317_000033	That's no good! {nl}I can't work for nothing, even for a Revelator.	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.					
QUEST_20150317_000034	Wandering Merchant	방랑 상인					
QUEST_20150317_000035	Like a dandelion's seeds, I am merely one who follows the wind. {nl}Since we've met in such a curious way, perhaps you could spare a moment to view my curiosities?	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?				방랑 상인	
QUEST_20150317_000036	Cristina	크리스티나					
QUEST_20150317_000037	Welcome! {nl}You're looking for a travel companion, right? {nl}You won't find a better place for partners than here!	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.				크리스티나	
QUEST_20150317_000038	You can make your companions watch you fight or train special attributes. {nl}Earn enough affection, and you can even buy some cool equipment!	컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있어요.{nl}좀 더 애정이 가는 컴패니언이라면 멋진 장비를 사줄 수도 있겠지요.{nl}					
QUEST_20150317_000039	Raising your companion's affection will increase riding stamina and evasion! {nl}So what do you think? Is that enough to make you consider one?	당신의 사랑을 받고 자란 컴패니언은 탑승자의 체력과 회피율을 높여줄 거예요.{nl}어때요. 이만 하면 멋진 당신의 동반자가 아닐까요?					
QUEST_20150317_000040	The box requires a matching key.	상자에 맞는 열쇠가 필요합니다.					
QUEST_20150317_000041	Select Quest	퀘스트 선택					
QUEST_20150317_000042	Modify Quest Status	퀘스트 상태변경				퀘스트 상태변경	
QUEST_20150317_000043	Force start?	강제 시작?				강제 시작?	
QUEST_20150317_000044	Items to be deleted	삭제할 아이템				None	
QUEST_20150317_000045	Select GenType	GenType 선택				Basic	
QUEST_20150317_000046	Select Coordinates	좌표 선택				Basic	
QUEST_20150317_000047	Knight Titas	기사 티타스					
QUEST_20150317_000048	If so, go see Knight Commander Uska in Klaipeda. {nl}But first, I have an important errand I would like to run by you, so follow me.	맞다면 클라페다의 기사단장 우스카님을 찾아가게.{nl}하지만 그 전에 긴히 할 얘기가 있으니 따라오게.				기사 티타스	
QUEST_20150317_000049	It would be nice if I could find a moment to relax...	잠시 쉴 틈이 있으면 좋겠군.. 				장교 류다스	
QUEST_20150317_000050	Sparnas... {nl}is not someone to take lightly...	스파르나스..{nl}만만치 않은 상대..				장교 류다스	
QUEST_20150317_000051	Soldier Moody	병사 무디					
QUEST_20150317_000052	Let's deal with this monster before talking.	우선 이 몬스터를 처리하고 이야기하지요.				병사 무디	
QUEST_20150317_000053	Joint Investigation Team - Scott	합동조사단 스캇					
QUEST_20150317_000054	I long for a time when our team is no longer needed... {nl}What a peaceful age that would be...	우리 합동조사단이 필요 없어지는 날이 빨리 왔으면 좋겠는데..{nl}아, 평화로운 세상 말이야. 하하..{nl}				합동조사단 스캇	
QUEST_20150317_000055	I don't know where to start. {nl}Have you heard anything?	처음부터 시작하려니 감이 잡히는 게 없네.{nl}혹시 넌 뭐 들은 건 없어?				합동조사단 스캇	
QUEST_20150317_000056	By royal orders, we've come to this forest to investigate some strange events. {nl}Witnesses have reported something with a big face and bony fingers. {nl}What in the world could that be?	우린 왕실의 명령으로 이 숲에서 벌어지고 있는 기이한 사건을 조사하러 왔어.{nl}목격자들 말로는 커다란 얼굴과 앙상한 손가락을 보았다는군.{nl}도대체 그게 뭐람?				합동조사단 스캇	
QUEST_20150317_000057	In the past, pilgrims traveled through this forest. {nl}But now due to the presence of monsters, only soldiers gather here.	과거에는 순례자들이 이 숲을 거쳐 가는 일도 있었죠.{nl}하지만 지금은 몬스터 때문에 병사들만 가득하네요.				부관 폴리나	
QUEST_20150317_000058	Up until four years ago, the goddesses often blessed us with signs of their presence. {nl}But now, even our combined prayers don't bring so much as a tremor. {nl}Have they truly abandoned us?	4년 전까지만 해도 여신들께선 종종 모습을 드러내셨죠.{nl}그런데 지금은 아무리 기도를 드려도 미동조차 없으시네요.{nl}정말 우리를 버리신 걸까요?				부관 폴리나	
QUEST_20150317_000059	Vacenin personally goes to each region to deal with things. {nl}He gets uncomfortable when he stays in the city.	바세닌님께서는 각 지역을 직접 오가면서 일을 처리하십니다.{nl}도시에 계시면 답답하시다면서 말이죠.				부관 폴리나	
QUEST_20150317_000060	Do you plan on staying or enlisting? {nl}If you're interested, I'll gladly recommend you to the head commanders.	혹시 여기 계속 머무르시거나 군인이 되실 생각은 없으십니까?{nl}생각이 있다면 제가 상부에 잘 말해보겠습니다.				부관 폴리나	
QUEST_20150317_000061	Don't let your guard down. {nl}Monsters can appear any time, anywhere.	언제 어디서 몬스터가 덤빌지 모르니 방심할 수 없어요.				병사 하이란스	
QUEST_20150317_000062	Where in the world did Goddess Zemyna go...	제미나 여신께선 도대체 어디로 가셨는지..				병사 블락	
QUEST_20150317_000063	What in the world do you call this?	이게 다 도대체 뭐랍니까.				병사 블락	
QUEST_20150317_000064	I think Zemyna, the goddess of the earth would grieve more than anyone else.	 누구보다도 대지의 여신인 제미나님께서 슬퍼하실 겁니다.				병사 블락	
QUEST_20150317_000065	The Pokubu have always been here, but sometimes unfamiliar monsters are spotted as well.	포쿠부는 예전에도 본 적이 있죠.{nl}하지만 이 녀석 말고도 가끔 알 수 없는 몬스터도 나타납니다.				병사 요크	
QUEST_20150317_000066	I've thought about it. There's no doubt that the goddesses have abandoned us all. {nl}If that weren't so, then there wouldn't be so many monsters.	제 생각에는요. 여신께서 우리를 버린 게 틀림없어요.{nl}그게 아니라면 몬스터가 저렇게 많을 리 없죠.				병사 요크	
QUEST_20150317_000067	They say there's a man blessed with the goddess' strength living in the forest.	이 근방 숲에 여신의 힘을 받은 사람이 산다는데..				병사 요크	
QUEST_20150317_000068	I want to go home.	고향으로 돌아가고 싶습니다.				병사 무디	
QUEST_20150317_000069	The number of monsters here doesn't seem to change no matter how many of them we kill.	여기서 아무리 몬스터를 잡아도 도통 줄어들지 않습니다.				병사 무디	
QUEST_20150317_000070	Did Julian send you off, Revelator?	계시자라니, 줄리안이 보낸 거요?					
QUEST_20150317_000071	I'm amazed. {nl}You're the first person I've met here in several years.	그럴 리가 없어요.{nl}최근 몇 년간 이 숲에서 만난 사람은 당신이 처음인걸요.{nl}				오래된 부엉이 조각상	
QUEST_20150317_000072	I'll show you what I saw.	제가 본 것을 보여드릴게요.				오래된 부엉이 조각상	
QUEST_20150317_000073	Please, forget about me and just leave. {nl}The flowers seem to be coming along beautifully.	내 걱정은 말고 그냥 돌아가시오.{nl}아, 예쁜 꽃들이 몰려오는구먼.					
QUEST_20150317_000074	Lena	레나					
QUEST_20150317_000075	Please, tell me your life story. {nl}We follow the will of Vaivora and record all that is in this world.	당신의 소중한 경험담을 들려주세요.{nl}저희 교단에서는 바이보라님의 의지에 따라 세상의 모든 것을 기록하고 있답니다.				레나	
QUEST_20150317_000076	Henrika	헤느리카					
QUEST_20150317_000077	Hello! {nl}Welcome to the Klaipeda branch of the Magic Association. {nl}We specialize in studying the strange phenomena that occur when special items are combined.	안녕하세요. 마법협회 클라페다 지부입니다.{nl}저희는 특별한 물건들이 모일 때 벌어지는 신비한 현상에 대해 연구하고 있답니다.				헤느리카	
QUEST_20150317_000078	There's nothing to see here but steam and Vubbes. {nl}Wait, what's that thing with the big face that's approaching?!	여긴 아무리 봐도 습기랑 부베밖에 없는 것 같아.{nl}이런 데에서 커다란 얼굴이라니, 도대체 뭐가 튀어나왔다는 걸까?				합동조사단 프레이	
QUEST_20150317_000079	The land needs our attention as well. {nl}The world still isn't ruined... right?	나라도 정신 차려야지.{nl}아직 세상이 망한 것은 아니니.. 그렇지?				합동조사단 유커트	
QUEST_20150317_000080	If we continue to have courtesy, then we still know the way of a righteous life. {nl}We should all consider whether or not this mess is our fault because we relied on the goddesses for everything.	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 게 화를 부른 건 아닐까 생각돼.				합동조사단 유커트	
QUEST_20150317_000081	Bulletin Board	알림판					
QUEST_20150317_000082	Welcome to the mining town of Klaipeda!	천혜의 광산도시 클라페다에 오신 것을 환영합니다!				알림판	
QUEST_20150317_000083	Indifferent Widow	담담한 미망인					
QUEST_20150317_000084	I'm not sure I understand it completely, but what I'm sure of is that the goddesses didn't disappear all at once.	이유는 저도 잘 몰라요. {nl}하지만 확실한 건, 여신들께선 한꺼번에 사라지신 게 아니라는 거에요.				담담한 미망인	
QUEST_20150317_000085	The first to disappear was the Goddess Gabija. {nl}I heard it was a very long time ago. {nl}One by one, starting with Gabija, they stopped replying.	제일 먼저 자취를 감추신 분은 가비야 여신이라고 해요.{nl}아주 오래 전의 일이라고 들었어요.{nl}가비야 여신을 시작으로 한 분씩 응답이 없으셨다고 해요.{nl}				담담한 미망인	
QUEST_20150317_000086	Goddess Vakarine left us shortly before Medzio Diena. {nl}Both Zemyna and Ausrine disappeared soon after. {nl}It's already been four years since.	바카리네 여신께선 신수의 날 전에 사라지셨다고 하셨고요.{nl}마지막엔 제미나 여신과 아우슈리네 여신을 끝으로 모든 여신께서 사라지시고 말았죠.{nl}그게 벌써 4년 전 일이네요. {nl}				담담한 미망인	
QUEST_20150317_000087	That's right. The strangest one of all was the Goddess Laima. {nl}No one's really sure when she disappeared.	맞아요. 제일 이상한 건 라이마 여신이세요.{nl}언제 사라지신 건지 아무도 모르거든요.{nl}					
QUEST_20150317_000088	Besides, isn't Laima the goddess of fate and foresight? {nl}She probably knew all about it.	게다가 라이마께선 운명과 예지의 여신이시잖아요? {nl}아마 전부 알고 계시지 않았을까요?					
QUEST_20150317_000089	Resting Soldier	휴식중인 병사					
QUEST_20150317_000090	I used to be an adventurer like you. Then I took an arrow in the knee...	저도 왕년에는 당신처럼 잘 나가는 모험가였지만 무릎에 화살을 맞아서 그만..{nl}				휴식중인 병사	
QUEST_20150317_000091	It doesn't matter. Come and face me, you monsters!	그래도 상관없습니다. 몬스터따위 나와 보라지요!{nl}				휴식중인 병사	
QUEST_20150317_000092	A goddess appeared in my dream just now... {nl}She was so enchanting...	저번엔 여신께서 나오는 꿈을 꾸었는데.. {nl}얼마나 황홀하던지..{nl}				휴식중인 병사	
QUEST_20150317_000093	Still, I have a duty to defend the kingdom. That's why I'm here.	하지만 왕국을 지켜야 하는 의무가 있기 때문에 지금 여기 있는 겁니다.				휴식중인 병사	
QUEST_20150317_000094	Uska is an old friend of mine.	우스카라면 제 오랜 친구였지요.{nl}				휴식중인 병사	
QUEST_20150317_000095	We did our tests to become knights together. Uska got to where he is now with my sincere support. {nl}Oh, those were some crazy days... It'd be nice to see him again.	저랑 같이 기사 시험을 봤는데, 제 헌신적인 도움으로 지금의 우스카가 될 수 있었던 거지요.{nl}아아, 그땐 참 재밌었는데.. 보고 싶다, 우스카!				휴식중인 병사	
QUEST_20150317_000096	Just don't believe everything he says. {nl}He was known for being quite the show-off back home.	저 친구 말 너무 믿지 않는게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}					
QUEST_20150317_000097	Me? I find it funny, so I just leave him alone.	저요? 그냥 재밌으니까 내버려 두는 거지요.				휴식중인 병사	
QUEST_20150317_000098	Uh, wait. I take back what I said about not believing everything he says.	음.. 너무 믿지 말란 말 취소하지요.{nl}				휴식중인 병사	
QUEST_20150317_000099	Everything that flies out of his mouth is a lie. Don't trust him.	전부 다 거짓말이니까 저 녀석 입에서 나오는 모든 말은 믿지 마세요.				휴식중인 병사	
QUEST_20150317_000100	Siauliai Guard	샤울레이 경비병					
QUEST_20150317_000101	There are monsters beyond this point. Be careful.	여기서부턴 몬스터가 나오니 위험한 행동은 자제하시길 바랍니다.				샤울레이 경비병	
QUEST_20150317_000102	These woods aren't exactly peaceful, but it's better than other places. {nl}There are forests that have nothing but souls roaming about.	여기 숲도 썩 평화로운 건 아닙니다만, 그래도 다른 지역보단 나을 겁니다.{nl}어떤 숲은 사람은 없고 영혼만 돌아다닌다고 하더라고요.				샤울레이 경비병	
QUEST_20150317_000103	This is what people who have seen a goddess in their dreams are being called.	당신처럼 여신께서 나오는 꿈을 꿨다는 사람들을 모두 계시자라고 불러요.{nl}				클라페다 주민	
QUEST_20150317_000104	I thought the Revelators' visions were madness at first. {nl}After all, the goddesses have been gone for a long time.	처음엔 계시자들을 보고 다들 정신이 나갔다고 생각했었어요.{nl}여신께서 자취를 감추신 지 오래되었으니까요.{nl}				클라페다 주민	
QUEST_20150317_000105	Isn't it true that the goddesses haven't responded to any of our prayers since Medzio Diena{nl}four years ago?	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?				클라페다 주민	
QUEST_20150317_000106	You can find Class Masters all around the kingdom. {nl}Why don't you visit them and learn what you can?	왕국 곳곳에 각 직업의 마스터들이 계십니다.{nl}그분들을 찾아가 가르침을 받는 건 어떨까요?				클라페다 경비병	
QUEST_20150317_000107	You don't know about Medzio Diena? You must have come from really far away. {nl}Four years ago, things went out of control at the capital.	모르세요? 진짜로 외진 곳에서 오셨나 보네요.{nl}4년 전에, 수도의 중앙에서 신수가 솟아오르면서 폭주한 일 말이에요.{nl}				클라페다 주민	
QUEST_20150317_000108	It was a disaster... Many people were either injured or killed. {nl}Once gentle creatures turned fierce and many new monsters emerged.	그 재앙으로 인해 정말 많은 사람들이 죽거나 다쳤죠.{nl}얌전했던 몬스터들도 흉폭해지고 새로운 몬스터도 많이 생겨났어요.{nl}				클라페다 주민	
QUEST_20150317_000109	If you are still interested about what happened on Medzio Diena four years ago,{nl}try visiting Klaipeda.	4년 전의 신수의 날이 더 궁금하시다면 클라페다로 가 보세요.{nl}그 때 살아남은 사람들 중에 클라페다로 피난 온 사람들이 꽤 많으니까요.				클라페다 주민	
QUEST_20150317_000110	Eastern Woods Sentinel	동쪽 숲 경계병					
QUEST_20150317_000111	Are you heading to the Eastern Woods? {nl}You mustn't! It's far too dangerous!	동쪽 숲으로 들어가시려는 겁니까? {nl}절대 가지 마세요. 위험합니다!{nl}				동쪽 숲 경계병	
QUEST_20150317_000112	Damn, those stubborn things chased us this far!	윽, 이 끈질긴 놈들 여기까지 쫓아오다니..!!				동쪽 숲 경계병	
QUEST_20150317_000113	Those screams... We're under attack!	이 비명소리는.. 습격입니다!					
QUEST_20150317_000114	Safety Instructions	안전 수칙					
QUEST_20150317_000115	1. Only authorized personnel may enter. {nl}2. Always follow the directions of the mining supervisor.	1. 허가받은 인원 외엔 절대 출입 금지.{nl}2. 반드시 광산 소장의 인솔 하에 움직일 것.{nl}				안전 수칙	
QUEST_20150317_000116	3. Do not approach closed-off areas. {nl}4. Any suspicious individuals should be reported to the knights of Klaipeda.	3. 폐쇄된 구역은 절대 접근 금지. {nl}함부로 접근하려는 자를 발견 시 클라페다 기사단에 신고하시오.				안전 수칙	
QUEST_20150317_000117	Supply Base Soldier	보급기지 병사					
QUEST_20150317_000118	I've never been in a real fight before so I'm a bit nervous.	실전에 익숙하지 않아 긴장됩니다.				보급기지 병사	
QUEST_20150317_000119	Farm Sentinel	농장 경계병					
QUEST_20150317_000120	My colleague is in the middle of a battle at the Miners' Village. {nl}I've thought of going to help, but the Eastern Woods is in trouble as well, so all I can do is worry.	제 동료는 광산 마을에서 교전 중입니다.{nl}생각 같아선 지원을 가고 싶지만 동쪽 숲까지 난리이니 그저 걱정입니다.				농장 경계병	
QUEST_20150317_000121	I think this mission has shown me enough monsters for a lifetime. {nl}It used to be just groups of Vubbes.	이번 임무로 평생 마주칠 몬스터는 실컷 본 것 같습니다.{nl}기껏해야 부베 정도나 몰려 다녔죠.				농장 경계병	
QUEST_20150317_000122	Chupacabras are fond of the streams and lush vegetation of the northern area.	츄파카브라들은 주로 위쪽의 개울과 수풀이 우거진 곳을 좋아한다고 합니다.					
QUEST_20150317_000123	Klaipeda Guard Captain	클라페다 경비병 대장					
QUEST_20150317_000124	You're the...	당신이 바로..				클라페다 경비병 대장	
QUEST_20150317_000125	It looks like you can see into the upper forest from here. {nl}Try not to get into trouble.	여기서 숲 위쪽의 깊숙한 곳에서 보았다고 하더군.{nl}혹시 모르니 너무 자극하진 말고.					
QUEST_20150317_000126	You don't have the required quest item. Are you sure you want to continue?	퀘스트에 필요한 아이템이 없습니다. 생성 후 진행 하시겠습니까?				QuestModify	
QUEST_20150317_000127	Klaipeda Girl	클라페다 소녀					
QUEST_20150317_000128	My neighbor used to be a monster hunter. {nl}He's retired now though. It has gotten extremely dangerous.	저 아저씨는 옆집에 사시는 분인데요, 예전엔 몬스터 사냥꾼이셨대요.{nl}하지만 지금은 그만 두셨대요. 너무 흉폭해서 위험하대요.				클라페다 소녀	
QUEST_20150317_000129	It would be nice if all these Revelators being here meant that the goddesses are back.	계시자들이 나타났다는게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.					
QUEST_20150317_000130	It might be silly to hope for the goddess' return, but it's better than nothing.	여신께만 기대는 건 바보 같은 짓이지만 기댈 곳도 없어지는 것보단 나은 것 같습니다.				클라페다 경비병	
QUEST_20150317_000131	Klaipeda Lady	클라페다 귀부인					
QUEST_20150317_000132	We can still grow from the land, and have a warm hearth at our homes to rest at. {nl}I will always believe the goddesses are somewhere in the world.	아직도 땅에선 작물들이 자라나고 집에선 따뜻하게 불을 피울 수 있어요.{nl}저는 아직도 여신께서 어딘가에 반드시 계실 거라고 믿고 있습니다.				클라페다 귀부인	
QUEST_20150317_000133	Keep faith. {nl}The goddesses may still send a Savior to us.	기도하세요.{nl}여신께서 우리를 구원해 줄 누군가를 보내주실 겁니다.				클라페다 귀부인	
QUEST_20150317_000134	Hoplite Master	하플라이트 마스터					
QUEST_20150317_000135	If the sword is a symbol of power, then the spear is that of pure destruction. {nl}Power or destruction - what would you reach for on the battlefield?	검이 권위의 상징이라면 창은 순수한 살상 무기 그 자체입니다.{nl}권위와 무기. 만약 당신이 전쟁터에 있다면 어떤 것을 드시겠습니까?				하플라이트 서브 마스터	
QUEST_20150317_000136	Machine Worker	기계 제작 장인					
QUEST_20150317_000137	Even with the world as chaotic as it is, we can't stop working. {nl}It's been four years. Isn't it time to make peace with the past and start over?	아무리 세상이 이지경이라도 일을 놓을 순 없소.{nl}이제 4년이나 흘렀으니 마음을 추스리고 다시 시작해야하지 않겠소?				기계 제작 장인	
QUEST_20150317_000138	Klaipeda is a town that lives off its mining. {nl}With Medzio Diena, we ought to work on planting trees or cutting them.	클라페다는 광산으로 먹고 사는 도시요.{nl}신수의 날 따위로 우리가 일을 놓는다면 아마 나무나 깎아서 생활해야 할 거요.				기계 제작 장인	
QUEST_20150317_000139	My old man did this thing where he checked around corners for anything nice. {nl}Sometimes, he'd get lucky and find a nice treasure chest. I wonder who leaves them there.	아저씨가 그러셨는데요, 할 수만 있다면 구석구석을 잘 살피는 게 좋대요.{nl}가끔 운이 좋으면 보물상자를 발견할 수도 있다네요. 누가 갖다 놨을까?				클라페다 소녀	
QUEST_20150317_000140	Retired Hunter	은퇴한 사냥꾼					
QUEST_20150317_000141	I remember this battle in a deep canyon where soldiers fought a huge monster. {nl}Seeing the giant thing fall was amazing, but what was more amazing were the spoils.	일전에 깊은 협곡에서 병사들이 거대한 몬스터와 싸우는 걸 봤소.{nl}그 엄청난 몬스터를 쓰러뜨린 것도 대단하지만 전리품이 어마어마하더군.				은퇴한 사냥꾼	
QUEST_20150317_000142	Old Potter	도자기 빚는 노인					
QUEST_20150317_000143	I put a prayer on my earthenware, one by one. {nl}That way, the pots will one day be filled with the goddess' blessings.	도자기 하나에 소원 하나씩 담는 것일세.{nl}그러다 보면 언젠간 여신의 은총이 이 도자기 전부에 가득 차겠지.				도자기 빚는 노인	
QUEST_20150317_000144	Swordsmen should have Strength, but you can also have Dexterity and Constitution. {nl}You'll need to think about what to start with.	검사 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.					
QUEST_20150317_000145	Wizards work with Intelligence, but shouldn't forget Spirit for more spell-casting. {nl}You'll have to choose between being balanced or specialized.	마법사 계열이라면 역시 지능이죠.{nl}하지만 마법을 자주 사용하려면 정신력도 잊지 말아야 합니다.{nl}균형과 집중 중에서 잘 선택하셔야 해요.{nl}				정찰병	
QUEST_20150317_000146	Archers should have Strength, but Dexterity will prevent problems with movement. {nl}You'll need to think about what to start with.	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.{nl}					
QUEST_20150317_000147	Clerics work with Intelligence, but might need a lot of Strength or Spirit. {nl}You should really decide what you want first.	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 거예요.{nl}					
QUEST_20150317_000148	Doppelsoeldner Master	도펠죌트너 마스터					
QUEST_20150317_000149	Worthwhile things always carry a degree of risk. {nl}Naturally, for big rewards, you'll have to put up with lots of danger.	위험한 일일수록 가치 있는 경우가 많지.{nl}높은 보수를 원한다면 당연히 그만한 위험을 감당해야 할 줄도 알아야 하고.				도펠죌트너 마스터	
QUEST_20150317_000150	Corsair Master	커세어 마스터					
QUEST_20150317_000151	I won't help anyone in trouble if there isn't anything in it for me.	나에게 도움이 되는 일이 없다면 굳이 남을 돕는 고생을 할 필요는 없지.					
QUEST_20150317_000152	Boulder	바위					
QUEST_20150317_000153	A large boulder is blocking the way.	커다란 바위로 막혀있다..				바위	
QUEST_20150317_000154	(This needs to be repaired.)	망가져 수리가 필요하다..					
QUEST_20150317_000155	A boulder blocks the way.	바위로 막혀있다..					
QUEST_20150317_000156	Magical Research Material	마법 연구 자료					
QUEST_20150317_000157	It appears to be someone's research notes from Mage Tower. {nl}Should it be copied?	마법사의 탑에 있던 어느 마법사가 쓴 듯한 연구 자료가 보인다.{nl}베껴갈까?				마법 연구 자료	
QUEST_20150317_000158	Hiding and sneaking won't solve all your problems. {nl}A true Scout must also be ready to fight.	은신과 잠입에만 능하다고 만사가 아냐.{nl}전투기술도 갖추고 있어야 진정한 스카우트지.					
QUEST_20150317_000159	You're gonna need a lot of things when traveling. {nl}Be sure to stock up your provisions in advance.	여행을 하다 보면 사소한 물건들이 아쉬울 때가 많지요. {nl}미리 충분히 사두는 것이 좋답니다.					
