ETC_20150317_005001	이미 향나는 돌가루가 묻어있습니다!
ETC_20150317_005079	중앙 제단
ETC_20150317_005080	이런... 쓸모없는 녀석!!
ETC_20150317_005081	빨리 성소를 찾아!
ETC_20150317_005082	길티네님께서 실망하시기 전에..
ETC_20150317_005083	우선 종탑을 되찾아야 겠구나
ETC_20150317_005084	가자!
ETC_20150317_005085	스벤토베 중앙 제단
ETC_20150317_005086	잠깐!
ETC_20150317_005087	성구가 작동되었습니다.
ETC_20150317_005088	성구가 발동될 동안 제스티를 저지하세요!
ETC_20150317_005089	성구가 발동할 때까지 제스티와 맞서세요!
ETC_20150317_005090	여신의 계시를 획득했습니다!
ETC_20150317_005091	여신의 계시
ETC_20150317_005092	몬스터들이야!
ETC_20150317_005093	석판
ETC_20150317_005094	나크티스의 부하들이 급습했다!
ETC_20150317_005095	약이 완성될 때까지 나크티스 부하의 공격을 막으세요.
ETC_20150317_005096	냄비
ETC_20150317_005097	대성당 촛대
ETC_20150317_005098	결계 촛대
ETC_20150317_005099	영상
ETC_20150317_005100	멈춰라!
ETC_20150317_005101	여긴 통제구역이다
ETC_20150317_005102	예!
ETC_20150317_005103	비켜
ETC_20150317_005104	통과시켜
ETC_20150317_005105	각자 자리로 돌아가
ETC_20150317_005106	석화 탐지기
ETC_20150317_005107	살티스터를 처치하세요!
ETC_20150317_005108	저녀석을 막아!
ETC_20150317_005109	안 들키게 지나가게
ETC_20150317_005110	그럼 우리도 가볼까?
ETC_20150317_005111	글락쿠만을 처치하세요!
ETC_20150317_005112	크리오맨서의 마법진
ETC_20150317_005113	그러니 거기서 머리나 식히고 계세요
ETC_20150317_005114	뭐, 뭐야?
ETC_20150317_005115	베브라스피온을 처치하세요!
ETC_20150317_005116	시간을 넘어서 레푸스가 등장했습니다.{nl}레푸스를 처치하세요!
ETC_20150317_005117	살려줘!
ETC_20150317_005118	꺄악!
ETC_20150317_005119	요새로 도망쳐!
ETC_20150317_005120	대지의 요새 포탈
ETC_20150317_005121	경비병들을 도와 석화고래를 처치하세요!
ETC_20150317_005122	왕국군 경비병
ETC_20150317_005123	주셨던 보급품은 잘 받았습니다.
ETC_20150317_005124	무슨 소란이지?
ETC_20150317_005125	뭐야 저 녀석!
ETC_20150317_005126	근데 그거 좀 매캐한 냄새가 나던데요
ETC_20150317_005127	곧 근무 끝나는데!
ETC_20150317_005128	스톤프로스터를 처치하고 서리핵을 획득하세요!
ETC_20150317_005129	뭐야!
ETC_20150317_005130	무슨소리지?
ETC_20150317_005131	가고일을 처치하세요!
ETC_20150317_005132	데블글로브를 처치하세요!
ETC_20150317_005133	북은 경비병
ETC_20150317_005134	책 무더기
ETC_20150317_005135	제1 이동장치
ETC_20150317_005136	제2 이동장치
ETC_20150317_005137	이런. 함정이었어. 이건 구속마법이야.
ETC_20150317_005138	불꽃 융합기
ETC_20150317_005139	좋은 시간 보내라고.
ETC_20150317_005140	마력 조절 밸브
ETC_20150317_005141	흩어진 책
ETC_20150317_005142	흩어진책
ETC_20150317_005143	으하하하하하하....
ETC_20150317_005144	화염의 정수를 가지고 사라진 그리타를 쫓아가세요!
ETC_20150317_005145	그럼 이만.
ETC_20150317_005146	마법진
ETC_20150317_005147	헬가 세르클
ETC_20150317_005148	포아타를 처치하세요!
ETC_20150317_005149	포아타의 보금자리
ETC_20150317_005150	새끼 판토들이 카프리아에게 돌아갑니다
ETC_20150317_005151	카프리아가 매우 화난 것 같습니다.{nl}계획을 포기하고 카프리아를 처치하세요!
ETC_20150317_005152	파괴된 토템 때문에 시모프가 많이 화난 것 같습니다
ETC_20150317_005153	광폭해진 카너버를 처치하세요!
ETC_20150317_005154	머슈카리아를 처치하고 영력 깃든 갈기를 획득하세요!
ETC_20150317_005155	추종자 카예토나스와 함께{nl}미노타우로스를 처치하세요!
ETC_20150317_005156	어서 갑시다!
ETC_20150317_005157	비테레지나를 처치하세요!
ETC_20150317_005158	작은 벌통
ETC_20150317_005159	우리가 한 발 늦었군!
ETC_20150317_005160	부상당한 마을 사람
ETC_20150317_005161	여기까지 쫓아오다니..
ETC_20150317_005162	누그리아 제단
ETC_20150317_005163	모야브루카를 처치하세요!
ETC_20150317_005164	연못 오염원1
ETC_20150317_005165	우펜트 근처에 다가가면 나른초 폭탄의 효과로{nl}이동속도가 느려집니다!
ETC_20150317_005166	참으로 질긴 명줄이더구나.
ETC_20150317_005167	네 역할은 여기까지다.{nl}얌전히 죽어!
ETC_20150317_005168	여신 샤울레
ETC_20150317_005169	구속 마법진
ETC_20150317_005170	결계
ETC_20150317_005171	샤울레 여신
ETC_20150317_005172	포탈
ETC_20150317_005173	골렘을 처치하세요!
ETC_20150317_005174	스파나스혼을 처치하세요!
ETC_20150317_005175	예쿱을 처치하세요!
ETC_20150317_005176	환자
ETC_20150317_005177	병사죽이는 트리거
ETC_20150317_005178	요나졸렘을 처치하고 잘 타는 돌맹이를 획득하세요!
ETC_20150317_005179	그럼 대련을 시작하지!
ETC_20150317_005180	광산 관리소장
ETC_20150317_005181	봤지? 하루이틀이..
ETC_20150317_005182	으악! 나왔다!!!
ETC_20150317_005183	섀도게일러를 처치하세요!
ETC_20150317_005184	미노타우르스를 처치하세요!
ETC_20150317_005185	미노타우르스
ETC_20150317_005186	비범한 부베 투사
ETC_20150317_005187	오라클 마스터를 제압하세요!
ETC_20150317_005188	오, 왔군!
ETC_20150317_005189	무슨 일인가?
ETC_20150317_005190	뭐야?
ETC_20150317_005191	후우.. 알겠네. 조심해서 돌아가게..
ETC_20150317_005192	플래쳐 공방원
ETC_20150317_005193	클라페다의 마스터들에게 부탁하신 물건들을 모두 전달해 드렸습니다.
ETC_20150317_005194	그런데..
ETC_20150317_005195	이번에도 방패와 갑주들은 가져오지 못했습니다.
ETC_20150317_005196	그럼 전 이만 가보겠습니다.
ETC_20150317_005197	스파르나스를 처치하세요!
ETC_20150317_005198	다 죽을거야
ETC_20150317_005199	가까이 오지마!
ETC_20150317_005200	급습한 하르피아를 처치하세요!
ETC_20150317_005201	리버피드를 처치하세요!
ETC_20150317_005202	봐드리지 않겠습니다!
ETC_20150317_005203	로그 마스터를 제압하세요!
ETC_20150317_005204	그럼 간다!
ETC_20150317_005205	락토르투가를 처치하고 천연 마노석을 습득하세요!
ETC_20150317_005206	슈바르츠라이터를 제압하세요!
ETC_20150317_005207	데드본을 처치하세요!
ETC_20150317_005208	라자토드를 처치하세요!
ETC_20150317_005209	몬스터들이 출현했습니다!
ETC_20150317_005210	기름 상자
ETC_20150317_005211	부서진 부엉이 조각상
ETC_20150317_005212	무명 병사의 유품
ETC_20150317_005213	열쇠 지기 할로우벤터
ETC_20150317_005214	네크로벤터의 부하
ETC_20150317_005215	내 말이 맞잖아!
ETC_20150317_005216	말도 안돼!
ETC_20150317_005217	일단 도망쳐!
ETC_20150317_005218	미끼에 이끌린 몬스터 처치!
ETC_20150317_005219	마족 미끼
ETC_20150317_005220	여신상으로 영혼들이 인도될 수 있도록 보호해 주세요!
ETC_20150317_005221	쓰론위버가 나타났습니다!
ETC_20150317_005222	놓여진 미끼
ETC_20150317_005223	도와주세요!
ETC_20150317_005224	숙련 기계공
ETC_20150317_005225	여신께선 어디로 가셨나이까..
ETC_20150317_005226	저희에게 구원과 안식을..
ETC_20150317_005227	저희의 기도를 들어주시옵소서..
ETC_20150317_005228	평화와 행복을..
ETC_20150317_005229	저기! 거미가 몰려오고 있소!
ETC_20150317_005230	릴리야가 갑자기 카너버로 변해 버렸습니다!
ETC_20150317_005231	릴리야가 변한 카너버
ETC_20150317_005232	순례자 율리우스가 드라페리운으로 변했습니다!
ETC_20150317_005233	식량무지를 건드리자 리버피드가 나타났습니다!
ETC_20150317_005234	썩은 고기 무더기*
ETC_20150317_005235	순례자 재뉴스*
ETC_20150317_005236	뭐야 너 이녀석!
ETC_20150317_005237	나태의 나무뿌리 수정
ETC_20150317_005238	나무뿌리 수정 보호장치가 나타났습니다!{nl}정해진 시간 내에 이것들을 모두 파괴하세요!
ETC_20150317_005239	나무뿌리 수정 보호장치
ETC_20150317_005240	변형 나무뿌리 수정이 갑자기 불이 붙었습니다! {nl}몬스터들로부터 이 불을 잠재울 만한 것을 구해 봅시다!
ETC_20150317_005241	변형된 나무뿌리 수정이 캑터스벨로 변했습니다!{nl}캑터스벨을 처치하세요!
ETC_20150317_005242	순례자 그라찌우스*
ETC_20150317_005243	순례자의 영혼이 불러 낸 몬스터들을 시간 안에 모두 물리치세요!
ETC_20150317_005244	날 죽인 마군주.. 날 속인 배신자들..
ETC_20150317_005245	분노의 제단
ETC_20150317_005246	영혼을 속박시킨 머지를 처치하세요!
ETC_20150317_005247	머지에게 속박된 영혼
ETC_20150317_005248	풀려 난 건가?
ETC_20150317_005249	날 풀어줘!
ETC_20150317_005250	성소에서 아이언 바움이 나타났습니다!
ETC_20150317_005251	성소는 작동하지 않은 채 갑자기 몬스터들이 튀어 나와서 성소를 공격하려 합니다!
ETC_20150317_005252	축복의 성소*
ETC_20150317_005253	묘비에서 흙 묻은 작은 초상화를 얻었습니다!.{nl}그리고 묘비 근처에서 몬스터들이 몰려나왔습니다!
ETC_20150317_005254	묘비
ETC_20150317_005255	순례자에게 속았습니다!
ETC_20150317_005256	날 따르시오.
ETC_20150317_005257	이들이 당신을 도울 것이요.
ETC_20150317_005258	정화의 제단
ETC_20150317_005259	주교의 시신을 수습하자 몬스터 등장!
ETC_20150317_005260	주교의 무덤
ETC_20150317_005261	찾고 있는 석판이 아닌것 같습니다.
ETC_20150317_005262	레이몬드가 말한 대로 에하트가 나타났습니다!
ETC_20150317_005263	스미드가 살해당했습니다!{nl}매그버크를 처치하세요
ETC_20150317_005264	금석학자 스미드가 매그버크에게 살해당했습니다!{nl}매그버크를 처치하세요!
ETC_20150317_005265	루클리스 기념비
ETC_20150317_005266	스승님 여깁니다!
ETC_20150317_005267	마침 탁본을 다시 만드려고..
ETC_20150317_005268	우리가 드디어 해냈구나!
ETC_20150317_005269	탁본작업 중 채퍼리션이 나타났습니다!{nl}채퍼리션을 처치하세요!
ETC_20150317_005270	통제불능의 네크로벤터가 소환됐습니다.{nl}실험은 실패입니다. 네크로벤터를 처치하세요
ETC_20150317_005271	통제불능 네크로벤터
ETC_20150317_005272	병사들의 영혼과 함께 유니콘을 처치하세요!
ETC_20150317_005273	나왔다. 가자!
ETC_20150317_005274	리버피드가 습격했습니다.{nl}리버피드를 처치하세요!
ETC_20150317_005275	봉화대
ETC_20150317_005276	거 보게. 나는 숨어 있겠네.
ETC_20150317_005277	왕릉의 유물
ETC_20150317_005278	기록관 요나스의 두통이 사라질 때 까지 몬스터로부터 그를 보호하세요!
ETC_20150317_005279	몰렉이다! 도망쳐!
ETC_20150317_005280	봉인을 풀려고 하자 몬스터들이 출현했습니다!{nl}정해진 시간 동안 살아 남아야 합니다!
ETC_20150317_005281	성소의 첫 번째 봉인
ETC_20150317_005282	봉인을 건드리자 보조 봉인 장치가 소환되었습니다! {nl}보조 봉인 장치를 파괴 하세요!
ETC_20150317_005283	성소의 두 번째 봉인
ETC_20150317_005284	보조 봉인 장치
ETC_20150317_005285	성소의 세 번째 봉인
ETC_20150317_005286	고대 양식 기둥
ETC_20150317_005287	토도우가 끌고 온 요나졸렘을 처치하세요!
ETC_20150317_005288	토도우 납셨네! 난 이만 몸 사리러!
ETC_20150317_005289	거푸집
ETC_20150317_005290	용병 토도우
ETC_20150317_005291	뭐야 이 몬스터는! 야 빈센트! 거기 서!
ETC_20150317_005292	거기 서라고!
ETC_20150317_005293	돌기둥
ETC_20150317_005294	돌기둥을 건드렸더니 갑자기 몬스터들이 출현 했습니다!
ETC_20150317_005295	갑자기 나타난 몬스터가 지도를 낚아채 갔습니다! {nl}주변의 몬스터로부터 지도를 되찾으세요!
ETC_20150317_005296	지도를 얻자마자 갑자기 몬스터들이 몰려 옵니다!
ETC_20150317_005297	서쪽지역 결계
ETC_20150317_005298	그걸 그렇게 만지시면..
ETC_20150317_005299	미안해요. 뒷 일을 부탁할게요!
ETC_20150317_005300	뭔가 보이는게 있습니까?
ETC_20150317_005301	제 눈엔 아무것도 보이질 않는군요.
ETC_20150317_005302	이건..
ETC_20150317_005303	숨을 쉴 수가..
ETC_20150317_005304	바키스
ETC_20150317_005305	이 병사를 죽음으로 몰고 간 몬스터들이 나타난 것 같습니다!{nl}이들을 처치하고 병사의 명복을 빌어 주세요!
ETC_20150317_005306	처지해라
ETC_20150317_005307	큰일이예요!!
ETC_20150317_005308	어서 렉시퍼를 막아야 되요!!!
ETC_20150317_005309	으악!!!!
ETC_20150317_005310	도와줘요!!!
ETC_20150317_005311	더 이상 나를 방해하면..
ETC_20150317_005312	이 여자는 세상에서 사라질 것이다
ETC_20150317_005313	피포티의 동료
ETC_20150317_005314	으...사람 살려
ETC_20150317_005315	채퍼리션이 나타나 쿠쟝의 물건을 부쉈습니다!{nl}채퍼리션을 처치하세요!
ETC_20150317_005316	너의 운은 여기까지다!!!!
ETC_20150317_005317	막아라!!
ETC_20150317_005318	고, 골렘이다!
ETC_20150317_005319	아라스
ETC_20150317_005320	지금!
ETC_20150317_005321	마족
ETC_20150317_005322	어리석은 녀석
ETC_20150317_005323	더 고통스럽게 해주마
ETC_20150317_005324	지역 약초상
ETC_20150317_005325	..해서 없앨 수 있습니다요.
ETC_20150317_005326	찾았다, 계시자..{nl}드디어..
ETC_20150317_005327	이건.. 몬스터잖아?
ETC_20150317_005328	저 몬스터.. 쓸만하겠어.
ETC_20150317_005329	잠깐, 저 자는..
ETC_20150317_005330	그렇습니다! 저희도 나가서 싸우고 싶습니다!
ETC_20150317_005331	몰트라는 믿을만한 {nl}친구에게 맡겼습니다.
ETC_20150317_005332	스피온은 저희의 친굽니다.{nl}허락만 해주신다면 함께 가고 싶습니다
ETC_20150317_005333	라이몬다스님만 허락해 주신다면{nl}꼭 전선에 나가고 싶습니다!
ETC_20150317_005334	이런 소리지!
ETC_20150317_005335	넌 나랑 같이 가자꾸나!
ETC_20150317_005336	브란
ETC_20150317_005337	아까 그 약초꾼?
ETC_20150317_005338	스피온!!!!!
ETC_20150317_005339	피트
ETC_20150317_005340	무슨 소리야?
ETC_20150317_005341	일단 골렘부터!
ETC_20150317_005342	덤블볼을 태우자 화가 난 부베들이 달려듭니다!
ETC_20150317_005343	아우스테야 신도
ETC_20150317_005344	여신 아우스테야
ETC_20150317_005345	아우스테야 제단
ETC_20150317_005346	봉인탑
ETC_20150317_005347	거대한 변이 식물
ETC_20150317_005348	당신이 바로 그 계시자로군요.
ETC_20150317_005349	이곳에서 일어나고 있는 일들의 원인은 다른 곳에 있습니다.
ETC_20150317_005350	이곳에선 이야기하기 어려우니 흔들리는 경작지로 찾아와주시기 바랍니다.
ETC_20150317_005351	조사도구
ETC_20150317_005352	저기, 새끼 포아타입니다!!!
ETC_20150317_005353	쫓아라!! 이번엔 놓치면 안돼!!!
ETC_20150317_005354	캠프를 벗어나면 안돼!!! 아쉽지만 돌아가자!!
ETC_20150317_005355	이봐!!! 멈춰 위험해!!
ETC_20150317_005356	캠프로 돌아가 어서!!
ETC_20150317_005357	자, 수속은 제가 할테니...
ETC_20150317_005358	이 비명소리는 뭐지?
ETC_20150317_005359	전투 준비!
ETC_20150317_005360	습격입니다!!
ETC_20150317_005361	피난민
ETC_20150317_005362	움...움직이잖아!!
ETC_20150317_005363	고..골렘이다!!!
ETC_20150317_005364	이런 곳에 왜 골렘 잔해가 있는거지?
ETC_20150317_005365	이봐!!! 위험해!! 도망쳐!!
ETC_20150317_005366	죽은 걸까요?
ETC_20150317_005367	어...엇!!
ETC_20150317_005368	달려드는 대형 케파를 처치하세요!
ETC_20150317_005369	대형 케파가 여기까지..!
ETC_20150317_005370	연금술사 바이도타스
ETC_20150317_005371	2광구 폐쇄 안내
ETC_20150317_005372	주민들을 대피시켜!!
ETC_20150317_005373	멈춰라!!
ETC_20150317_005374	동쪽 숲 병사
ETC_20150317_005375	자 어서 갑시다 여보, 아부지!
ETC_20150317_005376	정말 다행이네요. 어서 가요!
ETC_20150317_005377	늙은 것이 너희들 고생만 시키는구나..
ETC_20150317_005378	달려드는 부베들을 처치하세요!
ETC_20150317_005379	정말 고생하셨어요!
ETC_20150317_005380	어딨어!!!
ETC_20150317_005381	일로 나오라고!!!
ETC_20150317_005382	가시 관문
ETC_20150317_005383	무언가 담겨있는 주머니
ETC_20150317_005384	마력수정을 정제하는 동안 습격해 오는 몬스터 처치
ETC_20150317_005385	사울레 여신의 신도
ETC_20150317_005386	소환 수정
ETC_20150317_005387	마족 소환진 파괴하기
ETC_20150317_005388	샤울레 여신의 신도
ETC_20150317_005389	메로그들입니다!
ETC_20150317_005390	정화의 제단을 몬스터에게서 보호하세요
ETC_20150317_005391	허니핀 등장!
ETC_20150317_005392	강화된 가시 꽃가루 각성제를 마신 후 지나가자!
ETC_20150317_005393	계시
ETC_20150317_005394	여긴 위험하니 도망치십시오!
ETC_20150317_005395	지원인가?
ETC_20150317_005396	도망쳐!!
ETC_20150317_005397	썩은 나무 등걸
ETC_20150317_005398	크로뉴트 임시
ETC_20150317_005399	인프로 호글란 임시
ETC_20150317_005400	드디어 전투인가.
ETC_20150317_005401	신병, 너무 겁먹지 말라고.
ETC_20150317_005402	어디지?
ETC_20150317_005403	가자! 신병도 따라와!
ETC_20150317_005404	가이갈라스가 나타났어!
ETC_20150317_005405	이쪽이다. 따라와!
ETC_20150317_005406	무덤
ETC_20150317_005407	입구 경고문
ETC_20150317_005408	왕릉 억제기
ETC_20150317_005409	수호자 정화장치
ETC_20150317_005410	오작동하는 수호장치
ETC_20150317_005411	마력이 정화되자 마족이 저지하려 합니다!
ETC_20150317_005412	수호자들로부터 왕릉 석등 보호!
ETC_20150317_005413	왕릉비석
ETC_20150317_005414	오작동하는 에하드
ETC_20150317_005415	마력 옹기
ETC_20150317_005416	아콘이 제어기 파괴를 저지하기 위해 나타났습니다!
ETC_20150317_005417	오염된 왕릉 마력 제어기
ETC_20150317_005418	왕릉을 파괴하려는 왕릉 수호자 저지!
ETC_20150317_005419	왕릉을 파괴하려는 베아카라스 저지
ETC_20150317_005420	영혼의 항아리
ETC_20150317_005421	온전한 영혼 항아리
ETC_20150317_005422	아처 2서클 필요
ETC_20150317_005423	아처 3서클 필요
ETC_20150317_005424	바바리안 2서클 필요
ETC_20150317_005425	바바리안 3서클 필요
ETC_20150317_005426	보코르 2서클 필요
ETC_20150317_005427	보코르 3서클 필요
ETC_20150317_005428	캐터프락트 2서클 필요
ETC_20150317_005429	캐터프락트 3서클 필요
ETC_20150317_005430	클레릭 2서클 필요
ETC_20150317_005431	클레릭 3서클 필요
ETC_20150317_005432	딥디르비 2서클 필요
ETC_20150317_005433	딥디르비 3서클 필요
ETC_20150317_005434	엘레멘탈리스트 2서클 필요
ETC_20150317_005435	엘레멘탈리스트 3서클 필요
ETC_20150317_005436	파이로맨서 2서클 필요
ETC_20150317_005437	파이로맨서 3서클 필요
ETC_20150317_005438	크리오맨서 2서클 필요
ETC_20150317_005439	크리오맨서 3서클 필요
ETC_20150317_005440	하이랜더 2서클 필요
ETC_20150317_005441	하이랜더 3서클 필요
ETC_20150317_005442	하플라이트 2서클 필요
ETC_20150317_005443	하플라이트 3서클 필요
ETC_20150317_005444	크리비 2서클 필요
ETC_20150317_005445	크리비 3서클 필요
ETC_20150317_005446	링커 3서클 필요
ETC_20150317_005447	링커 2서클 필요
ETC_20150317_005448	팔라딘 2서클 필요
ETC_20150317_005449	팔라딘 3서클 필요
ETC_20150317_005450	펠타스타 2서클 필요
ETC_20150317_005451	펠타스타 3서클 필요
ETC_20150317_005452	프리스트 2서클 필요
ETC_20150317_005453	프리스트 3서클 필요
ETC_20150317_005454	사이코키노 2서클 필요
ETC_20150317_005455	사이코키노 3서클 필요
ETC_20150317_005456	쿼렐슈터 2서클 필요
ETC_20150317_005457	쿼렐슈터 3서클 필요
ETC_20150317_005458	레인저 2서클 필요
ETC_20150317_005459	레인저 3서클 필요
ETC_20150317_005460	로델레로 2서클 필요
ETC_20150317_005461	로델레로 3서클 필요
ETC_20150317_005462	사두 2서클 필요
ETC_20150317_005463	사두 3서클 필요
ETC_20150317_005464	새퍼 2서클 필요
ETC_20150317_005465	새퍼 3서클 필요
ETC_20150317_005466	스카우트 2서클 필요
ETC_20150317_005467	스카우트 3서클 필요
ETC_20150317_005468	쏘마터지 2서클 필요
ETC_20150317_005469	소드맨 2서클 필요
ETC_20150317_005470	소드맨 3서클 필요
ETC_20150317_005471	위자드 2서클 필요
ETC_20150317_005472	위자드 3서클 필요
ETC_20150317_005473	무고사 2서클 필요
ETC_20150317_005474	무고사 3서클 필요
ETC_20150317_005475	랭킹테스트
ETC_20150317_005476	테스트 랭킹
ETC_20150317_005477	탑데미지
ETC_20150317_005478	최고데미지
ETC_20150317_005479	태초의 구원자
ETC_20150317_005480	CBT참여한 유저들에게 주어지는 칭호입니다.
ETC_20150317_005481	몬스터 지배자
ETC_20150317_005482	몬스터를 100마리 처치했다.
ETC_20150317_005483	몬스터 정복자
ETC_20150317_005484	몬스터를 1,000마리 처치했다.
ETC_20150317_005485	몬스터 몰살자
ETC_20150317_005486	몬스터를 10,000마리 처치했다.
ETC_20150317_005487	몬스터 헌터
ETC_20150317_005488	몬스터를 100,000마리 처치했다.
ETC_20150317_005489	오버킬을 성공한 자
ETC_20150317_005490	오버킬을 100회 달성했다.
ETC_20150317_005491	오버킬의 초보자
ETC_20150317_005492	오버킬을 500회 달성했다.
ETC_20150317_005493	오버킬의 달인
ETC_20150317_005494	오버킬을 1,000회 달성했다.
ETC_20150317_005495	오버킬의 신
ETC_20150317_005496	오버킬을 3,000회 달성했다.
ETC_20150317_005497	보스 지배자
ETC_20150317_005498	보스 몬스터를 100마리를 처치했다.
ETC_20150317_005499	보스 정복자
ETC_20150317_005500	보스 몬스터를 300마리를 처치했다.
ETC_20150317_005501	보스 헌터
ETC_20150317_005502	보스 몬스터를 500마리를 처치했다.
ETC_20150317_005503	워킹 데드
ETC_20150317_005504	NXP로 부활한 횟수 100회 이상 달성했다.
ETC_20150317_005505	제작 초보자
ETC_20150317_005506	제작을 10회 성공했다. 득을 본 기분이다.
ETC_20150317_005507	제작 숙련자
ETC_20150317_005508	제작을 50회 성공했다. 이젠 제작도 꽤 손에 익었다.
ETC_20150317_005509	제작 전문가
ETC_20150317_005510	제작을 100회 성공했다. 점점 재산이 불어나는게 보인다.
ETC_20150317_005511	제작 신
ETC_20150317_005512	제작을 300회 성공했다. 말이 필요 없다.
ETC_20150317_005513	도전자
ETC_20150317_005514	플레이어 3명을 전투불능으로 만들었다.
ETC_20150317_005515	검투사
ETC_20150317_005516	플레이어 10명을 전투불능으로 만들었다.
ETC_20150317_005517	전쟁의 지휘자
ETC_20150317_005518	플레이어를 20명 전투불능으로 만들었다.
ETC_20150317_005519	전쟁의 신
ETC_20150317_005520	플레이어를 50명 전투불능으로 만들었다.
ETC_20150317_005521	폐인
ETC_20150317_005522	몬스터 에너지
ETC_20150317_005523	7일동안 플레이를 했다.
ETC_20150317_005524	대길
ETC_20150317_005525	대길이 스토커
ETC_20150317_005526	대길이를 100번 귀찮게 하였다.
ETC_20150317_005527	헤어
ETC_20150317_005528	난 소중하니깐
ETC_20150317_005529	미용실 3번 방문하였다.
ETC_20150317_005530	트레져 헌터
ETC_20150317_005531	20개의 보물상자를 도굴하였다.
ETC_20150317_005532	토너먼트
ETC_20150317_005533	토너먼트 팬클럽
ETC_20150317_005534	경기중 20개의 선물을 줬다.
ETC_20150317_005535	토너먼트 광팬
ETC_20150317_005536	경기중 100개의 선물을 줬다.
ETC_20150317_005537	토너먼트 팬클럽 부회장
ETC_20150317_005538	경기중 500개의 선물을 줬다.
ETC_20150317_005539	랭킹 테스트 1
ETC_20150317_005540	데미지 랭킹
ETC_20150317_005541	오버 킬 횟수
