QUEST_LV_0100_20150317_000001	Sentinel	경계병
QUEST_LV_0100_20150317_000017	The rations are in the First Supply Warehouse, which you can get to using the road {nl}on the upper side. Please bring back whatever leftovers you find... 	식량은 위쪽 길을 따라가면 나오는 제1 보급창고에 있습니다.{nl}어떻게 남은 것만이라도 좀.. 아이고 세상에..
QUEST_LV_0100_20150317_000018	I wrote down who Sparnas is. Maybe it will be useful in the future.{nl}Though I may not appear so right now, I was a biologist four years ago.	혹시나 도움이 될까 싶어서 스파르나스가 뭐 하는 놈인지 기록해놨습니다.{nl}제가 이래 봬도 4년 전엔 생물학도였거든요.{nl}
QUEST_LV_0100_20150317_000019	Please pass this report to Luders.{nl}He is probably at the Center Supply Camp.	이 보고서를 류다스님께 전달해 주십시오. {nl}아마 지금쯤이면 중앙 보급 기지에 계실 겁니다.
QUEST_LV_0100_20150317_000020	Officer Luders	장교 류다스
QUEST_LV_0100_20150317_000021	Ah, you must be the so called Revelator. Nice to meet you.{nl}Is this Blak's report?{nl}	아아, 자네가 소문의 그 계시자로군. 반갑네.{nl}이건 블락의 보고서인가?{nl}
QUEST_LV_0100_20150317_000022	Hmm... Is that so?{nl}It appears they simply destroyed the supplies and ran away. But even if Chupacabras had wings, {nl}surely they can't do something like that.{nl}	흠.. 그렇군. {nl}보급품만 집요하게 파괴하고 도망간다니 츄파카브라에게 날개가 달렸어도 이보단 덜할 거야.{nl}
QUEST_LV_0100_20150317_000023	This isn't enough.{nl}I am sorry, but please bring us Moody's report from Amzina Curved Path.	이걸론 좀 부족하군.{nl}미안하네만, 자네가 암지나 굽잇길에 있는 무디의 보고서도 받아다 주게.
QUEST_LV_0100_20150317_000024	I feel better since Luders is here.	류다스님께서 와 주셔서 그나마 마음이 놓입니다.
QUEST_LV_0100_20150317_000025	Soldier York	병사 요크
QUEST_LV_0100_20150317_000026	The Siaulambs are crossing the road. I am in a panic myself, and I don't know what to do.{nl}I'm sure Luders won't allow this to happen... What should we do?	샤울렘들이 도를 넘어서고 있습니다.{nl}저도 패닉상태라 도저히 뭘 어떻게 해야 할지 모르겠습니다.{nl}류다스님께선 절대 그냥 넘어가지 않으실 텐데.. 어쩌죠?
QUEST_LV_0100_20150317_000027	Do you think the problem will be resolved just by defeating Sparnas?	스파르나스만 잡는다고 해결될 문제일까요?
QUEST_LV_0100_20150317_000028	Thanks to your help, I think I can hold myself together.{nl}But... won't this kind of thing happen again? What should I do then...?	도와주신 덕분에 어떻게든 추스를 수 있겠네요.{nl}하지만.. 이런 일은 또 생기겠죠? 그럴 땐 어떻게 해야 할지..
QUEST_LV_0100_20150317_000029	Sparnas? We don't have a clear answer about it.{nl}It just appeared from the sky without any signs and destroyed all the supplies we had. Then, it {nl}quickly disappeared. We got headaches just hearing its cries.	스파르나스요? 그건 진짜 답이 없어요.{nl}징조도 없이 갑자기 하늘에서 나타나선 보급품을 다 부숴버리고 나선 금새 사라져버리죠.{nl}울음소리만 들어도 머리가 아파요.
QUEST_LV_0100_20150317_000030	The place I just talked about is the Second Supply Warehouse.{nl}It is depressing to think how these kinds of things will be recurring in the future.	말씀드린 지점은 제2 보급창고입니다. {nl}앞으로도 계속 이런 일이 되풀이 될걸 생각하니 정말 갑갑하네요.
QUEST_LV_0100_20150317_000031	Take it. I made some bait from old grains in the supplies.{nl}I will lure it from up there, so you stay here. Sparnas will definitely appear at one of these {nl}two places. Don't let it escape. Destroy it for sure.{nl}	받게. 보급품에서 오래된 곡식을 전부 골라내 미끼를 만들었네.{nl}나는 위쪽에서 녀석을 유인해 볼 테니 자넨 여기 벌목지를 맡아 주게.{nl}둘 중 어느 한 곳이던 스파르나스는 반드시 나타날 거야. 놓치지 말고 반드시 처치하세.{nl}
QUEST_LV_0100_20150317_000032	We may not get a second chance if we don't defeat it this time.{nl}It doesn't seem like they're idiots.	이번이 아니면 다신 잡을 수 없을지도 모르네.{nl}저들도 멍청이는 아닐 테니.
QUEST_LV_0100_20150317_000033	I heard the sound of fighting so I came in a hurry. Did you defeat it?{nl}I only spotted the Siaulambs at my spot.{nl}Thank you. You have performed a meritorious deed.	싸우는 소리가 나서 급히 달려왔네만.. 확실히 처치한 건가?{nl}내 쪽은 샤울렘들만 우글거리더군.{nl}수고했네. 이 모든 공은 자네 덕으로 돌리지. 
QUEST_LV_0100_20150317_000034	Adjutant General Paulina	부관 폴리나
QUEST_LV_0100_20150317_000035	We should recover the stolen supplies.{nl}We can't call ourselves soldiers of the kingdom if we don't do anything about it.{nl}	약탈당한 물건은 되찾아와야죠. {nl}그냥 당하고만 있어선 왕국의 군인이라 할 수 없을 겁니다.{nl}
QUEST_LV_0100_20150317_000036	The stolen supplies were taken by the Siaulambs in every Supply Warehouse, {nl}recover the supplies and bring them to Volda.	빼앗긴 보급품은 각 보급창고에 있는 샤울렘들이 가지고 있다고 합니다.{nl}그 보급품을 되찾아 볼다에게 가져다주십시오.
QUEST_LV_0100_20150317_000037	I feel so fed up having to endure this all the time. Reinforcements should be coming soon.{nl}But what can we expect from such an incompetent kingdom?	당하고만 사는 것도 지겹고 분합니다.{nl}빨리 원조가 와야 할 텐데 왕국의 무능함에 뭘 기댈 수 있겠습니까.
QUEST_LV_0100_20150317_000038	Adjutant General Volda	부관 볼다
QUEST_LV_0100_20150317_000039	Thank you very much, but you must be late for other matters.{nl}Besides we can't just sit here and wait. We plan to keep attacking.	다른 일로도 바쁘실 텐데 정말 감사합니다.{nl}당하고만 살 순 없죠. 계속해서 공격을 감행할 생각입니다.
QUEST_LV_0100_20150317_000040	Secret Guardian	비밀의 수호자
QUEST_LV_0100_20150317_000041	The goddess already foresaw this.{nl}Nothing can escape from her vision.	여신께서 이미 예견하신 것이다.{nl}모든 존재는 예지에서 벗어날 수 없다.
QUEST_LV_0100_20150317_000042	Liaison Officer Niels	연락관 닐스
QUEST_LV_0100_20150317_000043	Hello.{nl}Have you seen an old man who has lost his way?{nl}His name is Jonas.{nl}	안녕하십니까.{nl}혹시 길을 잃은 듯한 어르신을 본 적이 있습니까?{nl}성함은 요나스님이고요.{nl}
QUEST_LV_0100_20150317_000044	You haven't seen him?{nl}Now, which direction would that feeble old fellow have wandered off towards?	보지 못하셨다고요.{nl}정신도 오락가락하신 분이 어딜 가신걸까.
QUEST_LV_0100_20150317_000045	Jonas is a descendant of the family that has been protecting this Royal Mausoleum.{nl}He is a very important person to our lab team so please take good care of him.	요나스님은 이 왕릉을 대대로 모시던 가문의 후손이십니다.{nl}저희 연구진에게 있어 중요한 분이니 꼭 부탁하겠습니다.
QUEST_LV_0100_20150317_000046	Archivist Jonas	기록관 요나스
QUEST_LV_0100_20150317_000047	Our family has been waiting for you for a long time.{nl}It is time to give you something that we have been protecting for quite a while.	우리 가문은 자네를 아주 오랫동안 기다려 왔어.{nl}이제 우리 가문이 지켜온 것을 내어 줄 때가 온 게지.
QUEST_LV_0100_20150317_000048	It is good to hear that Jonas has regained his consciousness.{nl}You are the person who casted the light signal, right?{nl}	요나스님께서 정신을 차리셨다니 정말 다행입니다. {nl}봉화를 올린 분은 당신이지요? {nl}
QUEST_LV_0100_20150317_000049	Ahylas has come to meet whoever lit the signal.{nl}Meet him downstairs.	봉화를 보고 아힐라스님이 오셨습니다.{nl}아래쪽으로 가셔서 만나 보시지요.
QUEST_LV_0100_20150317_000050	We haven't heard any news from Kepeck for a long time, not since we sent him supplies.{nl}We don't have enough people to form a search team, so please help us find him.	케펙님께 지원품을 보냈는데 소식이 끊긴 지 오래입니다.{nl}수색 인력이 부족하니 부디 힘을 빌렸으면 합니다.
QUEST_LV_0100_20150317_000051	Historian Viode	사학자 비어드
QUEST_LV_0100_20150317_000052	Always be prepared for monster attacks.{nl}Especially in places like here.	언제나 몬스터의 습격에 대비하는 것이 좋네.{nl}특히나 이런 야외에선 말이지.
QUEST_LV_0100_20150317_000053	Mercenary Mirta	용병 미르타
QUEST_LV_0100_20150317_000054	}Didn't I already warn you?{nl}Be careful next time.	제가 경고했잖습니까?{nl}다음부턴 조심하십시오.
QUEST_LV_0100_20150317_000055	Historian Kepeck	사학자 케펙
QUEST_LV_0100_20150317_000056	Niels must have sent you.{nl}Well, since you're in a hurry, document it yourself and take it back to Niels.	보나마나 닐스가 보냈겠지.{nl}뭐, 급하다면 직접 기록해다가 닐스에게 갖다 주던가.
QUEST_LV_0100_20150317_000057	If you go straight, take the road to your right and cross the bridge, {nl}you will see the artifacts of the Great King Zachariel.{nl}Archive them and take it back to Niels. He will understand.	오른쪽 길을 따라 다리를 건너가면 자카리엘 대왕의 유물이 있어.{nl}그걸 기록해서 닐스에게 갖다 주면 닐스도 납득하겠지.
QUEST_LV_0100_20150317_000058	So these are Kepeck's notes... Mercenary Mirta was looking for this.{nl}You helped confirm the safety of two individuals. Thank you for your efforts.	이건 케펙님의 보고서.. 용병 미르타님도 찾으셨다고요. {nl}두 분의 안전만 확인된다면야. 수고하셨습니다.
QUEST_LV_0100_20150317_000059	Ahylas Jonas	아힐라스 요나스
QUEST_LV_0100_20150317_000060	Now take the unsealing stone and go to Broken Pillar Canyon. {nl}The Disciple of Gustas will teach you how to release the seal there.	이제 그 봉인 해제석을 가지고 부러진 기둥 협곡으로 가십시오.{nl}구스타스의 제자가 그 곳의 봉인을 푸는 방법을 차례대로 알려 줄 것입니다.
QUEST_LV_0100_20150317_000061	Were you not guided yet?{nl}Take it to the Disciple of Gustas in Broken Pillar Canyon.{nl}It is made to let only the chosen one enter.	아직 안내 받지 못하셨나요?{nl}부러진 기둥 협곡에 있는 구스타스의 제자 입니다.{nl}오직 선택받은 이를 들여보내기 위해 만든 것이니까요.
QUEST_LV_0100_20150317_000062	Disciple of Gustas	구스타스의 제자
QUEST_LV_0100_20150317_000063	Did you release the seal of Pagasa Cliff?{nl}You have to start from that seal.	파가사 절벽의 봉인을 푸셨습니까?{nl}이제부터가 시작입니다.
QUEST_LV_0100_20150317_000064	Words engraved into a rock	바위에 새겨진 문구
QUEST_LV_0100_20150317_000065	Do not touch or push the rock.	건드리거나 밀지 마시오.
QUEST_LV_0100_20150317_000066	I was waiting for you.{nl}The next seal is located on the way to the Collapsed Sanctum.	기다리고 있었습니다.{nl}다음 봉인은 무너진 성소로 가는 길에 있어요.
QUEST_LV_0100_20150317_000067	You don't know how eagerly we have waited for this moment.{nl}We really wanted to meet you.	저희가 이 순간을 얼마나 기다려 왔는지 모르실 겁니다.{nl}정말 뵙고싶었어요.
QUEST_LV_0100_20150317_000068	Gustas Jonas	구스타스 요나스
QUEST_LV_0100_20150317_000069	It's you.{nl}You are much more gallant than what I had imagined.	자네로군. {nl}상상했던 것보다 아주 늠름하군 그래.
QUEST_LV_0100_20150317_000070	Soldier Alan	병사 알란
QUEST_LV_0100_20150317_000071	Are you the new recruit?{nl}I received a patrolling order, but I guess you can go my behalf.	신병이지? 신병이구나.{nl}나에게 정찰 임무가 내려왔는데 네가 대신 가야겠다.
QUEST_LV_0100_20150317_000072	You're good for a newbie.{nl}I have a memory of something horrible happening there once, so I don't want to go.	신병인데 꽤 하는구나.{nl}뭔가 끔찍한 기억이 떠올라서 거긴 가고싶지 않아.
QUEST_LV_0100_20150317_000073	I'm remembering something...	뭔가 기억이 날 것도 같은데..
QUEST_LV_0100_20150317_000074	}You know that we are dispatched here to defeat Gaigalas, right?{nl}Rookie. Can you take this report to Commander Wallace?	우린 이 숲에 나타난 가이갈라스를 처치하기 위해 파견된 부대라는건 알지?{nl}신병. 이 보고서를 지휘관 월리스님께 가져다주겠어?
QUEST_LV_0100_20150317_000075	Commander Wallace	지휘관 월리스
QUEST_LV_0100_20150317_000076	Why did you bring this report without Alan coming?{nl}Are you a new recruit or something?	알란은 안오고 왜 자네가 정찰 보고서를 들고 오는 건가?{nl}신병인가?
QUEST_LV_0100_20150317_000077	I can return home after Gaigalas is defeated.{nl}Well, I'd like to go home as soon as possible.	가이갈라스를 잡아야 집에 돌아갈텐데.{nl}아, 그냥 빨리 집에 가고 싶다.
QUEST_LV_0100_20150317_000078	Commander Wallace is at Bird Footprint Junction.	월리스님은 새발자국 삼거리에 계셔.
QUEST_LV_0100_20150317_000079	I don't care how good you are. You are new here.{nl}This is an order. Bring me some sap from Kepa Raiders.	누가 뭐라 해도 자넨 신병이야.{nl}명령이다. 케파레이더의 즙을 가져오게.
QUEST_LV_0100_20150317_000080	Soldiers these days, they lack guts.{nl}I hope you'll be a good influence to them.	요즘 녀석들은 배짱이 없어. {nl}자네같은 신병이 좋은 기폭제가 되었으면 좋겠군.
QUEST_LV_0100_20150317_000081	It's clear that we will win this battle.{nl}Why? Because the Owls are helping.	이번 전투는 무조건 우리의 승리일게 분명해.{nl}왜냐고? 부엉이들이 돕겠다고 했거든.
QUEST_LV_0100_20150317_000082	Kepa Raiders are near Ianutis Waterfall.{nl}To defeat Gaigalas, we will surely need them.	케파레이더는 이아너티스 폭포 근처에 있다.{nl}가이갈라스를 공략하려면 그게 꼭 필요해.
QUEST_LV_0100_20150317_000083	Soldier Weiz	병사 와이즈
QUEST_LV_0100_20150317_000084	Hey, rookie, are you on a break?{nl}Get some fat from Duckys in Lengvas Garden.	신병이 지금 놀고있는 건가?{nl}렝바스 정원의 더키에게서 기름을 구해와.
QUEST_LV_0100_20150317_000085	We will lure Gaigalas using Ducky Fat.{nl}Hey rookie, don't loaf around, alright?	더키 기름으로 가이갈라스를 유인할 거다.{nl}신병, 놀지 마라.
QUEST_LV_0100_20150317_000086	Today will be the last day for Gaigalas.{nl}Are you ready, rookie?	오늘이 가이갈라스의 마지막 날이 될 거다.{nl}신병, 준비 됬나?
QUEST_LV_0100_20150317_000087	Next, we will get leather from Cronewts in Lengvas Garden.{nl}Hurry, soldier.	다음은 렝바스 정원에 사는 크로뉴트의 가죽이다.{nl}빨리 움직여, 신병.
QUEST_LV_0100_20150317_000088	We will win for sure this time.{nl}The goddesses are on our side.	이번엔 반드시 승리할거야.{nl}여신께서 우릴 도우고 계신 게 틀림없으니까.
QUEST_LV_0100_20150317_000089	You are pretty good for a rookie.{nl}It's disorganized here at the moment, so you can keep those ingredients for now.{nl}	신병치곤 훌륭하군.{nl}지금은 어수선하니 그 재료들은 일단 자네가 보관하라.{nl}
QUEST_LV_0100_20150317_000090	Get to know our soldiers while I make preparations for the battle.{nl}I will call you before we confront Gaigalas.	전투 준비를 하는 동안 자넨 우리 병사들과 인사라도 하는 게 좋겠군.{nl}가이갈라스와 붙기 전에 부르도록 하지.
QUEST_LV_0100_20150317_000091	When we burn the Ducky Fat, Gaigalas will appear after smelling the odor.{nl}Lengvas Garden will be a good place to burn it.	더키 기름을 태우면 가이갈라스가 그 냄새를 맡고 기어 나올거다.{nl}렝바스 정원이 적당하겠어.
QUEST_LV_0100_20150317_000092	My heart is pounding.{nl}I feel like my soul is throbbing with it.	가슴이 마구 떨려오는군.{nl}영혼이 마구 고동치는 느낌이야.
QUEST_LV_0100_20150317_000093	Old Owl Sculpture	오래된 부엉이 조각상
QUEST_LV_0100_20150317_000094	There is no one in this forest. Why are you here?{nl}	아무도 없는 숲에 어쩐 일이신가요?{nl}
QUEST_LV_0100_20150317_000095	Gaigalas?{nl}Defeating it without any assistance will be difficult.	가이갈라스요?{nl}그냥 쓰러뜨리려면 힘들텐데요.
QUEST_LV_0100_20150317_000096	I have seen many deaths here.{nl}And I don't want to see any more sacrifices.	여기서 너무나도 많은 죽음을 보았어요.{nl}더 이상의 희생은 보고싶지 않아요.
QUEST_LV_0100_20150317_000097	I need Kepa Raider Sap and Cronewt Leather.	이제 케파레이더의 즙과 크로뉴트의 가죽이 필요해요.{nl}
QUEST_LV_0100_20150317_000098	Why do you have that?{nl}Hand it to me and I will make a Memory Fragment.	왜 그걸 가지고 계신거죠?{nl}일단 제게 주세요. 기억의 파편을 만들게요.
QUEST_LV_0100_20150317_000099	With this Memory Fragment, I will revive the memories of our sleeping comrades.	이제 이 기억의 파편으로 잠든 동료들의 기억을 되살릴 거에요.
QUEST_LV_0100_20150317_000100	It will be difficult to defeat it without a Memory Fragment.{nl}Please bring me Infro Holder Horns.	기억의 파편 없이는 쓰러뜨리기 힘들어요.{nl}인프로홀더의 뿔을 가져오세요.
QUEST_LV_0100_20150317_000101	How come you have all these ingredients?	그런데 어째서 그 재료들을 가지고 있죠?
QUEST_LV_0100_20150317_000102	Those are people who are already gone from this world. {nl}They are repeating what happened back then because of their anger for Gaigalas.	그들은 이미 이 세상에 없는 사람들이에요.{nl}가이갈라스에 대한 원한으로 그 때의 일을 계속 반복하고 있군요.{nl}
QUEST_LV_0100_20150317_000103	We can calm them if we defeat Gaigalas.{nl}Please go see the Worrying Owl.	가이갈라스를 처치하면 그들을 달랠 수 있어요.{nl}걱정하는 부엉이에게 가세요.
QUEST_LV_0100_20150317_000104	Worrying Owl Sculpture	걱정하는 부엉이 조각상
QUEST_LV_0100_20150317_000105	Please help me wake my sleeping comrades and complete the magic of that day.{nl}With the Memory Fragment.	잠들어 있는 동료들을 깨워 그 날의 마법을 완성시킬 수 있도록 도와주세요.{nl}기억의 파편으로요.
QUEST_LV_0100_20150317_000106	They may become satiated.{nl}I will stand here while remembering my comrades.	동료들도 만족할 거예요.{nl}저는 동료들을 기억하며 이곳에 계속 서 있겠지요.
QUEST_LV_0100_20150317_000107	You will find Gaigalas when you go to Ishimtini Access Way.{nl}Please avenge the fallen soldiers.	이제 이쉼티니 진입로로 가시면 가이갈라스를 찾을 수 있어요.{nl}병사들의 원한을 반드시 풀어주세요.
QUEST_LV_0100_20150317_000108	I was in an isolated place so I did not fall asleep.{nl}But, watching it all was painful for me.	저는 외진 곳에 있었기 때문에 잠들지 않았어요.{nl}하지만 그걸 전부 지켜 보는 건 너무 괴로웠어요.
QUEST_LV_0100_20150317_000109	My comrades were attacked while they were trying to help the soldiers.	제 동료들은 병사들을 도와주려던 찰나 당하고 말았어요.{nl}만약 그 때 동료들을 지켰다면, 가이갈라스를 약화시킬 마법이 완성되었겠죠.
QUEST_LV_0100_20150317_000110	(Jonas recovered awareness after drinking the medicine.)	약을 빼앗아 벌컥벌컥 마시는 요나스의 몸에 뭔가 반응이 있는 것 같다.
QUEST_LV_0100_20150317_000111	Archaeologist Dezic	고고학자 데지크
QUEST_LV_0100_20150317_000112	I am looking for my assistant named Airine.{nl}Can you defeat the monsters nearby so I can go look for her?	아이리네라고, 사라진 조수를 찾고 있소. {nl}내가 그녀를 찾으러 갈 수 있도록 주변의 몬스터를 없애 줄 수 있겠소?
QUEST_LV_0100_20150317_000113	I told her not to get excited even if she finds something.{nl}And yet she did it again.	뭘 발견해도 흥분하지 말라고 단단히 일러 두었건만.{nl}또 저질렀군.
QUEST_LV_0100_20150317_000114	Thanks.{nl}I'll go look for Airine.	고맙소.{nl}난 빨리 아이리네를 찾으러 먼저 가보겠소.
QUEST_LV_0100_20150317_000115	Technician Heinen	기술자 하이넨
QUEST_LV_0100_20150317_000116	}This cable car can only be ridden by those with a permit. I'm afraid I have to tell you to turn back {nl}towards Vienesa Highlands.	이 케이블카는 허가를 받아야 이용할 수 있어.{nl}미안하지만 비에니사 고원 쪽으로 돌아가게.{nl}
QUEST_LV_0100_20150317_000117	However, if you defeat the troublesome monsters around this area, I'll think about it.	하지만 주변의 성가신 몬스터를 없애 준다면 생각해 보지.
QUEST_LV_0100_20150317_000118	}Isn't it better to use the cable car rather than getting injured passing through the monsters? {nl}Of course, this is if you can ride the cable car.	위험한 몬스터들을 해치고 지나가느니 케이블카를 이용하는 게 더 나을거야.{nl}물론 케이블카를 탈 수 있을 때의 얘기지만.
QUEST_LV_0100_20150317_000119	Much better than I expected.{nl}I want to propose a deal to you.	생각보다 괜찮은 실력이야.{nl}거래를 제안하고 싶군.
QUEST_LV_0100_20150317_000120	I'll let you keep using the cable car if you destroy the strange seal at Nutoles Cliff.{nl}The monsters seem to be increasing in numbers because of that seal.	누오토리 절벽의 이상한 결계를 부숴준다면 케이블카를 계속 이용하게 해 주지.{nl}그 결계때문에 몬스터가 자꾸 늘어나거든.
QUEST_LV_0100_20150317_000121	As promised, you can use the cable car as much as you want.{nl}Just tell William over there or Cyneburg on the other side that I gave my permission.	결계가 부서졌으니 약속대로 케이블카는 마음껏 이용하게.{nl}내 옆의 윌리엄이나 반대편의 캔버그에게 내 이름을 대면 될 거야.
QUEST_LV_0100_20150317_000122	That barrier... Hmm. When exactly did it form?{nl}I know it has been there for quite some time now, but I can't remember for how long exactly.	그 결계는.. 어라. 언제 만들어 진 거지?{nl}언젠가부터 있던건데 기억이 잘 안 나네.{nl}
QUEST_LV_0100_20150317_000123	I am certain that barrier was responsible for the increasing number of monsters lately.{nl}	하여간 그 결계 때문에 몬스터가 늘어나는 건 확실해.{nl}
QUEST_LV_0100_20150317_000124	We don't have many soldiers guarding this area.{nl}Who in their right mind would come here in this day and age?{nl}	여길 지켜 줄 병사가 너무 적어서 그래. {nl}요즘 같은 시대에 누가 이런 위험한 곳에 오려 하겠어?{nl}
QUEST_LV_0100_20150317_000125	Rolandas Jonas	롤란다스 요나스
QUEST_LV_0100_20150317_000126	No one knows what the Great King Zachariel tried to protect.{nl}And I'm sure that we're not the only ones who want to solve that mystery.	자카리엘 대왕이 무얼 지키고 싶어 한 건진 아무도 몰라.{nl}확실한 건 그 비밀을 풀고 싶은 게 우리 인간 뿐만은 아니라는 거야.
QUEST_LV_0100_20150317_000127	Hurry, use the Great King's Key to release the seals.{nl}You should know what to do next afterwards.	어서 대왕의 열쇠로 돌다리 망터의 모든 봉인들을 풀게.{nl}그 후엔 무엇을 해야 할지 스스로 알게 될 게다.
QUEST_LV_0100_20150317_000128	I found Airine, but I don't know how to rescue her.{nl}She is imprisoned in Rodoma 2nd Ruins, I can't rescue her myself...	아이리네는 찾았지만 구해낼 방도가 없소.{nl}로도마 제2 유적지의 이상한 결계에 묶여 있는데 내 힘으론 도저히..
QUEST_LV_0100_20150317_000129	Assistant Airine	조수 아이리네
QUEST_LV_0100_20150317_000130	I can't move because of the barrier.{nl}Please break the three barriers in Rodoma Ruins.	결계 때문에 꼼짝을 못하겠어요.{nl}어서 로도마 유적지에 있는 세 개의 결계 좀 어떻게 해주세요.
QUEST_LV_0100_20150317_000131	Are you not done yet? Ah, geez...	아직인가요? 아이 참..
QUEST_LV_0100_20150317_000132	I didn't expect that I would be taken into this kind of thing.{nl}Oh, the mess I caused from chasing that boy.	이런 거에 걸릴 줄 제가 알았겠어요?{nl}어휴, 그 남자를 쫓아갔다가 이게 뭐람.
QUEST_LV_0100_20150317_000133	Mercenary Glen	용병 글렌
QUEST_LV_0100_20150317_000134	So many researchers are disappearing these days.{nl}I'm trying to find clues by defeating some Sauga. Can you help us?	최근 연구원 실종 사건이 번번히 일어나고 있습니다.{nl}사우가를 잡아 단서를 찾아 볼까 하는데 도와주실 수 있을까요?
QUEST_LV_0100_20150317_000135	The Saugas split their loot fairly among themselves.{nl}Maybe we can find some clues from them.	사우가들은 전리품을 공평하게 나눠갖지요.{nl}그 안에서 실종의 실마리를 찾을 수 있을런지.
QUEST_LV_0100_20150317_000136	Fortunately they are very old.{nl}So that means these cases are not due to monsters.	다행히 아주 오래 전의 것이로군요.{nl}그렇다면 몬스터에 의한 건 아니라는 건가.
QUEST_LV_0100_20150317_000137	This place is very dangerous; many have gone missing due to monsters or missteps.{nl}However, that is not what interests me.{nl}	워낙 위험한 곳이다보니 실족이나 몬스터에 의해서 실종되는 일은 번번하지요.{nl}하지만 제가 찾는 건 그게 아니에요.{nl}
QUEST_LV_0100_20150317_000138	When those people disappeared, no one close to them noticed.{nl}It's as if memories about those who disappeared are erased. Interesting, isn't it?{nl}	가끔 어떤 사람들은 실종되어도 다른 분들은 눈치채지 못하는 경우가 있거든요.{nl}마치 기억이 지워진 것 처럼요. 이상하죠?{nl}
QUEST_LV_0100_20150317_000139	Please defeat all monsters nearby to prevent anything from happening.{nl}There were reports that the monsters at the 1st Architects' Site had turned violent.	그래도 혹시 모르니 이 주변의 몬스터 처치를 부탁드리겠습니다.{nl}로도마 제1 유적지의 몬스터가 난폭하게 변했다는 보고도 있었거든요.
