ITEM_20150317_000001	no_helmet
ITEM_20150317_000121	Delete schedule
ITEM_20150317_000122	Two-Handed Sword [Slash]
ITEM_20150317_000123	Dunkel Bastard Sword
ITEM_20150317_000124	Some of master craftsmen and swordman said this sword is a basic two hand sword of mixed-mode. Because seflf comfort is important.
ITEM_20150317_000125	Flamberge
ITEM_20150317_000126	If you are familar with two hand sword then You can make major damage with a undulant blade.
ITEM_20150317_000127	Nodachi
ITEM_20150317_000128	The proper lenght of Nodachi is increaing the slash power and dominating the distance between the enemy.
ITEM_20150317_000129	Claymore
ITEM_20150317_000130	Claymore of our kingdom will be created with an emphasis on weight and power.
ITEM_20150317_000131	Colossus
ITEM_20150317_000132	Fan shape is incresing the power, It is likely to be applied to a variety of skils.
ITEM_20150317_000133	Caliburn
ITEM_20150317_000134	This sword is patronized by high rank sworman relatively.
ITEM_20150317_000135	Quaddara
ITEM_20150317_000136	This sword is two hand base unlike the seemingly appearance, It is patronized by swordman pursing practicality.
ITEM_20150317_000137	Light Claymore
ITEM_20150317_000138	It is possible to attack the enemy take by utilizing the structure of blade.
ITEM_20150317_000139	Rough Colossus
ITEM_20150317_000140	Ilwoon
ITEM_20150317_000141	Initially, Great Ruklys also used this sword.
ITEM_20150317_000142	Practice Bastard Sword
ITEM_20150317_000143	Bastard Sword
ITEM_20150317_000144	Heavy Flamberge
ITEM_20150317_000145	Heavy Nodachi
ITEM_20150317_000146	Heavy Claymore
ITEM_20150317_000147	Dunkel Nodachi
ITEM_20150317_000148	Dunkel Quaddara
ITEM_20150317_000149	Dunkel Flamberge
ITEM_20150317_000150	Dunkel Claymore
ITEM_20150317_000151	Great Sword
ITEM_20150317_000152	Katzbalger
ITEM_20150317_000153	Dress Sword
ITEM_20150317_000154	Zweihander
ITEM_20150317_000155	Executioner's Sword
ITEM_20150317_000156	Lumai Two-Handed Sword
ITEM_20150317_000157	Over Knife
ITEM_20150317_000158	Potentia
ITEM_20150317_000159	If you are not satisfied with mediocre Flamberge, this will be a good choice.
ITEM_20150317_000160	Temsus Flamberge
ITEM_20150317_000161	In addition to your potential, it is a weapon that there is a chance for significant improvement. Please try the possibility.
ITEM_20150317_000162	Didel Colossus
ITEM_20150317_000163	If you want to attack with more heavier, more strongly then this sword will help.
ITEM_20150317_000164	Collecture
ITEM_20150317_000165	It is often used after the plant disasters, and before that, the nature of this sword was the collection and decoration
ITEM_20150317_000166	Hogma Great Sword
ITEM_20150317_000167	It does not matter Hogama where they obtain or create these weapons. It is important we will use and manufacutre it.
ITEM_20150317_000168	Cheminis Bastard Sword
ITEM_20150317_000169	Winter spoon family has released the recipe of this sword to all of Alchemist against the plant disaster.
ITEM_20150317_000170	Primaluce
ITEM_20150317_000171	This sword is selected by wanted to use powerful weapons for first magic sword.
ITEM_20150317_000172	Kindzal
ITEM_20150317_000173	Sworodman who like to train own weapon is to create and use this sword.
ITEM_20150317_000174	Imperni Two-Handed Sword
ITEM_20150317_000175	If you got this sword using the black market, then It is an evidence that was obtained certain trust.
ITEM_20150317_000176	Freebeulranda 
ITEM_20150317_000177	Craftsman who devised the recipe of this sword is the same as the manufacturer of Primaluce.
ITEM_20150317_000178	Lapis Katzbalger
ITEM_20150317_000179	The way to strengthen the Katzbalger is not yet 100 years old. So the recipe of this sword is not irrelevant with Rukliss
ITEM_20150317_000180	Smith Two-Handeded Sword
ITEM_20150317_000181	The climate not considering the stability of the weapons has increased after Goddess day.
ITEM_20150317_000182	Klavis Two-Handed Sword
ITEM_20150317_000183	It can be reliable extension of your both bands.
ITEM_20150317_000184	Thresh Two-Handed Sword
ITEM_20150317_000185	Sestas Two-Handed Sword
ITEM_20150317_000186	Drat Two-Handed Sword
ITEM_20150317_000187	Aston Two-Handed Sword
ITEM_20150317_000188	Debby Two-Handed Sword
ITEM_20150317_000189	Prima Two-Handed Sword
ITEM_20150317_000190	Flamini
ITEM_20150317_000191	It is a good sword that seemed to soldiers of the necessities to stand against the Demons since a long time ago.
ITEM_20150317_000192	Wizard Slayer
ITEM_20150317_000193	Wizard does not pay the attention to this sword. However, Much experience wizard of battle is surely pay the attention.
ITEM_20150317_000194	Two-Handed Sword [Strike]
ITEM_20150317_000195	Naktis as a single sword flew out from among the midnight darkness will an unexpected blow.
ITEM_20150317_000196	Lucyduce
ITEM_20150317_000197	Although some people said it was just axe to cut the wood, but the user said if there is no this sword, the plant disaster has led to more extensive damage.
ITEM_20150317_000198	Hell End Heaven
ITEM_20150317_000199	Attack is that best defense. In this sword, please prove that fact.
ITEM_20150317_000200	Deathweaver Tooth
ITEM_20150317_000201	It is not created by using the acutal Deathweaver body.
ITEM_20150317_000202	Chappration Two-Hand Sword
ITEM_20150317_000203	Sometimes, That came out from the origin with no entity provides a large strength. The thing came out from no volume is sometimes able to subded a big thing.
ITEM_20150317_000204	Nulis
ITEM_20150317_000205	It is able to make a quite strong power to not exist things between Day and Night.
ITEM_20150317_000206	Gravity
ITEM_20150317_000207	It is difficult to avoid the gravity, no matter where you are or whomever. However, if adaptation to gravity, Anyony can't igore the effect.
ITEM_20150317_000208	Rough Short Rod
ITEM_20150317_000209	Rod [Strike]
ITEM_20150317_000210	Weapon for beginners who learn magic.
ITEM_20150317_000211	Short Rod
ITEM_20150317_000212	Change to weapons like this after beginner stage.
ITEM_20150317_000213	Low Long Rod
ITEM_20150317_000214	Decoration applied to the equipment of the wizard has a sense of more than just decoration.
ITEM_20150317_000215	Low Cane Rover
ITEM_20150317_000216	The Rod that famous wizard shaved painstakingly is what put the mysterious power.
ITEM_20150317_000217	Cane
ITEM_20150317_000218	The way to meat for oneself is available to add the decoration even the rod not shaved.
ITEM_20150317_000219	Crook
ITEM_20150317_000220	According to the legend, The bad wizard used it first.
ITEM_20150317_000221	Puter Rod
ITEM_20150317_000222	It is the prevalent equipment between once ambitious young wizard.
ITEM_20150317_000223	Owl Rod
ITEM_20150317_000224	It seems have a decoration for whom Experieced wizard.
ITEM_20150317_000225	Rune Rod
ITEM_20150317_000226	Magic Rune is used to enhance the power of the rod.
ITEM_20150317_000227	Crystal Rod
ITEM_20150317_000228	It is a device that exact combination and jewel to save the magic power is required.
ITEM_20150317_000229	Rough Puter Rod
ITEM_20150317_000230	Rough Owl Rod
ITEM_20150317_000231	Soldier's Short Rod
ITEM_20150317_000232	It's a equipmet for people who is already wizard and trying to apply the military service. The procedure was gone after the plant disaster, but the quantity is still enough.
ITEM_20150317_000233	Long Rod of the town mayor
ITEM_20150317_000234	This is a old form that was popular before. It is old-fashioned, but performance is not bad.
ITEM_20150317_000235	Rough Cane Rover
ITEM_20150317_000236	Battle Rod
ITEM_20150317_000237	It is created not only subsidize of magic but also support of the other combat.
ITEM_20150317_000238	Heavy Short Rod
ITEM_20150317_000239	Long Rod
ITEM_20150317_000240	Heavy Long Rod
ITEM_20150317_000241	Kane Rover
ITEM_20150317_000242	Heavy Cane
ITEM_20150317_000243	Heavy Crook
ITEM_20150317_000244	Heavy Puter Rod
ITEM_20150317_000245	Dunkel Crook
ITEM_20150317_000246	Dunkel Crystal Rod
ITEM_20150317_000247	Dunkel Long Rod
ITEM_20150317_000248	Dunkel Kane Rover
ITEM_20150317_000249	Dunkel Cane
ITEM_20150317_000250	Dunkel Puter Rod
ITEM_20150317_000251	Snake Rod
ITEM_20150317_000252	Alter Rod
ITEM_20150317_000253	Nald Rod
ITEM_20150317_000254	Elder Rod
ITEM_20150317_000255	Meteor Rod
ITEM_20150317_000256	Ring Rod
ITEM_20150317_000257	Servant Rod
ITEM_20150317_000258	Panto Rod
ITEM_20150317_000259	Wizard found the new facts from monsters since the plant disater. And They are using it.
ITEM_20150317_000260	Ice Rod
ITEM_20150317_000261	According to the rumor, When the recipe of this rod is sell then the money will be paid to Cryomancer master.
ITEM_20150317_000262	Fire Rod
ITEM_20150317_000263	Pyromancer master only people who know the way to input the power of Goddess Gabia intto all rod.
ITEM_20150317_000264	Vasia Rod
ITEM_20150317_000265	Priest thought, Wizard does not like the work to deal with the sold in this manufacturing operation. but the wizard does not care.
ITEM_20150317_000266	Magic Rod
ITEM_20150317_000267	It's a enhanced magic rod even novice wizard can create it easily.
ITEM_20150317_000268	Grinas Rod
ITEM_20150317_000269	the demons is increased after the plant disaster, the demand for this rod is increasing and the original expensive price is now even higher.
ITEM_20150317_000270	Chemins Rod
ITEM_20150317_000271	Unlike the same name of the other equipment, this is not directly related to the Winter spoon family.
ITEM_20150317_000272	Arch Rod
ITEM_20150317_000273	It is a device that the wizard who want to reach the more high level frequently used. You can use other equipement to reach the goal with a high intelligent.
ITEM_20150317_000274	Imperni Rod
ITEM_20150317_000275	It is a device wizard in order to pursue individuality favorite.
ITEM_20150317_000276	Long Rod of Aras
ITEM_20150317_000277	Thanks to the appropriate price, it is one of the articles that are frequently replaced as a simple gift among the wizard.
ITEM_20150317_000278	Smith Rod
ITEM_20150317_000279	Unexpectedness of this device is not affected by the user.
ITEM_20150317_000280	Klavis Rod
ITEM_20150317_000281	I hope that you will be the first historical user to use it.
ITEM_20150317_000282	Dio Rod
ITEM_20150317_000283	Thresh Rod
ITEM_20150317_000284	Sestas Rod
ITEM_20150317_000285	Drat Rod
ITEM_20150317_000286	Aston Rod
ITEM_20150317_000287	Debby Rod
ITEM_20150317_000288	Prima Rod
ITEM_20150317_000289	Temere
ITEM_20150317_000290	Nickname of this rod is the rod of patience. According to the legend, it is said was designed the best magician Agailla Flurry to guide the disciples.
ITEM_20150317_000291	Ignition
ITEM_20150317_000292	Pyromancer master is trying to mitigate the confilcating part of this Rod, but it is still not progress.
ITEM_20150317_000293	Secretum
ITEM_20150317_000294	This is the only weapon for the wizard. Therefore, the wizard, the disadvantage of this rod is usually ignored.
ITEM_20150317_000295	Deathweaver Rod
ITEM_20150317_000296	This equipment has the power of the death weaver.
ITEM_20150317_000297	Chappartion Rod
ITEM_20150317_000298	Zaima
ITEM_20150317_000299	The reason that Recipe price of this rod is high is the strongly request of Cryomancer master.
ITEM_20150317_000300	Epos
ITEM_20150317_000301	This rod was made uisng the best magic study a long time ago. Therefore, It is impossible to add someting technology to this equipment.
ITEM_20150317_000302	Shiny Rod
ITEM_20150317_000303	You can see the always shining star.
ITEM_20150317_000304	no_weapon_THBow
ITEM_20150317_000305	Shabby Light Bow
ITEM_20150317_000306	Bow [Sting]
ITEM_20150317_000307	It is a simple bow that can be made at home.
ITEM_20150317_000308	Light Bow
ITEM_20150317_000309	Many people in the noble territory and a lot of place create and use.
ITEM_20150317_000310	Low Short Bow
ITEM_20150317_000311	It is for beginners, but some of Archer are stick to use it afer become skillful.
ITEM_20150317_000312	Low Long Bow
ITEM_20150317_000313	Small distance might decide between life and death. Also is a good choice Long bow If you want a little long range distance.
ITEM_20150317_000314	Composite Bow
ITEM_20150317_000315	This bow is enhanced esasticity by applying more material.
ITEM_20150317_000316	Self Bow
ITEM_20150317_000317	It is meaning the attitude of Archer swear the training that cut their own bone. 
ITEM_20150317_000318	Rokas Bow
ITEM_20150317_000319	It is predicted that the name is decided with along the birthplace of the person who devised the first time this bow.
ITEM_20150317_000320	Goritos
ITEM_20150317_000321	It is a bow that cavalry is favorite.
ITEM_20150317_000322	Gulyle
ITEM_20150317_000323	It is a bow that has been recorded in history as the first case using the magic in the manufacture of bow. It has also been steadily produced since.
ITEM_20150317_000324	Karman
ITEM_20150317_000325	Some Archer who confidence in muscle strength is like such a powerful remodeling.
ITEM_20150317_000326	Rough Rokas Bow
ITEM_20150317_000327	Rough Goritos
ITEM_20150317_000328	Soldier's Light Bow
ITEM_20150317_000329	It is called that refer to the bow that has been manufactured in accordance with the regular army minimum standard.
ITEM_20150317_000330	Mayoy's Short Bow
ITEM_20150317_000331	You can see the ruins of the effort to solve that combines the daily line. It has been good managed than the years.
ITEM_20150317_000332	Rough Long Bow
ITEM_20150317_000333	Gendawa
ITEM_20150317_000334	This bow is the best rank bow among not using magic study process.
ITEM_20150317_000335	Heavy Light Bow
ITEM_20150317_000336	Short Bow
ITEM_20150317_000337	Heavy Short Bow
ITEM_20150317_000338	Long Bow
ITEM_20150317_000339	Heavy Composite Bow
ITEM_20150317_000340	Heavy Self Bow
ITEM_20150317_000341	Heavy Rokas Bow
ITEM_20150317_000342	Dunkel Self Bow
ITEM_20150317_000343	Dunkel Karman
ITEM_20150317_000344	Dunkel Short Bow
ITEM_20150317_000345	Dunkel Long Bow
ITEM_20150317_000346	Dunkel Composite Bow
ITEM_20150317_000347	Dunkel Rocas Bow
ITEM_20150317_000348	Recurve Bow
ITEM_20150317_000349	Seize Bow
ITEM_20150317_000350	Sniper Bow
ITEM_20150317_000351	Skull Bow
ITEM_20150317_000352	Wooden Compound Bow
ITEM_20150317_000353	Tag Bow
ITEM_20150317_000354	Rog Bow
ITEM_20150317_000355	Seeker
ITEM_20150317_000356	This bow is previously used that Hunter had been favorite, It is more useful after plant disaster.
ITEM_20150317_000357	Iron Bow
ITEM_20150317_000358	The aiming was excellent and often give unexpected damage to the enemy.
ITEM_20150317_000359	Hook Bow
ITEM_20150317_000360	Sometimes Selfbow made of any Bone occurs even when there is no synergy with the gold.
ITEM_20150317_000361	Cheminisis Bow
ITEM_20150317_000362	The name was attached since thanks to the features that agility is good.
ITEM_20150317_000363	Hunting Bow
ITEM_20150317_000364	There is only theory that alchemy application of the bow system, there is a tendency that has been produced by many recently required.
ITEM_20150317_000365	Maker Bow
ITEM_20150317_000366	Previously Hunter who have a spacious was purchased. Due to current situation is bad, so everyone who has enough money will buy or create.
ITEM_20150317_000367	Savage Bow
ITEM_20150317_000368	This bow has been many manufacturing since the plant disaster and the demand for advancde bow is increasing.
ITEM_20150317_000369	Snake Bow
ITEM_20150317_000370	Whatever muscle strength is strong and weak, this bow can be a good choice. You have to become supplement if you feel lack the powerful.
ITEM_20150317_000371	Imperni Bow
ITEM_20150317_000372	It is possible to sharp attack like the name of bow.
ITEM_20150317_000373	Lethena Bow
ITEM_20150317_000374	You can feel the feelings that hunting the heavy weight monsters with heavy bow.
ITEM_20150317_000375	Strong Bow
ITEM_20150317_000376	Production is not easy, but This weapon has a worth it.
ITEM_20150317_000377	Arras's Short Bow
ITEM_20150317_000378	It is a weapon that is people who get the first of the magic of the bow to buy mainly.
ITEM_20150317_000379	Pully Bow
ITEM_20150317_000380	Smith Bow
ITEM_20150317_000381	If there is no other bow, please buy it to hope that good luck.
ITEM_20150317_000382	Klavis Bow
ITEM_20150317_000383	Even It is a magic bow and listen to the poor assessment, some user may significantly use.
ITEM_20150317_000384	Dio Bow
ITEM_20150317_000385	Tresh Bow
ITEM_20150317_000386	Sestas Bow
ITEM_20150317_000387	Drat Bow
ITEM_20150317_000388	Aston Bow
ITEM_20150317_000389	Debby Bow
ITEM_20150317_000390	Prima Bow
ITEM_20150317_000391	Wildling Bane
ITEM_20150317_000392	It may sound strange, previously plant disaster, hunters do not use this bow well. If defeat the beast, the beast should be too damage.
ITEM_20150317_000393	Equalizer
ITEM_20150317_000394	There are high Archer of pride who do not want any value other than your own ability. It is the perfect bow to them.
ITEM_20150317_000395	Heart Seeker
ITEM_20150317_000396	The curse applied this bow has changed to both side due to unknow reason. but Archer is still selecting this bow with the advantage of the bow.
ITEM_20150317_000397	Viper
ITEM_20150317_000398	Because It has too strong poison, so users also endure the damage.
ITEM_20150317_000399	Deathweaver Bow
ITEM_20150317_000400	Please this bow find the death of the your enemies.
ITEM_20150317_000401	Chapparition Bow
ITEM_20150317_000402	Some words have been written. West and the vertical, shoulder put, To shoot like pull the bow 
ITEM_20150317_000403	Blood Gain
ITEM_20150317_000404	By word, It was invented by Lidia Syapen. Lidia Syapen waw favorite this bow in his lifetime, but he didn't leave the receipe of bow to star of tower and Syapen Star.
ITEM_20150317_000405	Tempest Shooter
ITEM_20150317_000406	This bow is recently invented by Archer masters to study together. It has contained the hope that deal with the plant disaster.
ITEM_20150317_000407	no_weapon_bow
ITEM_20150317_000408	Low Light Crossbow
ITEM_20150317_000409	Catapult [Sting]
ITEM_20150317_000410	Rather than attack power, it will be selected when you need to use other hand freely.
ITEM_20150317_000411	Low Crossbow
ITEM_20150317_000412	Recently crossbow is made of various materials. Percentage of monsters by-product will be higher.
ITEM_20150317_000413	Dokyu
ITEM_20150317_000414	This weapon is slightly useful for reload.
ITEM_20150317_000415	Quarrel Bow
ITEM_20150317_000416	Quarrel Shooter master is teaching beginners with it.
ITEM_20150317_000417	Oak Crossbow
ITEM_20150317_000418	It became difficult get a good tree after the plant disaster, but it does not yet difficult to manufacture.
ITEM_20150317_000419	Seal Crossbow
ITEM_20150317_000420	Sometimes, bone of monsters is expressed the curese so leave the seal.
ITEM_20150317_000421	Catapult
ITEM_20150317_000422	History which individuals have studied how to use the siege weapons will become stale. And the results will appear in this weapon.
ITEM_20150317_000423	Cranequine
ITEM_20150317_000424	Beginners can get a help to use equipment, the experienced person will be able to increase the power.
ITEM_20150317_000425	Rough Oak Crossbow
ITEM_20150317_000426	Rough Seal Crossbow
ITEM_20150317_000427	Sniper Crossbow
ITEM_20150317_000428	Assassin Evonipon as a notorious is frequently using, but benefits of weapon is also high.
ITEM_20150317_000429	Light Crossbow
ITEM_20150317_000430	Heavy Light Crossbow
ITEM_20150317_000431	Crossbow
ITEM_20150317_000432	Heavy Dokyu
ITEM_20150317_000433	Heavy Quarrel Bow
ITEM_20150317_000434	Heavy Oak Crossbow
ITEM_20150317_000435	Dunkel Quarrel Bow
ITEM_20150317_000436	Dunkel Cranequine
ITEM_20150317_000437	Dunkel Crossbow
ITEM_20150317_000438	Dunkel Dokyu
ITEM_20150317_000439	Dunkel Oak Crossbow
ITEM_20150317_000440	Avarest
ITEM_20150317_000441	Pemidian Turret
ITEM_20150317_000442	Bullet Shooter
ITEM_20150317_000443	Black Tip Bow
ITEM_20150317_000444	Spike Crossbow
ITEM_20150317_000445	Windless
ITEM_20150317_000446	Heavy Crossbow
ITEM_20150317_000447	Even It is a little heavy, The magic took the bow itself would be helpful.
ITEM_20150317_000448	Wide Crossbow
ITEM_20150317_000449	It is good catapult to a fetal damage if the aim is good.
ITEM_20150317_000450	Grand Cross
ITEM_20150317_000451	It is very popular for the Archer as the good performance and no weakness.
ITEM_20150317_000452	Cheminis Crossbow
ITEM_20150317_000453	The demand of weapons manufactured based on Alchemy was increased since plant disaster.
ITEM_20150317_000454	Medina Crossbow
ITEM_20150317_000455	It was made to meet the special purpose to target the well equipped enemy.
ITEM_20150317_000456	Regina crossbow
ITEM_20150317_000457	It can not be a catapult of Emperor, but it is the performance of the degree that will admit to be about the Queen.
ITEM_20150317_000458	Chaser
ITEM_20150317_000459	Archers who are activting at the bad ground condition like view and wind has been used.
ITEM_20150317_000460	Imperni Crossbow
ITEM_20150317_000461	There are rumors that the high maintenace cost on black market equipment is planned.
ITEM_20150317_000462	Grave Crossbow
ITEM_20150317_000463	If you have a idea to surely damage to enemy, then This catapult is recommended.
ITEM_20150317_000464	Smith Crossbow
ITEM_20150317_000465	You need to expect that how to give the damage to the enemy each time when you draw.
ITEM_20150317_000466	Klavis Crossbow
ITEM_20150317_000467	I hope to become the first person to expose the true value of this weapon.
ITEM_20150317_000468	Tresh Crossbow
ITEM_20150317_000469	Sestas Crossbow
ITEM_20150317_000470	Drat Crossbow
ITEM_20150317_000471	Aston crossbow
ITEM_20150317_000472	Debby Crossbow
ITEM_20150317_000473	Prima crossbow
ITEM_20150317_000474	Shooting Star
ITEM_20150317_000475	It was only able to use the shooter who finished the training process of star tower.
ITEM_20150317_000476	Katyn Blaster
ITEM_20150317_000477	Ranger master has developed an effective weapon to study the monster of carthin forest since the plant disaster. However, There is a recommendation do not use by anyone.
ITEM_20150317_000478	Grajus
ITEM_20150317_000479	It will be able to hunt the big monster with one hand crossbow? Here is the answer.
ITEM_20150317_000480	Deathweaver Crossbow
ITEM_20150317_000481	There is no Deathweaver weapon. It seems some of poor victim is the former owner.
ITEM_20150317_000482	Chapparition Shooter
ITEM_20150317_000483	This bow is enough to make the enough damage to beast.
ITEM_20150317_000484	Isbality
ITEM_20150317_000485	Lidia Syapen of the best archer in history is not hesitate to hunt the demon. However, Syapen star is not open the recipe to outside, so it is hard to get.
ITEM_20150317_000486	Morto
ITEM_20150317_000487	Evonipon has discard the weapons after tracking of Fiona Ieva, This recipe will be released. However, young people who believe that are sacrified by monsters.
ITEM_20150317_000488	no_weapon_mace
ITEM_20150317_000489	Rough Wooden Club
ITEM_20150317_000490	One-Handed Blunt [Strike]
ITEM_20150317_000491	It is a simple weapon for everyone.
ITEM_20150317_000492	Wooden Club
ITEM_20150317_000493	If priest take the normal trees, it may be a holy thing.
ITEM_20150317_000494	Dunkel Iron Club
ITEM_20150317_000495	You need like this weapons to replace the diciplinary action of Goddess.
ITEM_20150317_000496	Low Mace
ITEM_20150317_000497	You need to take like this so It will be witness that was escaped out of beginner.
ITEM_20150317_000498	Morningstar
ITEM_20150317_000499	It is referred to as the repentance of withdrawal in between the priest.
ITEM_20150317_000500	Mallet
ITEM_20150317_000501	Clever priest will attack in a variety of ways by using the decoration of the end.
ITEM_20150317_000502	Goedendag
ITEM_20150317_000503	If you meet the priest who can handle it well, then you would not say priest can't be skilled with the weapons.
ITEM_20150317_000504	Warpick
ITEM_20150317_000505	Blunt is difficult to hit the armor? Is there are exceptions.
ITEM_20150317_000506	Maul
ITEM_20150317_000507	Only those who were trained endlessly can endure the weight of the weapon.
ITEM_20150317_000508	Battle Hammer
ITEM_20150317_000509	Since the advent of monsters, Many changes in the appearance of the blunt began to appear.
