QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000044	You haven't seen him.{nl}Where is he now then. He is in his dotage.
QUEST_LV_0100_20150317_000045	Jonas is the descendent of the family that has been protecting this royal tomb.{nl}He is a very important person for our lab team so please take good care of him.
QUEST_LV_0100_20150317_000046	Archivist Jonas
QUEST_LV_0100_20150317_000047	Record officer Jonas
QUEST_LV_0100_20150317_000048	It is good to hear that Jonas regained his conciousness. {nl}You are the person who lifted the light signal right? {nl} 
QUEST_LV_0100_20150317_000049	Ahylas came after seeing the light.{nl}Meet him downstairs.
QUEST_LV_0100_20150317_000050	We haven't heard a news from Kepeck for a long time after sending him supplies.{nl}We don't have enough seach team so please help us.
QUEST_LV_0100_20150317_000051	Historian Beard
QUEST_LV_0100_20150317_000052	Always prepare for monsters' attacks.{nl}Especially, outside places like here.
QUEST_LV_0100_20150317_000053	Mercenary Mirta
QUEST_LV_0100_20150317_000054	I already warned you?{nl}Please be careful next time.
QUEST_LV_0100_20150317_000055	Historian Kepeck
QUEST_LV_0100_20150317_000056	Niels must have sent you.{nl}Well, if you are in a hurry, record it yourself and take it to Niels.
QUEST_LV_0100_20150317_000057	When you straight on the right road and cross the bridge, you will see the artifacts of the great king, Zachariel. {nl}Record them and take that to Niels.  He will understand.
QUEST_LV_0100_20150317_000058	So this is Kepeck's record.. Mercenary Mirta was looking for this.{nl}I am okay as long as I can confirm their safety. Thank you for your efforts.
QUEST_LV_0100_20150317_000059	Ahylas Jonas
QUEST_LV_0100_20150317_000060	With that stone that will unlock the seal, please go to the Broken Pillar Canyon.{nl}The disciples of Gustas will tell you how to unlock the seal in sequential orders. 
QUEST_LV_0100_20150317_000061	You haven't heard yet?{nl}You should meet the disciple of Gustas in the Broken Pillar Canyon.{nl}It was created to accept only the chosen ones.
QUEST_LV_0100_20150317_000062	Disciple of Gustas
QUEST_LV_0100_20150317_000063	Have you unlocked the seal of Pagasa cliff?{nl}It will start now.
QUEST_LV_0100_20150317_000064	Words carved into a rock
QUEST_LV_0100_20150317_000065	Do not touch or push it.
QUEST_LV_0100_20150317_000066	I was waiting for you.{nl}The next seal is located on the way to Broken Sanctum.
QUEST_LV_0100_20150317_000067	You won't know how eagerly we have waited for this moment.{nl}We really wanted to meet you.
QUEST_LV_0100_20150317_000068	Gustas Jonas
QUEST_LV_0100_20150317_000069	So it's you. {nl}You are much more of a man compared to what I had imagined.
QUEST_LV_0100_20150317_000070	Soldier Alan
QUEST_LV_0100_20150317_000071	You are a new soldier right?.{nl}I received a patrolling order, but I guess you can go on behalf of me.
QUEST_LV_0100_20150317_000072	You are good.{nl}I don't want to go there due to a horrible memory.
QUEST_LV_0100_20150317_000073	I am about to remember something..
QUEST_LV_0100_20150317_000074	You know that we are dispatched here to destroy Gaigalas right?{nl}Hey newcomer.  Can you take this report to the commander Wallis?
QUEST_LV_0100_20150317_000075	Commander Wallis
QUEST_LV_0100_20150317_000076	How come you brought this report instead of Alan?{nl}Are you a newcomer?
QUEST_LV_0100_20150317_000077	I can return home after we defeat Gaigalas.{nl}Ah, I want to just go home.
QUEST_LV_0100_20150317_000078	Wallis is at Three Footsteps.
QUEST_LV_0100_20150317_000079	I don't care how good you are. You are new here.{nl}It is an order. Bring some juice from Kepa Raiders.
QUEST_LV_0100_20150317_000080	Guys these days, they don't have guts. {nl}I hope you bring a good influence to them.
QUEST_LV_0100_20150317_000081	I am sure we will win this battle.{nl}Why? Owls told us that they will help us.
QUEST_LV_0100_20150317_000082	Kepa Raiders are near Ianutis Falls.{nl}To defeat Gaigalas, we really need that.
QUEST_LV_0100_20150317_000083	Soldier Weisz
QUEST_LV_0100_20150317_000084	Hey you are taking a rest?{nl}Get some oil from Duckey at Lanvas Garden.
QUEST_LV_0100_20150317_000085	We will lure Gaigalas using Ducky oil.{nl}Hey newcomer, don't loaf around.
QUEST_LV_0100_20150317_000086	Today will be the last day for Gaigalas.{nl}Necomer, are you ready?
QUEST_LV_0100_20150317_000087	Next, we will get the leather of Cronewt that lives in Lanvas Garden.{nl}Move fast, soldier.
QUEST_LV_0100_20150317_000088	We will win for sure this time.{nl}Since the goddesses are helping us.
QUEST_LV_0100_20150317_000089	You are good for a newcomer.{nl}It's disordered here at the moment so you keep those ingredients for now.{nl}
QUEST_LV_0100_20150317_000090	While I am preparing for a battle, get to know with our soldiers.{nl}I will call you before we confront Gaigalas.
QUEST_LV_0100_20150317_000091	When we burn Ducky oil, then Gaigalas will appear after smelling the odor from it.{nl}Lanvas Garden will be the good place to burn the oirl.
QUEST_LV_0100_20150317_000092	My heart is pounding.{nl}I feel like my spirit is shaking.
QUEST_LV_0100_20150317_000093	Statue of old owl
QUEST_LV_0100_20150317_000094	There's no one in this forest. Why are you here?{nl}
QUEST_LV_0100_20150317_000095	Gaigalas?{nl}It will be difficult to defeat it without anything.
QUEST_LV_0100_20150317_000096	I saw many deaths here.{nl}I don't want to see anymore sacrifices.
QUEST_LV_0100_20150317_000097	I need the juice from Kepa Raiders and the leather from Cronewt.
QUEST_LV_0100_20150317_000098	Why do you have that?{nl}Please hand it to me.  I will make Fragment of Memory.
QUEST_LV_0100_20150317_000099	I will revive the memories of our sleeping colleagues with this Fragment of Memory.
QUEST_LV_0100_20150317_000100	It will be difficult to defeat it without Fragment of Memory.{nl}Please bring the horn of Infroholder. 
QUEST_LV_0100_20150317_000101	
QUEST_LV_0100_20150317_000102	
QUEST_LV_0100_20150317_000103	
QUEST_LV_0100_20150317_000104	
QUEST_LV_0100_20150317_000105	
QUEST_LV_0100_20150317_000106	
QUEST_LV_0100_20150317_000107	
QUEST_LV_0100_20150317_000108	
QUEST_LV_0100_20150317_000109	
QUEST_LV_0100_20150317_000110	
QUEST_LV_0100_20150317_000111	Archaeologist Dezic
QUEST_LV_0100_20150317_000112	
QUEST_LV_0100_20150317_000113	
QUEST_LV_0100_20150317_000114	
QUEST_LV_0100_20150317_000115	Technician Heinen
QUEST_LV_0100_20150317_000116	Engineer Heinen
QUEST_LV_0100_20150317_000117	
QUEST_LV_0100_20150317_000118	
QUEST_LV_0100_20150317_000119	
QUEST_LV_0100_20150317_000120	
QUEST_LV_0100_20150317_000121	
QUEST_LV_0100_20150317_000122	
QUEST_LV_0100_20150317_000123	
QUEST_LV_0100_20150317_000124	
QUEST_LV_0100_20150317_000125	Rolandas Jonas
QUEST_LV_0100_20150317_000126	
QUEST_LV_0100_20150317_000127	
QUEST_LV_0100_20150317_000128	
QUEST_LV_0100_20150317_000129	
QUEST_LV_0100_20150317_000130	
QUEST_LV_0100_20150317_000131	
QUEST_LV_0100_20150317_000132	
QUEST_LV_0100_20150317_000133	Mercenary Glen
QUEST_LV_0100_20150317_000134	
QUEST_LV_0100_20150317_000135	
QUEST_LV_0100_20150317_000136	
QUEST_LV_0100_20150317_000137	
QUEST_LV_0100_20150317_000138	
QUEST_LV_0100_20150317_000139	
QUEST_LV_0100_20150317_000140	
QUEST_LV_0100_20150317_000141	
QUEST_LV_0100_20150317_000142	
QUEST_LV_0100_20150317_000143	
QUEST_LV_0100_20150317_000144	
QUEST_LV_0100_20150317_000145	
QUEST_LV_0100_20150317_000146	
QUEST_LV_0100_20150317_000147	
QUEST_LV_0100_20150317_000148	
QUEST_LV_0100_20150317_000149	
QUEST_LV_0100_20150317_000150	
QUEST_LV_0100_20150317_000151	
QUEST_LV_0100_20150317_000152	
QUEST_LV_0100_20150317_000153	
QUEST_LV_0100_20150317_000154	
QUEST_LV_0100_20150317_000155	
QUEST_LV_0100_20150317_000156	
QUEST_LV_0100_20150317_000157	
QUEST_LV_0100_20150317_000158	
QUEST_LV_0100_20150317_000159	
QUEST_LV_0100_20150317_000160	
QUEST_LV_0100_20150317_000161	
QUEST_LV_0100_20150317_000162	
QUEST_LV_0100_20150317_000163	
QUEST_LV_0100_20150317_000164	
QUEST_LV_0100_20150317_000165	
QUEST_LV_0100_20150317_000166	
QUEST_LV_0100_20150317_000167	
QUEST_LV_0100_20150317_000168	
QUEST_LV_0100_20150317_000169	
QUEST_LV_0100_20150317_000170	
QUEST_LV_0100_20150317_000171	
QUEST_LV_0100_20150317_000172	
QUEST_LV_0100_20150317_000173	
QUEST_LV_0100_20150317_000174	
QUEST_LV_0100_20150317_000175	
QUEST_LV_0100_20150317_000176	
QUEST_LV_0100_20150317_000177	
QUEST_LV_0100_20150317_000178	
QUEST_LV_0100_20150317_000179	
QUEST_LV_0100_20150317_000180	
QUEST_LV_0100_20150317_000181	
QUEST_LV_0100_20150317_000182	
QUEST_LV_0100_20150317_000183	
QUEST_LV_0100_20150317_000184	
QUEST_LV_0100_20150317_000185	
QUEST_LV_0100_20150317_000186	
QUEST_LV_0100_20150317_000187	
QUEST_LV_0100_20150317_000188	
QUEST_LV_0100_20150317_000189	
QUEST_LV_0100_20150317_000190	
QUEST_LV_0100_20150317_000191	
QUEST_LV_0100_20150317_000192	
QUEST_LV_0100_20150317_000193	
QUEST_LV_0100_20150317_000194	
QUEST_LV_0100_20150317_000195	
QUEST_LV_0100_20150317_000196	
QUEST_LV_0100_20150317_000197	
QUEST_LV_0100_20150317_000198	Vaidotas
QUEST_LV_0100_20150317_000199	The smell.. I think the purifying device in the mine is broken. {nl}We better repair it quickly. The people taken away might suffocate. 
QUEST_LV_0100_20150317_000200	Do you know the legend Cunningham? {nl} It's a legend about the great demon sealed here in the Crystal Mine. {nl} For more details, there is a book about it in the miners lounge of 2nd Gallery so try reading it. {nl}
QUEST_LV_0100_20150317_000201	Anyway, my guess is that the demon has re-awakening and controlling the Vubbes. {nl} The dream the bishop had and the legends of Cunningham ... l feel maybe it's a sign of something huge that's about to happen. {nl}
QUEST_LV_0100_20150317_000202	Only the Goddess would know if it's hope or despair. {nl}
QUEST_LV_0100_20150317_000203	The purifier be fixed easily by anyone but it may be hard to find the parts. {nl} In that case, use the compass that I gave you. {nl}
QUEST_LV_0100_20150317_000204	Well then, I have some other things to do so I will meet you in the 3rd Gallery. {nl} I wish for your fortune of war in the name of the Goddess .
QUEST_LV_0100_20150317_000205	If you can't repair the purifier, use the compass I gave you. {nl}You'll be able to find a way.
QUEST_LV_0100_20150317_000206	Village Aunt
QUEST_LV_0100_20150317_000207	Did you come to save us ? Did you?
QUEST_LV_0100_20150317_000208	
QUEST_LV_0100_20150317_000209	Village Girl
QUEST_LV_0100_20150317_000210	
QUEST_LV_0100_20150317_000211	
QUEST_LV_0100_20150317_000212	Mr. Juan
QUEST_LV_0100_20150317_000213	I feel mad whenever I see those Vubbes that ruined my hometown. {Nl} That's why I want to help people like you who fight againt the Vubbes.
QUEST_LV_0100_20150317_000214	I would have left already if this wasn't my hometown. {nl} Where on earth have all the Vubbes been hiding before they crawled out.
QUEST_LV_0100_20150317_000215	Pharmacist lady
QUEST_LV_0100_20150317_000216	
QUEST_LV_0100_20150317_000217	
QUEST_LV_0100_20150317_000218	Soldier Jays
QUEST_LV_0100_20150317_000219	
QUEST_LV_0100_20150317_000220	Even if the world changes, I will never forget the Vubbes.
QUEST_LV_0100_20150317_000221	Soldier Edgar
QUEST_LV_0100_20150317_000222	
QUEST_LV_0100_20150317_000223	
QUEST_LV_0100_20150317_000224	Knight Commander Uska
QUEST_LV_0100_20150317_000225	Is this slate the evidence of salvation? {nl} It just looks like an old slate to me.
QUEST_LV_0100_20150317_000226	1
QUEST_LV_0100_20150317_000227	You better ask Master Bokor about this slate. {Nl} She lives at the end of Klaipeda Residential Area so go pay her a visit.
QUEST_LV_0100_20150317_000228	Use your time wisely. {nl} No one can know everything about one's own future.
QUEST_LV_0100_20150317_000229	
QUEST_LV_0100_20150317_000230	I'm also curious about the girl who cracked the seal. {nl} This is not a seal that can easily be unsealed. 
QUEST_LV_0100_20150317_000231	
QUEST_LV_0100_20150317_000232	2
QUEST_LV_0100_20150317_000233	Miner's Village Mayor
QUEST_LV_0100_20150317_000234	Welcome. Aren't you our town's savior. {nl}
QUEST_LV_0100_20150317_000235	3
QUEST_LV_0100_20150317_000236	So this revelation is Goddess Laima and we have to collect all these for the Goddess to regain her powers? {nl} That is amazing.
QUEST_LV_0100_20150317_000237	Oh, please do not reveal the fact that the Revelator has been found unless absolutely necessary. {nl} It may only create confusion if the rumors spread. 
QUEST_LV_0100_20150317_000238	
QUEST_LV_0100_20150317_000239	
QUEST_LV_0100_20150317_000240	
QUEST_LV_0100_20150317_000241	
QUEST_LV_0100_20150317_000242	
QUEST_LV_0100_20150317_000243	
QUEST_LV_0100_20150317_000244	
QUEST_LV_0100_20150317_000245	
QUEST_LV_0100_20150317_000246	I have not heard of anything else about the bishop's dream. {nl} Sorry, I can't be much of help.
QUEST_LV_0100_20150317_000247	Klaipeda Guard Captain
QUEST_LV_0100_20150317_000248	Go ahead to Klaipeda. {nl} Commander Uska is waiting for you in Klaipeda Central Plaza. {nl} I heard the bishop also had a dream about the Goddess...  And I think it has to do with it.
QUEST_LV_0100_20150317_000249	Klaipeda Guard
QUEST_LV_0100_20150317_000250	Thank you for making your way here. {nl} If there is this much still left even after sir Titas handled it himself, can you imagine how it was before?
QUEST_LV_0100_20150317_000251	Mercenary Tobi
QUEST_LV_0100_20150317_000252	
QUEST_LV_0100_20150317_000253	
QUEST_LV_0100_20150317_000254	
QUEST_LV_0100_20150317_000255	
QUEST_LV_0100_20150317_000256	
QUEST_LV_0100_20150317_000257	
QUEST_LV_0100_20150317_000258	
QUEST_LV_0100_20150317_000259	
QUEST_LV_0100_20150317_000260	Supply Officer
QUEST_LV_0100_20150317_000261	Thank you for your help. {nl} I think this is enough. {nl}
QUEST_LV_0100_20150317_000262	)} {nl} If you have time, please tell our troops to assemble.{nl} If you don't want to, you may just go ahead to Klaipeda. 
QUEST_LV_0100_20150317_000263	Scout
QUEST_LV_0100_20150317_000264	Go back, it's dangerous. {nl} Kepas will soon be marching in. 
QUEST_LV_0100_20150317_000265	Oh, you're the Revelator. {nl} Since it's some fate that we fought together, let me give you a scoop of good information. 
QUEST_LV_0100_20150317_000266	Oh, you mentioned that we need to assemble right? {nl}Help me find the missing luggage and I'll go as soon as I can.
QUEST_LV_0100_20150317_000267	Isn't the luggage ready yet? {nl} I can't go back without it.
QUEST_LV_0100_20150317_000268	Thank you. You found it sooner than I expected. {nl}
QUEST_LV_0100_20150317_000269	If you follow the road to the north, you will find the search scout. {nl} Well then, good luck. 
QUEST_LV_0100_20150317_000270	Raimonas
QUEST_LV_0100_20150317_000271	Have you ever offered worship to the Statue? {nl} If not, I'd really recommend you to.
QUEST_LV_0100_20150317_000272	That depends on which Goddess it is. {nl} Go straight along way on the right.{nl} That's where Statue of Goddess Zemyna is so feel her blessings yourself. 
QUEST_LV_0100_20150317_000273	I do worry that the monsters might harm the Statue of the Goddess. 
QUEST_LV_0100_20150317_000274	Good thing to hear that the Statue is fine. {nl} The monsters should know that they should be afraid of the Goddess. {nl}
QUEST_LV_0100_20150317_000275	Go down the Shadow Forest Road and you should arrive at Klaipeda shortly. {nl} Well then, may be blessings of Goddess be with you
QUEST_LV_0100_20150317_000276	Plese do me a favor if you are headed to Klaipeda. {nl} It's not easy to go back and forth Kalipeda because of the Infro Rocktors nowadays. 
QUEST_LV_0100_20150317_000277	Maybe taking care of the Statues will make the Goddesses return sooner... 
QUEST_LV_0100_20150317_000278	Follow the road on the left of the camp crossroads. {nl}{-scp SCR_DIALOG_NPC_ANIM( 
QUEST_LV_0100_20150317_000279	)}You'll meet the troops right away.
QUEST_LV_0100_20150317_000280	)}Alright, good job.{nl}You'll arrive at Klaipeda shortly when you follow the Shadow Forest Road.{nl}Don't forget to drop by Sir Uska.
QUEST_LV_0100_20150317_000281	Battle Commander
QUEST_LV_0100_20150317_000282	I will have my men notify the troops to assemble. {nl} You may return to sir Titas and let him know.
QUEST_LV_0100_20150317_000283	It's nothing difficult. {nl} If you don't want, I'll let you go to Kalipeda right away.
QUEST_LV_0100_20150317_000284	Search Scout
QUEST_LV_0100_20150317_000285	It sure is a problem. {nl} I didn't know Kepas could grow that big.
QUEST_LV_0100_20150317_000286	Shouldn't Revelators go to Klaipeda instead of here?
QUEST_LV_0100_20150317_000287	I feel so relieved to be positioned in the Western Woods. {nl} There are some places where you'd rather die than be positioned there. 
QUEST_LV_0100_20150317_000288	When you see a Statue of Goddess, try offering a worship. {nl} Surely, something nice will happen. 
QUEST_LV_0100_20150317_000289	This is a dangerous area. What are you doing here?
QUEST_LV_0100_20150317_000290	Thank you for your help. {nl} The Large Kepa appearing here.. Must report to Titas about it.
QUEST_LV_0100_20150317_000291	Weird.. That is not a type of monster you'd face in a place like this. {nl} It must be hard to just walk around
QUEST_LV_0100_20150317_000292	Assemble already? {nl} That's tough. There's still a pile of missions.
QUEST_LV_0100_20150317_000293	Please kill the Hanamings roaming around. {nl} And collect the flowers of Hanaming while you're at it.
QUEST_LV_0100_20150317_000294	Even if the Goddess arrived, I will not go until the mission is completed.
QUEST_LV_0100_20150317_000295	Yes. This should be enough. {nl} This is a pill that will restore your stamina instantly... I have enough of it so I will give you this as a gift. {nl}
QUEST_LV_0100_20150317_000296	Stamina is consumed when you move. {nl}You can recover stamina by destroying Tree Root Crystal or when you are in rest mode. {nl} But you don't have time for that when you are chased by monsters isn't it? {nl} And that's when this pill comes in handy.
QUEST_LV_0100_20150317_000297	I heard the news from my men and was starting to become worried. {nl} All is well if it ended up good.
QUEST_LV_0100_20150317_000298	Klaipeda Resident
QUEST_LV_0100_20150317_000299	)} {nl} When do you think the Goddess is coming back? {nl} Even if I ask the Revelators, all they say is that they must go to Klaipeda..
QUEST_LV_0100_20150317_000300	Are you the Revelator? {nl} You said the Goddess appeared in your dream. {nl}It's what the soldiers were saying.
QUEST_LV_0100_20150317_000301	Trooper
QUEST_LV_0100_20150317_000302	I wonder where and what the Goddess is doing...
QUEST_LV_0100_20150317_000303	Thank you for making your way until here. {nl}I am Uska, the Knight-Commander in charge of Siaulai and Klaipeda.
QUEST_LV_0100_20150317_000304	The bishop also dreamed of revelation. {nl} He said send the revelator to the Crystal Mine. {nl}
QUEST_LV_0100_20150317_000305	Let me know when you are ready to go to the Crystal Mine. {nl} I'll tell you the location and how to get into the Crystal Mine.
QUEST_LV_0100_20150317_000306	The Bishope told us to send the Revelator to Crystal Mine. {nl} He said the Goddess told him to do so. {nl}
QUEST_LV_0100_20150317_000307	But the Miner's Village is at war with the Vubbes {nl}and entrance is limited to authorized people only. {nl} Aras is the one in charge of Eastern Woods so try talking to him
QUEST_LV_0100_20150317_000308	Monsters have been around for long but they started becoming violent four years ago. {nl} The one that was affected the most would be plant types.{nl} They did not exist before. {nl}
QUEST_LV_0100_20150317_000309	Of course, beasts were no exception. {nl} When the monster that seemed like a fusion of the demon appeared, I thought it was all over.
QUEST_LV_0100_20150317_000310	Knight Aras
QUEST_LV_0100_20150317_000311	Aren't you hurt? {nl} Thank you for getting rid of the Poatas but you're so reckless.
QUEST_LV_0100_20150317_000312	You want to get into the Crystal Mine? {nl} The Miner's Village is currently at war with the Vubbes and it's very dangerous {nl}so I cannot permit that. 
QUEST_LV_0100_20150317_000313	And our troops are in no condition to guard you. {nl} I'm sorry but you have to go back.
QUEST_LV_0100_20150317_000314	If you can't get rid of the Pokubus, you'll have to give up going into the Miner's Village.
QUEST_LV_0100_20150317_000315	Thank you. {nl} Do not worry, I'll keep my promise.
QUEST_LV_0100_20150317_000316	Outpost Sentinel
QUEST_LV_0100_20150317_000317	The Village is a problem but we also haven't had a rest because of the continuous battle.{nl}It will be much better if you can get rid of those Chupacabras.
QUEST_LV_0100_20150317_000318	Other monsters also show up when there are Chupacabras. {nl} Miner's Village is a problem on its own but there are just too many things to pay attention to.
QUEST_LV_0100_20150317_000319	Thank you. {nl} It really helps lifting our spirits. 
QUEST_LV_0100_20150317_000320	With your abilities, I have one more favor to ask. {nl} Can you help us drive out the Chupacabras in the supplies camp too? 
QUEST_LV_0100_20150317_000321	The Miners' Village is a problem but out situation here is not so good either. {nl}We have to prepare some measures before the number of  monsters increase even more..
QUEST_LV_0100_20150317_000322	Are you done already? {nl} No one has completed as fast before.
QUEST_LV_0100_20150317_000323	I'm in the mission to find out why the monsters in the East woords suddenly increased. {nl}Also, I act as the intermediate in supplying the Miner's Village. {nl}
QUEST_LV_0100_20150317_000324	Other knight is out in the Miner's Village but.. {nl} To be honest, It would have ended sooner if it was Sir Aras but the battle is taking longer than expected.
QUEST_LV_0100_20150317_000325	Since you're going to help, please get rid of the Giant Gray Chupacabras too. {nl}They are the culprits stealing our supplies.
QUEST_LV_0100_20150317_000326	Giant Gray Chupacabras appear when you kill normal chupacabras. {nl} Well then, thanks for your help.
QUEST_LV_0100_20150317_000327	Thank you. {nl} Now we can finally get to work easily.
QUEST_LV_0100_20150317_000328	Finding the cause of the monsters is important, {nl} but I'm more worried supplies not making it to the Miners' Village. 
QUEST_LV_0100_20150317_000329	The movement of weavers in the lower area of the stream seems suspicious . {nl} Just like they're trying to interfere with supplying the Miners' Village.
QUEST_LV_0100_20150317_000330	It's not a usual situation. {nl} But we might have to give up our current supplies and support ourselves until the next batch of supplies arrive. 
QUEST_LV_0100_20150317_000331	Thank you. {nl} With you Helping us out like this, we will not be defeated.
QUEST_LV_0100_20150317_000332	The next mission is to find the cause of the monsters increasing. {nl} Popolions have a big appetitle so we may be able to find crucial clue.
QUEST_LV_0100_20150317_000333	Miners' Village is already in trouble and if the East Woods is in this situation, we can't assure the safety of Klaipeda . {nl}We can just hope that Klaipeda is doing well.
QUEST_LV_0100_20150317_000334	Operations officer
QUEST_LV_0100_20150317_000335	Were you sent by Aras? {nl} It's a piece of Vubbe clothing. Hmm... Is that so...
QUEST_LV_0100_20150317_000336	I think the Vubbes of the Miner's Village have made their way into the woods. {nl} Maybe that's the reason behind the sudden increase in monsters too. {nl}
QUEST_LV_0100_20150317_000337	I better ask Sir Aras to search for Vubbes in other areas too. {nl} In the meantime, please take a look at the upper side.
QUEST_LV_0100_20150317_000338	We haven't searched the upper side yet. {nl} Of course, we should be sending troops but I ask for your help as this is an urgent matter. 
QUEST_LV_0100_20150317_000339	You saw the Vubbe fighter but missed it? {nl} We also got a report that the Vubbe fighter appeared in the area below. {nl}
QUEST_LV_0100_20150317_000340	First, talk to the search scout in the lower bridge of Bulvjes. {nl} This will become a tedious long term war if  we miss the Vubbe fighter.
QUEST_LV_0100_20150317_000341	So Vubbe Fighter was the reason behind the increase of monsters. {nl} Please find out how many Vubbe Fighters there are. {nl}
QUEST_LV_0100_20150317_000342	Under the circumstances, it makes sense that the monsters are controlled by Vubbe Fighter. {nl} But deep down, you just don't want to believe it. 
QUEST_LV_0100_20150317_000343	Following your report, there is no more Vubbe Fighter in this woods. {nl}
QUEST_LV_0100_20150317_000344	Let's get rid of the Vubbe Fighter. {nl} The search scouts are on standby in Nudegi Felled Area
QUEST_LV_0100_20150317_000345	Supply Solider
QUEST_LV_0100_20150317_000346	We need Weaver Claws as a part of supplies to be sent to Miners' Village {nl}but we just don't have time to look for those. {nl} What do we do? 
